Name: “Table 1 of 1 on page 97 of 219”,Name: “Table 1 of 1 on page 97 of 219”,Name: “Table 1 of 1 on page 97 of 219”,Name: “Table 1 of 1 on page 97 of 219”,Name: “Table 1 of 1 on page 97 of 219”,Name: “Table 1 of 1 on page 97 of 219”,Name: “Table 1 of 1 on page 97 of 219”,Name: “Table 1 of 1 on page 97 of 219”,Name: “Table 1 of 1 on page 97 of 219”,Name: “Table 1 of 1 on page 97 of 219”,Name: “Table 1 of 1 on page 97 of 219”
Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94
,,,,,,,,,,
,,,PUBLIC WORKS,PUBLIC WORKS,PUBLIC WORKS,PUBLIC WORKS,,,,
Expenditures Summary,,,,,,,,,,
,,,,,,,,,$,%
,,,,,,FY 2012,FY 2013,,Change,Change
,,FY 2010,,FY 2011,,Revised,Adopted,From 2012,From 2012,From 2012
,,Actual,,Actual,,Budget,Budget,,Budget,Budget
Personal Services,$,"797,816",$,"846,737",$,"943,394","$ 1,032,712",$,"89,318",9.5%
Operating Expenses,,"139,587",,"311,143",,"343,226","329,158",,"(14,068)",-4.1%
Capital Outlay,,"48,206",,"128,584",,"71,000","76,000",,"5,000",7.0%
Totals,$,"985,609","$ 1,286,464","$ 1,286,464","$ 1,357,620","$ 1,357,620","$ 1,437,870",$,"80,250",5.9%
Personnel Summary,,,,FY 2010,,FY 2011,FY 2012,,FY 2013,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,,Authorized,
Director of Public Works,,,,0,,1,1,,1,
Deputy Director of Public Works,Deputy Director of Public Works,,,1,,0,0,,0,
Construction Inspector,,,,1,,1,1,,1,
Equipment Operations Foreman,Equipment Operations Foreman,,,1,,1,1,,1,
Equipment Operator III,,,,1,,1,2,,2,
Parks Maintenance Supervisor,Parks Maintenance Supervisor,,,0,,1,1,,1,
Equipment Operator II,,,,1,,1,1,,1,
Equipment Operator I,,,,2,,2,2,,2,
Maintenance Worker IV,,,,0,,0,1,,1,
Maintenance Worker lll,,,,3,,3,2,,2,
Maintenance Worker II,,,,0,,0,2,,2,
Parks Maintenance Worker,,,,0,,1,1,,1,
Maintenance Worker I,,,,4,,4,1,,1,
Laborer (FTE),,,,0,,0,0,,0.6,
Secretary (FTE),,,,0.5,,0.5,0.5,,0.5,
Totals,,,,14.5,,16.5,16.5,,17.1,
Goals and Objectives,,,,,,,,,,
* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,
Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,
* Continue the next phase of the South Lawson Park Project.,* Continue the next phase of the South Lawson Park Project.,* Continue the next phase of the South Lawson Park Project.,* Continue the next phase of the South Lawson Park Project.,* Continue the next phase of the South Lawson Park Project.,,,,,,
* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,
quality throughout the City.,"Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and",
"medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.",
