Name: “Table 1 of 1 on page 12 of 219”,Name: “Table 1 of 1 on page 12 of 219”,Name: “Table 1 of 1 on page 12 of 219”,Name: “Table 1 of 1 on page 12 of 219”,Name: “Table 1 of 1 on page 12 of 219”,Name: “Table 1 of 1 on page 12 of 219”,Name: “Table 1 of 1 on page 12 of 219”,Name: “Table 1 of 1 on page 12 of 219”,Name: “Table 1 of 1 on page 12 of 219”,Name: “Table 1 of 1 on page 12 of 219”,Name: “Table 1 of 1 on page 12 of 219”,Name: “Table 1 of 1 on page 12 of 219”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,,,
,,,,,,•,Budget Message from the City Manager,Budget Message from the City Manager,Budget Message from the City Manager,Budget Message from the City Manager,Budget Message from the City Manager
,,,,,,•,The Budget in Brief,The Budget in Brief,,,
,,,,,,•,General Fund,General Fund,,,
,,,,,,•,Debt Service Fund,Debt Service Fund,Debt Service Fund,,
,,,,,,•,Capital Projects Fund,Capital Projects Fund,Capital Projects Fund,,
,,,,,,•,Special Revenue Fund,Special Revenue Fund,Special Revenue Fund,,
,,,,,,•,Solid Waste Fund,Solid Waste Fund,Solid Waste Fund,,
,,,,,,•,Utilities Fund,Utilities Fund,,,
,,,,,,•,Fleet Management,Fleet Management,Fleet Management,,
,,,,,,•,Unbudgeted Needs,Unbudgeted Needs,,,
,,,,,,•,GFOA Distinguished Budget Award,GFOA Distinguished Budget Award,GFOA Distinguished Budget Award,GFOA Distinguished Budget Award,GFOA Distinguished Budget Award
,,,,,,♦,Summary,,,,
Executive Summary,Executive Summary,Executive Summary,Executive Summary,,"Fiscal Year July 1, 2012 to June 30, 2013","Fiscal Year July 1, 2012 to June 30, 2013","Fiscal Year July 1, 2012 to June 30, 2013","Fiscal Year July 1, 2012 to June 30, 2013","Fiscal Year July 1, 2012 to June 30, 2013","Fiscal Year July 1, 2012 to June 30, 2013","Fiscal Year July 1, 2012 to June 30, 2013"
Introduction,Introduction,,,,,,,,,,
,,,,,"May 14, 2012","May 14, 2012",,,,,
Honorable Mayor and Members of City Council,Honorable Mayor and Members of City Council,Honorable Mayor and Members of City Council,Honorable Mayor and Members of City Council,,,,,,,,
"Poquoson, Virginia:","Poquoson, Virginia:",,,,,,,,,,
"Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in","Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in","Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in","Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in","Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in","Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in","Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in","Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in","Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in","Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in","Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in","Thank you for the opportunity to present the City of Poquoson’s Adopted Budget for Fiscal Year FY 2013, in"
accordance with Article V of the Poquoson City Charter.,accordance with Article V of the Poquoson City Charter.,accordance with Article V of the Poquoson City Charter.,accordance with Article V of the Poquoson City Charter.,accordance with Article V of the Poquoson City Charter.,accordance with Article V of the Poquoson City Charter.,,,,,,
Introduction:,Introduction:,,,,,,,,,,
"The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that","The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that","The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that","The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that","The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that","The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that","The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that","The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that","The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that","The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that","The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that","The FY 2013 budget year will be the fifth, but not likely to be the last, in a series of difficult budget years that"
"began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-","began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-","began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-","began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-","began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-","began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-","began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-","began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-","began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-","began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-","began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-","began in the Fall of 2008. Poquoson, like most other localities in Virginia, continues to be significantly im-"
pacted by the continuing state and national recession.,pacted by the continuing state and national recession.,pacted by the continuing state and national recession.,pacted by the continuing state and national recession.,pacted by the continuing state and national recession.,pacted by the continuing state and national recession.,"To deal with this significant challenge, the City of","To deal with this significant challenge, the City of","To deal with this significant challenge, the City of","To deal with this significant challenge, the City of","To deal with this significant challenge, the City of","To deal with this significant challenge, the City of"
Poquoson,has,utilized many,strategies,including,personnel,"reductions,",operational,budget,cuts,and,short
term strategies such as debt restructuring and use of fund balances to continue to support local government,term strategies such as debt restructuring and use of fund balances to continue to support local government,term strategies such as debt restructuring and use of fund balances to continue to support local government,term strategies such as debt restructuring and use of fund balances to continue to support local government,term strategies such as debt restructuring and use of fund balances to continue to support local government,term strategies such as debt restructuring and use of fund balances to continue to support local government,term strategies such as debt restructuring and use of fund balances to continue to support local government,term strategies such as debt restructuring and use of fund balances to continue to support local government,term strategies such as debt restructuring and use of fund balances to continue to support local government,term strategies such as debt restructuring and use of fund balances to continue to support local government,term strategies such as debt restructuring and use of fund balances to continue to support local government,term strategies such as debt restructuring and use of fund balances to continue to support local government
