Name: “Table 1 of 1 on page 73 of 219”,Name: “Table 1 of 1 on page 73 of 219”,Name: “Table 1 of 1 on page 73 of 219”,Name: “Table 1 of 1 on page 73 of 219”,Name: “Table 1 of 1 on page 73 of 219”,Name: “Table 1 of 1 on page 73 of 219”,Name: “Table 1 of 1 on page 73 of 219”,Name: “Table 1 of 1 on page 73 of 219”,Name: “Table 1 of 1 on page 73 of 219”,Name: “Table 1 of 1 on page 73 of 219”,Name: “Table 1 of 1 on page 73 of 219”,Name: “Table 1 of 1 on page 73 of 219”
Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70
,,,,,,,,,,,
,,,,TREASURER,TREASURER,TREASURER,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2012,FY 2012,FY 2013,FY 2013,Change,Change,Change
,FY 2010,FY 2010,,FY 2011,Revised,Revised,Adopted,Adopted,From 2012,From 2012,From 2012
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"258,146",$,"256,206",$,"267,408",$,"280,277",$,"12,869",4.8%
Operating Expenses,,"34,177",,"74,251",,"72,387",,"63,037",,"(9,350)",-12.9%
Capital Outlay,,275,,0,,"1,000",,-,,"(1,000)",n/a
Totals,$,"292,598",$,"330,457",$,"340,795",$,"343,314",$,"2,519",0.7%
Personnel Summary,,,,,,,,,,,
,,,,FY 2010,,FY 2011,,FY 2012,,FY 2013,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Treasurer,,,,1,,1,,1,,1,
Deputy Treasurer,,,,1,,1,,1,,1,
Accounting Technician,,,,1,,1,,1,,1,
Clerical Assistant,,,,1,,1,,1,,1,
Totals,,,,4,,4,,4,,4,
Goals and Objectives,,,,,,,,,,,
* Maintain high collection rates and customer service.,* Maintain high collection rates and customer service.,* Maintain high collection rates and customer service.,* Maintain high collection rates and customer service.,,,,,,,,
* Continue implementing a monthly auto debit program for the payment of personal property and real estate,* Continue implementing a monthly auto debit program for the payment of personal property and real estate,* Continue implementing a monthly auto debit program for the payment of personal property and real estate,* Continue implementing a monthly auto debit program for the payment of personal property and real estate,* Continue implementing a monthly auto debit program for the payment of personal property and real estate,* Continue implementing a monthly auto debit program for the payment of personal property and real estate,* Continue implementing a monthly auto debit program for the payment of personal property and real estate,* Continue implementing a monthly auto debit program for the payment of personal property and real estate,* Continue implementing a monthly auto debit program for the payment of personal property and real estate,* Continue implementing a monthly auto debit program for the payment of personal property and real estate,* Continue implementing a monthly auto debit program for the payment of personal property and real estate,* Continue implementing a monthly auto debit program for the payment of personal property and real estate
taxes.,,,,,,,,,,,
* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their
Master Governmental Deputy Treasurer certification. Treasurer working towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer working towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer working towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer working towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer working towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer working towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer working towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer working towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer working towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer working towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer working towards achieving Master,
Governmental Treasurer certification.,Governmental Treasurer certification.,Governmental Treasurer certification.,,,,,,,,,
* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs
and liens and warrants.,,,,,,,,,,,
* Obtain state office accreditation.,* Obtain state office accreditation.,,,,,,,,,,
* Continue to improve payment website functionality.,* Continue to improve payment website functionality.,* Continue to improve payment website functionality.,* Continue to improve payment website functionality.,,,,,,,,
,,,,36,,,,,,,
