Name: “Table 1 of 1 on page 95 of 219”,Name: “Table 1 of 1 on page 95 of 219”,Name: “Table 1 of 1 on page 95 of 219”,Name: “Table 1 of 1 on page 95 of 219”,Name: “Table 1 of 1 on page 95 of 219”,Name: “Table 1 of 1 on page 95 of 219”,Name: “Table 1 of 1 on page 95 of 219”,Name: “Table 1 of 1 on page 95 of 219”,Name: “Table 1 of 1 on page 95 of 219”,Name: “Table 1 of 1 on page 95 of 219”,Name: “Table 1 of 1 on page 95 of 219”,Name: “Table 1 of 1 on page 95 of 219”
Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92
,,,,,,,,,,,
,,,ENGINEERING,ENGINEERING,ENGINEERING,ENGINEERING,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2012,FY 2012,FY 2013,FY 2013,Change,Change,Change
,,FY 2010,,FY 2011,Revised,Revised,Adopted,Adopted,From 2012,From 2012,From 2012
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"95,537",$,"84,141",$,"100,271",$,"104,438",$,"4,167",4.2%
Operating Expenses,,"7,010",,"1,607",,-,,"7,309",,"7,309",n/a
Capital Outlay,,-,,-,,-,,-,,n/a,n/a
Totals,$,"102,547",$,"85,748",$,"100,271",$,"111,747",$,"11,476",11.4%
Personnel Summary,,,,FY 2010,,FY 2011,,FY 2012,,FY 2013,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Civil Engineer II,,,,1,,1,,1,,1,
Totals,,,,1,,1,,1,,1,
Goals and Objectives,,,,,,,,,,,
*Develop grant-ready water quality project for City.,*Develop grant-ready water quality project for City.,*Develop grant-ready water quality project for City.,*Develop grant-ready water quality project for City.,,,,,,,,
*Develop framework for 15-year TMDL project work in preparation for upcoming permit negotiations with,*Develop framework for 15-year TMDL project work in preparation for upcoming permit negotiations with,*Develop framework for 15-year TMDL project work in preparation for upcoming permit negotiations with,*Develop framework for 15-year TMDL project work in preparation for upcoming permit negotiations with,*Develop framework for 15-year TMDL project work in preparation for upcoming permit negotiations with,*Develop framework for 15-year TMDL project work in preparation for upcoming permit negotiations with,*Develop framework for 15-year TMDL project work in preparation for upcoming permit negotiations with,*Develop framework for 15-year TMDL project work in preparation for upcoming permit negotiations with,*Develop framework for 15-year TMDL project work in preparation for upcoming permit negotiations with,*Develop framework for 15-year TMDL project work in preparation for upcoming permit negotiations with,*Develop framework for 15-year TMDL project work in preparation for upcoming permit negotiations with,
Virginia and U.S. EPA.,,,,,,,,,,,
"*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional","*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional","*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional","*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional","*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional","*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional","*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional","*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional","*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional","*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional","*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional","*Author draft fat, oil and grease ordinance as required by Consent Order. Continue to participate in regional"
"negotiations, provide tech support as needed for this effort. Provide tech direction to consultant.","negotiations, provide tech support as needed for this effort. Provide tech direction to consultant.","negotiations, provide tech support as needed for this effort. Provide tech direction to consultant.","negotiations, provide tech support as needed for this effort. Provide tech direction to consultant.","negotiations, provide tech support as needed for this effort. Provide tech direction to consultant.","negotiations, provide tech support as needed for this effort. Provide tech direction to consultant.","negotiations, provide tech support as needed for this effort. Provide tech direction to consultant.","negotiations, provide tech support as needed for this effort. Provide tech direction to consultant.","negotiations, provide tech support as needed for this effort. Provide tech direction to consultant.","negotiations, provide tech support as needed for this effort. Provide tech direction to consultant.","negotiations, provide tech support as needed for this effort. Provide tech direction to consultant.",
*Obtain VDOT approval of the South Lawson Park recreation access grant construction documents.,*Obtain VDOT approval of the South Lawson Park recreation access grant construction documents.,*Obtain VDOT approval of the South Lawson Park recreation access grant construction documents.,*Obtain VDOT approval of the South Lawson Park recreation access grant construction documents.,*Obtain VDOT approval of the South Lawson Park recreation access grant construction documents.,*Obtain VDOT approval of the South Lawson Park recreation access grant construction documents.,*Obtain VDOT approval of the South Lawson Park recreation access grant construction documents.,*Obtain VDOT approval of the South Lawson Park recreation access grant construction documents.,*Obtain VDOT approval of the South Lawson Park recreation access grant construction documents.,*Obtain VDOT approval of the South Lawson Park recreation access grant construction documents.,*Obtain VDOT approval of the South Lawson Park recreation access grant construction documents.,
*Continue to provide engineering support for Virginia Pollutant Discharge Elimination System (VPDES),*Continue to provide engineering support for Virginia Pollutant Discharge Elimination System (VPDES),*Continue to provide engineering support for Virginia Pollutant Discharge Elimination System (VPDES),*Continue to provide engineering support for Virginia Pollutant Discharge Elimination System (VPDES),*Continue to provide engineering support for Virginia Pollutant Discharge Elimination System (VPDES),*Continue to provide engineering support for Virginia Pollutant Discharge Elimination System (VPDES),*Continue to provide engineering support for Virginia Pollutant Discharge Elimination System (VPDES),*Continue to provide engineering support for Virginia Pollutant Discharge Elimination System (VPDES),*Continue to provide engineering support for Virginia Pollutant Discharge Elimination System (VPDES),*Continue to provide engineering support for Virginia Pollutant Discharge Elimination System (VPDES),*Continue to provide engineering support for Virginia Pollutant Discharge Elimination System (VPDES),
Phase II MS4 Permit required actions.,Phase II MS4 Permit required actions.,Phase II MS4 Permit required actions.,,,,,,,,,
