Name: “Table 1 of 1 on page 89 of 219”,Name: “Table 1 of 1 on page 89 of 219”,Name: “Table 1 of 1 on page 89 of 219”,Name: “Table 1 of 1 on page 89 of 219”,Name: “Table 1 of 1 on page 89 of 219”,Name: “Table 1 of 1 on page 89 of 219”,Name: “Table 1 of 1 on page 89 of 219”,Name: “Table 1 of 1 on page 89 of 219”,Name: “Table 1 of 1 on page 89 of 219”,Name: “Table 1 of 1 on page 89 of 219”,Name: “Table 1 of 1 on page 89 of 219”,Name: “Table 1 of 1 on page 89 of 219”
Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86
,,,,,,,,,,,
,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,CORRECTIONS AND DETENTIONS,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,,FY 2012,,FY 2013,Change,Change,Change
,,FY 2010,,FY 2011,,Revised,Adopted,,From 2012,From 2012,From 2012
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,-,$,-,$,-,$,-,,n/a,n/a
Operating Expenses,,"147,460",,"214,060",,"204,130",,"279,200",,"75,070",36.8%
Capital Outlay,,-,,-,,-,,-,,n/a,n/a
Totals,$,"147,460",$,"214,060",$,"204,130",$,"279,200",$,"75,070",36.8%
Personnel Summary,,,,,,,,,,,
N/A,,,,,,,,,,,
,,,,,,,,FY 2012,FY 2013,FY 2013,
,,,,FY 2010,,FY 2011,Revised,,Adopted,Adopted,
Budget Detail,,,,Actual,,Actual,,Budget,,Budget,
Adult Detention,,,$,"122,057",$,"138,112",$,"165,524","$ 220,900","$ 220,900",
Juvenile Services,,,,,,,,,,,
Juvenile Detention,,,,"16,638",,"66,129",,"33,200",,"52,800",
Project Insight,,,,"8,765",,"9,819",,"5,406",,"5,500",
Totals,,,$,"147,460",$,"214,060",,"204,130",,"279,200",
,,,,52,,,,,,,
