Name: “Table 1 of 1 on page 133 of 219”,Name: “Table 1 of 1 on page 133 of 219”,Name: “Table 1 of 1 on page 133 of 219”,Name: “Table 1 of 1 on page 133 of 219”,Name: “Table 1 of 1 on page 133 of 219”,Name: “Table 1 of 1 on page 133 of 219”,Name: “Table 1 of 1 on page 133 of 219”,Name: “Table 1 of 1 on page 133 of 219”,Name: “Table 1 of 1 on page 133 of 219”,Name: “Table 1 of 1 on page 133 of 219”,Name: “Table 1 of 1 on page 133 of 219”,Name: “Table 1 of 1 on page 133 of 219”
Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130
,,,,,,,,,,,
,,TRANSFER TO OTHER FUNDS,TRANSFER TO OTHER FUNDS,TRANSFER TO OTHER FUNDS,TRANSFER TO OTHER FUNDS,TRANSFER TO OTHER FUNDS,TRANSFER TO OTHER FUNDS,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,,FY 2012,FY 2013,,,Change,Change
,,FY 2010,,FY 2011,,Revised,Adopted,,,From 2012,From 2012
,,Actual,,Actual,,Budget,Budget,,,Budget,Budget
Personal Services,$,-,$,-,$,-,$,-,,n/a,n/a
Operating Expenses,,"2,542,735",,"2,086,982",,"2,186,346","2,142,250","2,142,250",,"(44,096)",-2.0%
Capital Outlay,,-,,-,,-,,-,,n/a,n/a
Totals,$,"2,542,735","$ 2,086,982","$ 2,086,982","$ 2,186,346","$ 2,186,346","$ 2,142,250","$ 2,142,250",$,"(44,096)",-2.0%
Personnel Summary,,,,,,,,,,,
N/A,,,,,,,,,,,
,,TRANSFERS,TRANSFERS,TRANSFERS,TRANSFERS,TRANSFERS,TRANSFERS,,,,
Goals and Objectives,,,,,,,,,,,
* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and,* Transfer to Debt Service Fund to cover payment of all general governmental debt service for the City and
Schools.,,,,,,,,,,,
* Transfer to Capital Projects fund for the City's TMDL/Stormwater.,* Transfer to Capital Projects fund for the City's TMDL/Stormwater.,* Transfer to Capital Projects fund for the City's TMDL/Stormwater.,* Transfer to Capital Projects fund for the City's TMDL/Stormwater.,* Transfer to Capital Projects fund for the City's TMDL/Stormwater.,* Transfer to Capital Projects fund for the City's TMDL/Stormwater.,* Transfer to Capital Projects fund for the City's TMDL/Stormwater.,,,,,
,,,,96,,,,,,,
