Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”,Name: “Table 1 of 1 on page 123 of 219”
Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120
,,,,,,,,,,,,
,PLANNING / BZA / WETLANDS / ARB,PLANNING / BZA / WETLANDS / ARB,PLANNING / BZA / WETLANDS / ARB,PLANNING / BZA / WETLANDS / ARB,PLANNING / BZA / WETLANDS / ARB,PLANNING / BZA / WETLANDS / ARB,PLANNING / BZA / WETLANDS / ARB,PLANNING / BZA / WETLANDS / ARB,,,,
Expenditures Summary,,,,,,,,,,,,
,,,,,,,,,,,$,%
,,,,,,FY 2012,,FY 2013,FY 2013,Change,Change,Change
,,FY 2010,,FY 2011,FY 2011,Revised,,Adopted,Adopted,From 2012,From 2012,From 2012
,,Actual,,Actual,,,Budget,,Budget,,Budget,Budget
Personal Services,,,-,,-,$,-,$,-,,n/a,n/a
Operating Expenses,,"5,706","5,706",,"4,941",,"10,500",,"6,950",,"(3,550)",-33.8%
Capital Outlay,,,-,,-,,-,,-,,n/a,n/a
Totals,$,"5,706","5,706",$,"4,941",$,"10,500",$,"6,950",$,"(3,550)",-33.8%
Personnel Summary,,,,,,,,,,,,
N/A,,,,,,,,,,,,
Goals and Objectives,,,,,,,,,,,,
Architectural Review Board (ARB),Architectural Review Board (ARB),,,,,,,,,,,
"* Regulate exterior appearance of buildings, structures and improvements proposed for erection or","* Regulate exterior appearance of buildings, structures and improvements proposed for erection or","* Regulate exterior appearance of buildings, structures and improvements proposed for erection or","* Regulate exterior appearance of buildings, structures and improvements proposed for erection or","* Regulate exterior appearance of buildings, structures and improvements proposed for erection or","* Regulate exterior appearance of buildings, structures and improvements proposed for erection or","* Regulate exterior appearance of buildings, structures and improvements proposed for erection or","* Regulate exterior appearance of buildings, structures and improvements proposed for erection or","* Regulate exterior appearance of buildings, structures and improvements proposed for erection or","* Regulate exterior appearance of buildings, structures and improvements proposed for erection or","* Regulate exterior appearance of buildings, structures and improvements proposed for erection or","* Regulate exterior appearance of buildings, structures and improvements proposed for erection or",
