Name: “Table 1 of 1 on page 119 of 219”,Name: “Table 1 of 1 on page 119 of 219”,Name: “Table 1 of 1 on page 119 of 219”,Name: “Table 1 of 1 on page 119 of 219”,Name: “Table 1 of 1 on page 119 of 219”,Name: “Table 1 of 1 on page 119 of 219”,Name: “Table 1 of 1 on page 119 of 219”,Name: “Table 1 of 1 on page 119 of 219”,Name: “Table 1 of 1 on page 119 of 219”,Name: “Table 1 of 1 on page 119 of 219”,Name: “Table 1 of 1 on page 119 of 219”,Name: “Table 1 of 1 on page 119 of 219”
Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116
,,,,,,,,,,,
,,,,LIBRARY,LIBRARY,LIBRARY,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2012,FY 2012,FY 2013,FY 2013,Change,Change,Change
,,FY 2010,,FY 2011,Revised,Revised,Adopted,Adopted,From 2012,From 2012,From 2012
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"492,888",$,"497,380",$,"515,573",$,"537,246",$,"21,673",4.2%
Operating Expenses,,"99,568",,"110,311",,"108,349",,"118,631",,"10,282",9.5%
Capital Outlay,,"160,866",,"141,474",,"149,687",,"131,618",,"(18,069)",-12.1%
Totals,$,"753,322",$,"749,165",$,"773,609",$,"787,495",$,"13,886",1.8%
Personnel Summary,,,,FY 2010,,FY 2011,,FY 2012,,FY 2013,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Library Director,,,,1,,1,,1,,1,
Reference Librarian,,,,1,,1,,1,,1,
Senior Library Associate/System Admin,Senior Library Associate/System Admin,,,1,,1,,1,,1,
Library Associate,,,,1,,1,,1,,1,
Administrative Secretary,,,,1,,1,,1,,1,
Library Associate (FTE),,,,1.25,,1.25,,1.25,,1.25,
Senior Library Assistant (FTE),Senior Library Assistant (FTE),,,1.40,,1.40,,1.40,,1.40,
Library Assistant (FTE),,,,3.80,,3.80,,3.80,,3.80,
Library Page (FTE),,,,0.50,,0.50,,0.50,,0.50,
Totals,,,,11.95,,11.95,,11.95,,11.95,
Goals and Objectives,,,,,,,,,,,
* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,* Continue to develop the Library's resources and services on a wide variety of formats to meet the,
"educational, informational, and leisure needs of the community during these challenging economic times.","educational, informational, and leisure needs of the community during these challenging economic times.","educational, informational, and leisure needs of the community during these challenging economic times.","educational, informational, and leisure needs of the community during these challenging economic times.","educational, informational, and leisure needs of the community during these challenging economic times.","educational, informational, and leisure needs of the community during these challenging economic times.","educational, informational, and leisure needs of the community during these challenging economic times.","educational, informational, and leisure needs of the community during these challenging economic times.","educational, informational, and leisure needs of the community during these challenging economic times.","educational, informational, and leisure needs of the community during these challenging economic times.","educational, informational, and leisure needs of the community during these challenging economic times.","educational, informational, and leisure needs of the community during these challenging economic times."
"* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.","* Provide informational, recreational and cultural programs and activities to enrich the community.",
* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library,* Provide up-to-date and high quality technology resources and services which result in positive Library
experiences.,,,,,,,,,,,
* Continue to utilize social media to promote the library as a focal point in the community.,* Continue to utilize social media to promote the library as a focal point in the community.,* Continue to utilize social media to promote the library as a focal point in the community.,* Continue to utilize social media to promote the library as a focal point in the community.,* Continue to utilize social media to promote the library as a focal point in the community.,* Continue to utilize social media to promote the library as a focal point in the community.,* Continue to utilize social media to promote the library as a focal point in the community.,* Continue to utilize social media to promote the library as a focal point in the community.,* Continue to utilize social media to promote the library as a focal point in the community.,* Continue to utilize social media to promote the library as a focal point in the community.,* Continue to utilize social media to promote the library as a focal point in the community.,
* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,* Promote Library membership through services and various outreach programs.,,,
"* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the","* Work with the Library Advisory Board, the Friends of the Public Library and service groups to promote the"
library as a focal point of community life.,library as a focal point of community life.,library as a focal point of community life.,,,,,,,,,
"* Network 21 public use computers, update operating system and explore migrating to a software for website","* Network 21 public use computers, update operating system and explore migrating to a software for website","* Network 21 public use computers, update operating system and explore migrating to a software for website","* Network 21 public use computers, update operating system and explore migrating to a software for website","* Network 21 public use computers, update operating system and explore migrating to a software for website","* Network 21 public use computers, update operating system and explore migrating to a software for website","* Network 21 public use computers, update operating system and explore migrating to a software for website","* Network 21 public use computers, update operating system and explore migrating to a software for website","* Network 21 public use computers, update operating system and explore migrating to a software for website","* Network 21 public use computers, update operating system and explore migrating to a software for website","* Network 21 public use computers, update operating system and explore migrating to a software for website","* Network 21 public use computers, update operating system and explore migrating to a software for website"
to make library service more accessible to the public.,to make library service more accessible to the public.,to make library service more accessible to the public.,to make library service more accessible to the public.,to make library service more accessible to the public.,,,,,,,
"* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available","* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available","* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available","* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available","* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available","* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available","* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available","* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available","* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available","* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available","* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available","* Continue to enhance the library's website by developing it into a ""virtual branch"" with resources available"
to the community 24/7.,,,,,,,,,,,
,,,,82,,,,,,,
