Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”
Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3
,,,,,,,,,,,,,,,,,,
,,,FY12 Council,FY12 Council,FY12 Council,,,,,,,,,,,,,
,,,Approved Budget,Approved Budget,Approved Budget,,,,,,,,,,,,,
,,,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,,,
Purpose,Purpose,Purpose,,,,,,,,,,,,,,,,
The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major,The purpose of the Capital Improvement Plan (CIP) is to provide a structured process for funding major
"acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","acquisitions, improvements and new construction projects in the City of Hampton.","Generally, projects","Generally, projects","Generally, projects","Generally, projects"
"included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.","included in the CIP must have a useful life of at least five years and initial costs in excess of $50,000.",,
Financial Policy Statements,Financial Policy Statements,Financial Policy Statements,Financial Policy Statements,Financial Policy Statements,Financial Policy Statements,,,,,,,,,,,,,
