Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,,,,,,,,
,FY12 Council,FY12 Council,FY12 Council,,,,,,,,,,
,Approved Budget,Approved Budget,Approved Budget,,,,,,,,,,
,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,CAPITAL IMPROVEMENT PLAN POLICIES,,
CIP Process,,,,,,,,,,,,,
"Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital","Each year, as part of the annual budget process, the City Council updates its five-year forecast for capital"
"improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue","improvements. Based on the requests made by various City departments, community groups and revenue"
"projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and","projections, the CIP Committee makes a recommendation to the Planning Commission, City Manager and"
"City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have","City Council identifying those capital projects being changed, added or deleted and new projects that have"
