City of Portsmouth,,
Fiscal Year 2012 Adopted Budget,,
Non-Departmental,,
Business Center Index,,
Business Center Summary,2,
Non-departmental,3,
Transfers and Contingencies,4,
Public Transportation,5,
Debt Service,6,
Support to Civic Organizations,7,
Other Post Employment Benefits,8,
Fiscal Year 2012,1,Non-Departmental
,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,Non-Departmental,Non-Departmental,Non-Departmental,,,
Description of Services Provided,,,,,,
"This business center includes non-specific departmental functions including Public Transportation (HRT), Virginia Sports Hall","This business center includes non-specific departmental functions including Public Transportation (HRT), Virginia Sports Hall","This business center includes non-specific departmental functions including Public Transportation (HRT), Virginia Sports Hall","This business center includes non-specific departmental functions including Public Transportation (HRT), Virginia Sports Hall","This business center includes non-specific departmental functions including Public Transportation (HRT), Virginia Sports Hall","This business center includes non-specific departmental functions including Public Transportation (HRT), Virginia Sports Hall",
"of Fame, Hampton Roads Planning District Commission and the Military and Federal Facilities Alliance. The Transfers and","of Fame, Hampton Roads Planning District Commission and the Military and Federal Facilities Alliance. The Transfers and","of Fame, Hampton Roads Planning District Commission and the Military and Federal Facilities Alliance. The Transfers and","of Fame, Hampton Roads Planning District Commission and the Military and Federal Facilities Alliance. The Transfers and","of Fame, Hampton Roads Planning District Commission and the Military and Federal Facilities Alliance. The Transfers and","of Fame, Hampton Roads Planning District Commission and the Military and Federal Facilities Alliance. The Transfers and",
Contingencies section contains transfers from the General Fund to other operating funds. Also included in this business,Contingencies section contains transfers from the General Fund to other operating funds. Also included in this business,Contingencies section contains transfers from the General Fund to other operating funds. Also included in this business,Contingencies section contains transfers from the General Fund to other operating funds. Also included in this business,Contingencies section contains transfers from the General Fund to other operating funds. Also included in this business,Contingencies section contains transfers from the General Fund to other operating funds. Also included in this business,
"center is the transfer of local tax support to the School's operating fund totaling $49,571,413, as well as the City's support to","center is the transfer of local tax support to the School's operating fund totaling $49,571,413, as well as the City's support to","center is the transfer of local tax support to the School's operating fund totaling $49,571,413, as well as the City's support to","center is the transfer of local tax support to the School's operating fund totaling $49,571,413, as well as the City's support to","center is the transfer of local tax support to the School's operating fund totaling $49,571,413, as well as the City's support to","center is the transfer of local tax support to the School's operating fund totaling $49,571,413, as well as the City's support to",
,Civic Organizations.,,,,,
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
,Business Units,Actual,Adopted,Amended,Adopted,Planned
,Non-Departmental,"8,936,659","3,757,070",-,"13,698,094","12,642,273"
Transfers and Contingencies,,"59,936,933","61,334,145",-,"62,989,477","62,390,297"
,Public Transportation,"2,494,498","2,775,754",-,"2,400,602","2,400,602"
,Debt Service,"21,308,196","22,671,183",-,"24,242,879","26,025,367"
Support to Civic & Cultural Organizations,,"319,556","331,206",-,"331,206","331,206"
Other Post Employment Benefits,,-,"2,500,000",-,"2,500,000","2,500,000"
,Total Budget,"92,995,842","93,369,358",-,"106,162,258","106,289,745"
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
,Funding Sources,Actual,Adopted,Amended,Adopted,Planned
,100 General Fund,"92,995,842","90,869,358",-,"103,662,258","103,789,745"
620 Other Post-Employment Benefits,,-,"2,500,000",-,"2,500,000","2,500,000"
,Total Funding,"92,995,842","93,369,358",-,"106,162,258","106,289,745"
,Fiscal Year 2012,2,,,,Non-Departmental
,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,,
,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,,
,Non-Departmental,Non-Departmental,Non-Departmental,,,,
,Non-Departmental,Non-Departmental,Non-Departmental,,,,
Business Unit Mission Statement,,,,,,,
The Non-Departmental section accounts for services and costs not related to other departments or agencies.,The Non-Departmental section accounts for services and costs not related to other departments or agencies.,The Non-Departmental section accounts for services and costs not related to other departments or agencies.,The Non-Departmental section accounts for services and costs not related to other departments or agencies.,The Non-Departmental section accounts for services and costs not related to other departments or agencies.,,,
Description of Services Provided,,,,,,,
Included in this section are allocations for contractual obligations or community services supported by the City.,Included in this section are allocations for contractual obligations or community services supported by the City.,Included in this section are allocations for contractual obligations or community services supported by the City.,Included in this section are allocations for contractual obligations or community services supported by the City.,Included in this section are allocations for contractual obligations or community services supported by the City.,Reflected,Reflected,
again in FY2012 and FY2013 is $3 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). In the,again in FY2012 and FY2013 is $3 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). In the,again in FY2012 and FY2013 is $3 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). In the,again in FY2012 and FY2013 is $3 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). In the,again in FY2012 and FY2013 is $3 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). In the,again in FY2012 and FY2013 is $3 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). In the,again in FY2012 and FY2013 is $3 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). In the,
"past, this tax relief was netted against real estate tax revenue. This reporting methodology change provides more transparency","past, this tax relief was netted against real estate tax revenue. This reporting methodology change provides more transparency","past, this tax relief was netted against real estate tax revenue. This reporting methodology change provides more transparency","past, this tax relief was netted against real estate tax revenue. This reporting methodology change provides more transparency","past, this tax relief was netted against real estate tax revenue. This reporting methodology change provides more transparency","past, this tax relief was netted against real estate tax revenue. This reporting methodology change provides more transparency","past, this tax relief was netted against real estate tax revenue. This reporting methodology change provides more transparency",
"to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in","to the citizens of Portsmouth. The mandated State Aid reduction for FY2012 totaling $1,193,378 is also included in",
"non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were","non-departmental. In order to make this ""Aid to the Commonwealth"" payment, the recipient departments' budgets were",
reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,reduced in accordance with the State Department of Planning and Budget instructions to the City. The result of these budget,
reductions are accumulated in non-departmental in order to remit the refund payment to the Commonwealth.,reductions are accumulated in non-departmental in order to remit the refund payment to the Commonwealth.,reductions are accumulated in non-departmental in order to remit the refund payment to the Commonwealth.,reductions are accumulated in non-departmental in order to remit the refund payment to the Commonwealth.,reductions are accumulated in non-departmental in order to remit the refund payment to the Commonwealth.,,,
,,FY 2010,FY 2011,FY 2011,,FY 2012,FY 2013
,Expenditure Categories,Actual,Adopted,Amended,,Adopted,Planned
,Salaries,-,"-4,101,578",,-,"427,500","427,500"
,Benefits,"270,529","-2,385,532",,-,"757,547","757,547"
Contractual-Jail Per Diem,,"2,624,774","3,166,375",,-,"3,544,150","3,909,150"
,Contractual-Other,"156,699","51,000",,-,"51,000","51,000"
Supp-Sympathy Flowers,,-,"3,060",,-,"3,060","3,060"
Util-Water Hydrant Chgs,,"298,440","298,440",,-,"298,440","298,440"
,Tele-Telephone,"501,105","397,786",,-,"621,500","621,500"
Tele-Telephone Cellular,,"5,537",-,,-,"180,000","180,000"
Tele-Handheld Communications,,-,"20,000",,-,"20,000","20,000"
Training-Department Head,,"14,056","28,000",,-,"28,000","28,000"
Line of Duty for Public Safety,,-,-,,-,"140,000","140,000"
Civ Orgs-Eastern VA Med School,,"45,000","45,000",,-,"45,000","45,000"
Civ Orgs-HR Planning District,,"169,607","172,820",,-,"183,757","183,757"
Civ Orgs-HR Sports Commission,,-,"15,805",,-,"15,805","15,805"
Civ Orgs-Sports Hall of Fame,,"800,000","550,000",,-,"550,000","550,000"
Civ Orgs-Lowes Annual Incent,,"175,000","175,000",,-,-,-
Civ Orgs-Milit/Fed Fac Allianc,,"49,257","49,257",,-,"49,257","49,257"
Civ Orgs-Comm. Health Center,,"76,198","76,198",,-,"76,198","76,198"
Civ Orgs-Portsmouth Partnersh,,"25,000","25,000",,-,"25,000","25,000"
Civ Orgs-Natl League Cities,,"8,743","7,928",,-,"7,928","7,928"
,Civ Orgs-Events,-,"18,194",,-,"18,194","18,194"
PA-Hospitalization of Indigent,,-,"33,336",,-,"33,336","33,336"
Sr Citizen Tax Relief,,"2,477,115","3,000,000",,-,"3,000,000","3,000,000"
State Aid Budget Reductions,,"597,773","1,193,378",,-,"1,193,378","1,193,378"
Emergency Drought Funding-Golf,,-,-,,-,"50,000","50,000"
,Prepaid Bonus,-,-,,-,"916,069",-
Recreation Initiatives,,-,-,,-,"515,000",-
,Bad Debt Expense,"-291,236",-,,-,-,-
,RE Tax Int Misc Exp,"18,363",-,,-,-,-
Internal Service Charges,,"914,699","917,603",,-,"947,975","958,223"
,Net Budget,"8,936,659","3,757,070",,-,"13,698,094","12,642,273"
,Total Budget,"8,936,659","3,757,070",,-,"13,698,094","12,642,273"
,,FY 2010,FY 2011,FY 2011,,FY 2012,FY 2013
,Funding Sources,Actual,Adopted,Amended,,Adopted,Planned
,100 General Fund,"8,936,659","3,757,070",,-,"13,698,094","12,642,273"
,Total Funding,"8,936,659","3,757,070",,-,"13,698,094","12,642,273"
,Fiscal Year 2012,3,,,,,Non-Departmental
,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
