Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,
,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,Non-Departmental,Non-Departmental,Non-Departmental,,,
,Transfers and Contingencies,Transfers and Contingencies,Transfers and Contingencies,,,
Business Unit Mission Statement,,,,,,
This section of the budget acts as a financial transaction conduit between the General Fund and other funds.,This section of the budget acts as a financial transaction conduit between the General Fund and other funds.,This section of the budget acts as a financial transaction conduit between the General Fund and other funds.,This section of the budget acts as a financial transaction conduit between the General Fund and other funds.,,,
Description of Services Provided,,,,,,
"In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains","In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains","In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains","In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains","In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains","In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains",
"transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the","transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the","transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the","transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the","transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the","transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the",
"Capital Improvement Program, and the largest contribution to Portsmouth Public Schools for the City's local share","Capital Improvement Program, and the largest contribution to Portsmouth Public Schools for the City's local share","Capital Improvement Program, and the largest contribution to Portsmouth Public Schools for the City's local share","Capital Improvement Program, and the largest contribution to Portsmouth Public Schools for the City's local share","Capital Improvement Program, and the largest contribution to Portsmouth Public Schools for the City's local share",,
committment for public education.,,,,,,
To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,
"preparation, a General Fund budget contingency is also included in this section","preparation, a General Fund budget contingency is also included in this section","preparation, a General Fund budget contingency is also included in this section",,,,
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
Expenditure Categories,,Actual,Adopted,Amended,Adopted,Planned
Contingency-Other Operating,,"20,000","531,199",-,"593,442","477,231"
,Net Budget,"20,000","531,199",-,"593,442","477,231"
Trans to Public Schools Oper,,"48,171,651","48,171,651",-,"49,571,413","48,871,532"
,Trans to CIP Fund,"2,374,847",-,-,"2,000,000","2,000,000"
Transfer to Courts Cap Reserve,,"758,769","1,818,803",-,"1,818,803","1,818,803"
,Trans to BHS Fund,"504,708","518,608",-,"237,356","234,743"
Trans to Social Services Fund,,"4,381,737","5,884,148",-,"5,172,070","5,077,167"
Trans to Community Services,,"1,728,998","3,151,095",-,"2,764,093","2,764,093"
Trans to Grants Fund,,"3,568",-,-,-,-
Trans to Donations Fund,,"17,000","47,000",-,"47,000","47,000"
Trans to Retirement Fund,,"87,723",-,-,-,-
,Trans to Golf Fund,"1,100,000","834,310",-,"594,328","834,896"
Trans to Parking Authority,,"426,609","377,331",-,"190,972","264,832"
Trans to Health Insurance Fund,,"361,323",-,-,-,-
,Total Budget,"59,936,933","61,334,145",-,"62,989,477","62,390,297"
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
,Funding Sources,Actual,Adopted,Amended,Adopted,Planned
,100 General Fund,"59,936,933","61,334,145",-,"62,989,477","62,390,297"
,Total Funding,"59,936,933","61,334,145",-,"62,989,477","62,390,297"
,Fiscal Year 2012,4,,,,Non-Departmental
