General Fund Revenues
G ENERAL FUND REVENUE S UMMARY,G ENERAL FUND REVENUE S UMMARY,G ENERAL FUND REVENUE S UMMARY,G ENERAL FUND REVENUE S UMMARY,,
,,,,FY 2011,
,,FY 2010,FY 2011,,FY 2012
Description,Description,,,Year End,
,,Actual,Approved,,Approved
,,,,Projection,
GENERAL PROPERTY TAXES,GENERAL PROPERTY TAXES,,,,
Real Property Taxes,Real Property Taxes,,,,
Current,Current,"192,100,280","185,496,900","186,491,649","177,986,800"
Delinquent,Delinquent,"6,858,082","6,650,000","7,800,000","8,800,000"
Interest and Penalties,Interest and Penalties,"779,805","650,000","900,000","900,000"
Real Estate Tax Refunds,Real Estate Tax Refunds,"-45,122","-100,000","-2,800,000","-100,000"
Subtotal of Real Property Taxes,Subtotal of Real Property Taxes,"199,693,045","192,696,900","192,391,649","187,586,800"
Downtown Improvement District,Downtown Improvement District,,,,
Current,Current,"1,651,075","1,627,800","1,627,800","1,633,500"
Delinquent,Delinquent,0,0,0,0
Subtotal of Downtown Improvement,Subtotal of Downtown Improvement,,,,
,,"1,651,075","1,627,800","1,627,800","1,633,500"
District,District,,,,
Public Service Corporation,Public Service Corporation,,,,
Current,Current,"8,743,038","8,831,300","8,831,300","8,700,000"
Delinquent,Delinquent,"4,497","25,000","11,000","10,000"
Subtotal of Public Service Corp.,Subtotal of Public Service Corp.,"8,747,535","8,856,300","8,842,300","8,710,000"
Total All Real Property Taxes,Total All Real Property Taxes,"210,091,655","203,181,000","202,861,749","197,930,300"
Personal Property,Personal Property,,,,
Current,Current,"32,965,873","33,915,000","32,800,000","33,920,000"
Delinquent,Delinquent,"10,056,069","10,000,000","10,585,000","10,579,000"
Interest and Penalties,Interest and Penalties,"904,004","500,000","945,000","814,000"
Personal Property Tax Refund,Personal Property Tax Refund,"-1,832,366","-1,000,000","-1,450,000","-1,200,000"
Subtotal of Personal Property Tax,Subtotal of Personal Property Tax,"42,093,580","43,415,000","42,880,000","44,113,000"
Public Service Corporations,Public Service Corporations,,,,
Current,Current,"133,627","132,000","119,181","100,000"
Delinquent,Delinquent,0,0,0,"10,000"
Subtotal of Public Service Corporation,Subtotal of Public Service Corporation,"133,627","132,000","119,181","110,000"
Mobile Home,Mobile Home,,,,
Current,Current,"8,853","20,000","9,000","9,000"
Delinquent,Delinquent,"6,597","3,500","7,000","7,000"
Interest,Interest,826,500,"1,000","1,000"
Subtotal of Mobile Home,Subtotal of Mobile Home,"16,276","24,000","17,000","17,000"
Machinery & Tools,Machinery & Tools,,,,
Current,Current,"3,589,388","4,327,800","3,900,000","4,200,000"
Delinquent,Delinquent,"628,025","315,000","950,000","600,000"
Interest,Interest,"8,544","9,000","25,000","9,000"
Subtotal of Machinery & Tools,Subtotal of Machinery & Tools,"4,225,957","4,651,800","4,875,000","4,809,000"
Total General Property Taxes,Total General Property Taxes,"256,561,095","251,403,800","250,752,930","246,979,300"
OTHER LOCAL TAXES,OTHER LOCAL TAXES,,,,
Sales & Use,Sales & Use,"28,248,772","28,500,000","28,200,000","29,400,000"
60,General Fund Revenue Summary,,,,
,,,FY 2011,
,FY 2010,FY 2011,,FY 2012
Description,,,Year End,
,Actual,Approved,,Approved
,,,Projection,
Utility Taxes,,,,
Water,"5,224,484","5,400,000","5,400,000","5,400,000"
Electric,"12,888,185","13,000,000","13,000,000","13,150,000"
Gas,"3,015,348","3,000,000","3,050,000","3,100,000"
Communications Sales Tax,"19,353,800","19,890,000","19,290,000","19,890,000"
Subtotal Consumer Utility Taxes,"40,481,817","41,290,000","40,740,000","41,540,000"
Business Taxes,,,,
Business License,"26,008,918","26,600,000","25,400,000","26,300,000"
Franchise,"1,405,781","1,350,000","977,968","900,000"
Bank Stock,"2,424,318","2,000,000","2,400,000","2,700,000"
Subtotal Business Taxes,"29,839,017","29,950,000","28,777,968","29,900,000"
Licenses and Decals,,,,
Motor Vehicle,"4,307,875","4,200,000","4,470,000","4,477,000"
Boats,"79,686",0,"115,000","115,000"
Subtotal Licenses and Decals,"4,387,561","4,200,000","4,585,000","4,592,000"
Consumer Taxes,,,,
Recordation,"1,596,233","1,800,000","1,600,000","1,600,000"
Cigarette,"7,175,660","6,850,000","7,000,000","7,580,000"
Admissions,"3,711,668","4,264,100","4,000,000","4,000,000"
Hotel/Motel Room,"5,409,021","5,976,500","5,500,000","5,700,000"
Hotel ($1 flat tax),"947,308","1,000,000","1,000,000","2,000,000"
Restaurant Food,"23,088,305","23,683,400","23,683,400","24,180,000"
Estate Probate,"38,641","35,000","40,000","38,000"
Short Term Rental,"141,890","199,000","199,000","200,000"
Subtotal Consumer Taxes,"42,108,726","43,808,000","43,022,400","45,298,000"
Total Other Local Taxes,"145,065,893","147,748,000","145,325,368","150,730,000"
"PERMITS, FEES & LICENSES",,,,
Animal License,"90,418","80,000","90,000","95,000"
Burglar Alarm License,"2,970","2,500","2,800","2,900"
Residential Parking Decals,"32,711","20,000","30,000","30,000"
Building Permit,"596,265","643,600","550,000","550,000"
Electrical Permit,"283,955","336,300","200,000","230,000"
Plumbing Permit,"183,265","197,000","140,000","145,000"
Plan Review Fee,"143,565","160,900","120,000","120,000"
Mechanical Code Inspection Fee,"166,153","184,500","170,000","170,000"
Elevator Inspection Fee,"112,075","84,200","100,000","100,000"
Driveway Permit,"16,190","18,000","18,000","10,000"
Utility Cut Permit,"212,865","118,000","350,000","162,500"
Special ROW/ Parking Permit,"42,235","665,700","100,500","190,200"
Street Construction Permit,"4,150","7,700","2,000","82,500"
Precious Metal Dealer Permit,"21,410","20,000","18,000","19,000"
Fire Permit and Inspections,"45,400","40,000","45,000","384,600"
Wetland Permit,"2,875","4,900","4,900","6,300"
Zoning Fees,"61,465","60,900","73,000","56,600"
,,General Fund Revenue Summary,General Fund Revenue Summary,61
,,,,FY 2011,
,,FY 2010,FY 2011,,FY 2012
Description,Description,,,Year End,
,,Actual,Approved,,Approved
,,,,Projection,
Excessive Size & Weight Permit,Excessive Size & Weight Permit,"122,550","165,000","165,000","165,000"
Taxi Operator Permit,Taxi Operator Permit,"15,980","16,000","15,000","16,000"
Foot Race / Bicycle Race Permit,Foot Race / Bicycle Race Permit,300,0,200,300
Yard/Garage Sale Permit,Yard/Garage Sale Permit,"9,900","11,000","11,000","10,000"
Registration Vacant Buildings Fee,Registration Vacant Buildings Fee,"4,125","4,600","2,500","4,600"
Transfer Fees,Transfer Fees,"5,410","5,500","5,500","5,500"
Recreation/Parks Fees,Recreation/Parks Fees,"499,185","576,500","450,000","500,000"
Recreation/Parks Classes Fees,Recreation/Parks Classes Fees,"405,885","411,600","410,000","415,000"
Recreation/Parks Concession Fees,Recreation/Parks Concession Fees,"5,480","2,500","5,000","5,300"
Recreation/Parks Rental Fees,Recreation/Parks Rental Fees,"75,325","191,100","80,000","80,000"
Recreation/Parks Camp Wakeup,Recreation/Parks Camp Wakeup,"364,152","445,000","300,000","300,000"
Total Permits and Fees,Total Permits and Fees,"3,526,259","4,473,000","3,458,400","3,856,300"
Fines & Forfeitures,Fines & Forfeitures,,,,
Fines & Forfeitures,Fines & Forfeitures,"1,035,398","1,200,000","1,100,000","1,100,000"
Fees-Handling Bad Checks,Fees-Handling Bad Checks,"13,375","11,000","14,000","14,000"
Penalties-Refuse Violation,Penalties-Refuse Violation,"34,750","27,000","25,000","25,000"
Excess Weight Penalties,Excess Weight Penalties,"25,498","89,000","40,000","60,000"
Fines-False Alarm,Fines-False Alarm,"54,470","22,000","60,000","51,000"
Total Fines and Forfeitures,Total Fines and Forfeitures,"1,163,491","1,349,000","1,239,000","1,250,000"
Use of Money and Property,Use of Money and Property,,,,
Interest on Investments,Interest on Investments,"164,976","200,000","100,000","25,000"
Other Interest,Other Interest,"70,124","875,000","875,000","254,800"
Rent - General Properties,Rent - General Properties,"3,482,112","3,492,100","3,550,000","3,512,100"
Rent - Gov's Magnet School,Rent - Gov's Magnet School,"20,700","16,000","16,000","16,000"
Rent - Cultural Convention Center,Rent - Cultural Convention Center,"358,984","300,000","300,000","300,000"
Rent - Chrysler Hall,Rent - Chrysler Hall,"353,612","275,000","350,000","325,000"
Rent - VA Stage/Wells Theatre,Rent - VA Stage/Wells Theatre,"5,377","3,000","15,000","15,000"
Rent - Harrison Opera House,Rent - Harrison Opera House,"49,182","35,000","50,000","50,000"
Rent - Harbor Park-Other,Rent - Harbor Park-Other,"40,676","5,000","13,500","30,000"
