Name: “Table 1 of 1 on page 174 of 174”,Name: “Table 1 of 1 on page 174 of 174”,Name: “Table 1 of 1 on page 174 of 174”,Name: “Table 1 of 1 on page 174 of 174”,Name: “Table 1 of 1 on page 174 of 174”,Name: “Table 1 of 1 on page 174 of 174”,Name: “Table 1 of 1 on page 174 of 174”
Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174
,,,,,,
"COUNTY OF GLOUCESTER, VIRGINIA",,,,,,
Schedule of Long-Term General Fund Debt,,,,,,
,,,,,Annual,Last
,Date,Interest,Original,Balance at,Principal,Payment
,Issued,Rate,Amount,"June 30, 2013",Payment,Due
SCHOOL DEBT,,,,,,
General Obligation Bonds VPSA,,,,,,
Bethel Elementary,"May 2, 1996",4.60% - 5.80%,"2,800,000","560,000.00","140,000","July 15, 2016"
Achilles & Botetourt,"November 6, 2003",3.10% - 5.35%,"7,525,000","5,060,000.00",Various,"July 15, 2023"
Abingdon Elementary,"November 9, 2006",4.25% - 5.10%,"6,505,000","5,160,000.00",Various,"July 15, 2026"
Abingdon,"November 8, 2007",3.00%,"6,364,713","4,946,964.00",Various,"July 15, 2027"
VPSA 2011,"December 15, 2011",4.25%,"500,000","490,000.00",Various,"December 1, 2030"
VPSA 2012,"October 31, 2012",3.84%,"599,684","599,684.00",Various,"December 1, 2034"
Total VPSA Debt,,,,"16,816,648.00",,
State Literary Fund Loans,,,,,,
Bethel,"July 15, 1998",3.00%,"4,970,324","1,470,324.00","250,000","July 15, 2018"
Total Literary Fund Debt,,,,"1,470,324.00",,
Total School Debt,,,,"18,286,972.00",,
PRIMARY GOVERNMENT DEBT,,,,,,
Courthouse Series 2006 Refunding,"March 22, 2006",3.75% - 4.50%,"8,205,000","7,470,000.00",Various,"November 1, 2030"
Communications System,"January 1, 2007",4.49%,"11,245,000","6,376,276.61","1,452,058","July 1, 2017"
Total County Debt,,,,"13,846,276.61",,
Grand Total Debt,,,,"32,133,248.61",,
"** High School and T.C. Walker addition, Athletic Complex, and Botetourt Gym.","** High School and T.C. Walker addition, Athletic Complex, and Botetourt Gym.","** High School and T.C. Walker addition, Athletic Complex, and Botetourt Gym.",,,,
"*** Refunded Peasley $4,970,000 and High School, etc. $3,595,000; received $114,087 in 1994.","*** Refunded Peasley $4,970,000 and High School, etc. $3,595,000; received $114,087 in 1994.","*** Refunded Peasley $4,970,000 and High School, etc. $3,595,000; received $114,087 in 1994.","*** Refunded Peasley $4,970,000 and High School, etc. $3,595,000; received $114,087 in 1994.",,,
,,170,170,,,
