Name: “Table 1 of 1 on page 27 of 174”,Name: “Table 1 of 1 on page 27 of 174”,Name: “Table 1 of 1 on page 27 of 174”,Name: “Table 1 of 1 on page 27 of 174”,Name: “Table 1 of 1 on page 27 of 174”,Name: “Table 1 of 1 on page 27 of 174”,Name: “Table 1 of 1 on page 27 of 174”,Name: “Table 1 of 1 on page 27 of 174”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,
,FY 2014 General Fund Revenue Budget,FY 2014 General Fund Revenue Budget,FY 2014 General Fund Revenue Budget,FY 2014 General Fund Revenue Budget,,,
,FY 12 Final,FY 12 Actual,FY 13 Original,FY 13 Expected,FY 14 Adopted,,
Account Title,Budget,Revenues,Budget,Budget,Budget,Dollar Change,% Change
OTHER INCOME-DESIGNATED,0,"2,254",0,0,0,0,0.0%
OTHER INCOME-TOURISM,"3,700","3,933","3,700","3,700","5,700","2,000",54.1%
OTHER INCOME-SHERIFF,"1,500","4,737","3,000","3,000","3,000",0,0.0%
OTHER INCOME-HEALTH,"10,500","6,947","10,844","10,844","8,307","(2,537)",(23.4%)
RETURNED CHECK FEES,"3,500","3,320","3,500","3,500","3,500",0,0.0%
ARRA - ICAC,"16,000","17,872",0,0,0,0,0.0%
Subtotal for Category,"262,451","500,650","254,691","281,969","292,888","10,919",3.9%
RECOVERED COSTS,,,,,,,
SHERIFF,"247,623","217,774","247,623","247,623","259,270","11,647",4.7%
JAIL,"30,000","20,861","30,000","30,000","15,000","(15,000)",(50.0%)
TREASURER,"51,000","51,260","36,000","36,000","56,000","20,000",55.6%
PROBATION,"23,100","23,100","16,250","16,250","46,500","30,250",186.2%
SOCIAL SERVICES,0,0,0,0,0,0,0.0%
DEMOLITION,"8,500",0,"8,500","8,500","8,500",0,0.0%
Subtotal for Category,"360,223","312,995","338,373","338,373","385,270","46,897",13.9%
NON-CATEGORICAL AID,,,,,,,
MOTOR VEHICLE CARRIER,"1,500",0,"2,000","2,000","2,000",0,0.0%
NO CAR TAX,"2,778,639","2,778,640","2,778,640","2,778,640","2,778,640",0,0.0%
MOBILE HOME TITLE TAX,"40,000","38,269","40,000","40,000","40,000",0,0.0%
RECORDATION/GRANTORS,"189,326","102,601","106,000","106,000","111,085","5,085",4.8%
RENTAL VEHICLE TAX,"36,000","63,709","54,000","54,000","54,000",0,0.0%
Subtotal for Category,"3,045,465","2,983,218","2,980,640","2,980,640","2,985,725","5,085",0.2%
STATE SHARED EXPENSES,,,,,,,
COMM ATTY,"344,031","342,298","346,398","346,398","375,451","29,053",8.4%
SHERIFF,"2,285,932","2,260,300","2,288,311","2,288,311","2,415,944","127,633",5.6%
JAIL,"149,350","177,690","153,742","153,742","160,432","6,690",4.4%
ASSET FORFEITURE-STATE,0,"3,722",0,0,0,0,0.0%
COMM REV,"118,012","118,679","119,614","119,614","127,886","8,272",6.9%
TREASURER,"121,175","120,567","123,400","123,400","131,957","8,557",6.9%
REGISTRAR,"30,626","45,393","31,000","31,000","45,553","14,553",46.9%
ELEC BOARD,"3,850","3,850","3,850","3,850","4,116",266,6.9%
CLERK CIR CT,"251,851","267,526","255,418","255,418","267,854","12,436",4.9%
RESCUE SQUAD,"41,000","38,694","41,000","41,000","41,000",0,0.0%
FIRE PROGRAMS,"100,000","98,530","100,000","100,000","100,000",0,0.0%
Subtotal for Category,"3,445,827","3,477,250","3,462,733","3,462,733","3,670,193","207,460",6.0%
CATEGORICAL AID,,,,,,,
VICTIM/WITNESS GRANT,"59,729","50,134","51,172","51,172","51,172",0,0.0%
LITTER CONTROL,"7,752","7,658","7,658","7,658","11,052","3,394",44.3%
STATE GRANT,"383,318","330,945","350,454","371,058","334,165","(36,893)",(9.9%)
E911 FUNDS,"54,812","41,206","40,000","40,000","42,627","2,627",6.6%
ASSIST TO LIBRARIES,"135,796","135,651","135,651","135,651","149,815","14,164",10.4%
ABANDONED AUTO PROGRAM,"15,000","1,200","10,000","10,000",0,"(10,000)",(100.0%)
Subtotal for Category,"656,407","566,794","594,935","615,539","588,831","(26,708)",(4.3%)
,,,23,,,,
