Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”,Name: “Table 1 of 1 on page 163 of 174”
Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163,Table: 163
,,,,,,,,,,,,,,
"COUNTY OF GLOUCESTER, VIRGINIA","COUNTY OF GLOUCESTER, VIRGINIA",,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,
Governmental Funds,,,,,,,,,,,,,,
"June 30, 2012",,,,,,,,,,,,,,
,,,,,,,,,,,,,Component,
,,,,,,,,,,Other,,,Unit,Total
,,,,Debt,,Capital,,School,,Governmental,,,School,Reporting
,,General,,Service,,Projects,,Construction,,Funds,,Total,Board,Entity
ASSETS,,,,,,,,,,,,,,
Cash and cash equivalents,$,"21,850,239",$,-,$,"121,284",$,"79,008",$,-,$,"22,050,531","787,872","22,838,403"
Cash in custody of others,,-,,-,,-,,"388,516",,-,,"388,516",-,"388,516"
Investments,,-,,-,,-,,-,,-,,-,-,-
Receivables (net of allowance,,,,,,,,,,,,,,
for uncollectibles):,,,,,,,,,,,,,,
Taxes receivable,,"26,239,941",,-,,-,,-,,-,,"26,239,941",-,"26,239,941"
Accounts receivable,,"372,891",,-,,-,,-,,"4,726",,"377,617","116,041","493,658"
Notes receivable,,,,,,,,,,-,,-,-,-
Due from other funds,,"1,695,950",,-,,"3,218,010",,"6,019,964",,-,,"10,933,924",-,"10,933,924"
Due from primary government,,,,,,,,,,-,,-,-,-
Due from component unit,,-,,-,,-,,-,,-,,-,-,-
Due from other governmental units,,"1,452,521",,-,,"1,088,860",,-,,"299,990",,"2,841,371","5,279,958","8,121,329"
Inventories,,-,,-,,-,,-,,-,,-,"22,821","22,821"
