Name: “Table 1 of 1 on page 3 of 174”,Name: “Table 1 of 1 on page 3 of 174”
Table: 3,Table: 3
,
Table of Contents,
Memorandum to Board of Supervisors,3
General Fund Revenue,13
General Fund Expenditures,27
School Operating Fund,61
Cafeteria Fund,69
Regional Special Education Fund,79
Social Services Fund,89
Comprehensive Services Fund,95
Capital Projects Fund,103
School Construction Fund,111
Debt Service Fund,119
Sanitary Districts,127
Utility Fund,139
Mosquito Control Fund,147
Appendix,
Organizational Chart for Gloucester County,155
Position Allocation Chart,157
Supporting Tables,159
