Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”,Name: “Table 1 of 1 on page 167 of 174”
Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167,Table: 167
,,,,,,,,,,,,
2009,,2008,,2007,,2006,,2005,,2004,,2003
"32,090,454",$,"29,677,158",$,"27,371,520",$,"26,432,859",$,"25,361,237",$,"24,578,024",$,"23,089,347"
"9,868,013",,"10,637,789",,"10,356,066",,"10,234,426",,"10,150,629",,"9,429,641",,"8,190,587"
"421,907",,"505,444",,"561,291",,"442,365",,"358,550",,"325,348",,"367,752"
"94,148",,"111,970",,"90,068",,"99,699",,"124,446",,"94,788",,"69,936"
"273,362",,"909,595",,"1,296,199",,"645,911",,"418,748",,"206,686",,"280,952"
"978,630",,"1,044,733",,"998,385",,"1,003,058",,"1,025,539",,"961,182",,"1,007,586"
"543,271",,"583,074",,"719,956",,"853,784",,"213,490",,"1,375,249",,"3,539,593"
"413,418",,"300,414",,"242,889",,"224,721",,"187,266",,"235,694",,"327,999"
"9,927,995",,"9,467,389",,"8,822,084",,"8,287,161",,"7,513,836",,"7,561,900",,"7,137,791"
"2,940,280",,"3,091,324",,"2,678,290",,"2,743,385",,"2,368,128",,"2,895,075",,"2,026,477"
"57,551,478",$,"56,328,890",$,"53,136,748",$,"50,967,369",$,"47,721,869",$,"47,663,587",$,"46,038,020"
"4,766,294",$,"4,744,278",$,"4,292,566",$,"4,114,209",$,"3,716,011",$,"3,252,076",$,"3,264,643"
"1,619,429",,"1,616,046",,"1,311,561",,"1,256,090",,"1,188,720",,"1,134,736",,"1,072,443"
"10,622,469",,"10,657,869",,"10,124,699",,"8,832,107",,"8,495,083",,"8,652,538",,"7,017,379"
"1,873,556",,"1,820,371",,"1,717,936",,"1,606,088",,"1,485,546",,"1,453,195",,"1,349,677"
"4,348,208",,"4,001,667",,"3,920,276",,"3,685,808",,"3,744,821",,"3,386,685",,"3,296,833"
"21,703,289",,"21,561,837",,"20,123,728",,"18,415,298",,"17,195,819",,"16,080,604",,"15,708,844"
"1,970,594",,"2,040,444",,"1,879,698",,"1,708,483",,"1,486,361",,"1,242,768",,"1,112,185"
"776,991",,"828,242",,"908,769",,"803,212",,"735,022",,"726,647",,"794,845"
"272,035",,"271,250",,"242,300",,"199,126",,"165,327",,"1,362,005",,"3,673,350"
"19,493,940",,"15,512,754",,"5,091,488",,"5,173,233",,"10,227,835",,"2,541,164",,"2,880,899"
"3,055,466",,"2,317,442",,"2,125,399",,"2,237,523",,"3,041,103",,"2,186,094",,"2,288,399"
"2,547,578",,"1,603,656",,"1,430,257",,"2,202,010",,"1,788,567",,"1,682,544",,"1,972,079"
-,,-,,-,,-,,-,,-,,-
-,,-,,-,,-,,-,,-,,-
"73,049,849",$,"66,975,856",$,"53,168,677",$,"50,233,187",$,"53,270,215",$,"43,701,056",$,"44,431,576"
"(15,498,371)",$,"(10,646,966)",$,"(31,929)",$,"734,182",$,"(5,548,346)",$,"3,962,531",$,"1,606,444"
"7,891,873",$,"6,288,819",$,"10,171,364",$,"8,122,258",$,"11,187,176",$,"4,629,367",$,"6,033,929"
"(8,571,873)",,"(7,088,819)",,"(11,071,364)",,"(9,022,258)",,"(12,084,474)",,"(5,329,367)",,"(6,728,801)"
-,,"6,364,713",,"6,505,000",,-,,-,,"7,525,000",,-
-,,"343,349",,"162,022",,-,,-,,"442,852",,-
"11,245,000",,-,,-,,"8,205,000",,-,,"1,589,921",,-
-,,-,,-,,-,,-,,-,,-
-,,-,,-,,"(7,565,000)",,-,,-,,-
-,,-,,-,,-,,-,,"(1,589,921)",,-
"10,565,000",$,"5,908,062",$,"5,767,022",$,"(260,000)",$,"(897,298)",$,"7,267,852",$,"(694,872)"
"(4,933,371)",$,"(4,738,904)",$,"5,735,093",$,"474,182",$,"(6,445,644)",$,"11,230,383",$,"911,572"
"21,493,076",,"26,231,980",,"20,496,887",,"20,022,705",,"26,468,349",,"15,237,966",,"14,326,394"
"16,559,705",$,"21,493,076",$,"26,231,980",$,"20,496,887",$,"20,022,705",$,"26,468,349",$,"15,237,966"
9.88%,,6.76%,,6.90%,,n/a,,n/a,,n/a,,n/a
,,,,,,163,,,,,,
