Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”,Name: “Table 1 of 1 on page 7 of 26”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,,,,,,,,
,,,,,,,,,,,,
Economic and Demographic Factors,Economic and Demographic Factors,Economic and Demographic Factors,Economic and Demographic Factors,Economic and Demographic Factors,Economic and Demographic Factors,,,,,,,
Population,Population,,,,,,,,,,,
,,,,Calendar,Calendar,Population,Percent,,,,,
,,,,Year,Year,,Change,,,,,
,,,,2012,2012,"96,785",1.46%,,,,,
,,,,2011,2011,"95,388",-0.15%,,,,,
,,,,2010,2010,"95,535",-3.81%,,,,,
,,,,2009,2009,"99,321",-0.22%,,,,,
,,,,2008,2008,"99,542",-1.81%,,,,,
,,,,2007,2007,"101,377",-0.95%,,,,,
,,,,2006,2006,"102,346",1.55%,,,,,
,,,,2005,2005,"100,783",1.00%,,,,,
,,,,2004,2004,"99,785",0.33%,,,,,
,,,,2003,2003,"99,459",-0.11%,,,,,
,,,,2002,2002,"99,569",-0.17%,,,,,
Source: 2000-2010 – U.S. Census Bureau; 2011 – U.S. Bureau of Economic Analysis.,Source: 2000-2010 – U.S. Census Bureau; 2011 – U.S. Bureau of Economic Analysis.,Source: 2000-2010 – U.S. Census Bureau; 2011 – U.S. Bureau of Economic Analysis.,Source: 2000-2010 – U.S. Census Bureau; 2011 – U.S. Bureau of Economic Analysis.,Source: 2000-2010 – U.S. Census Bureau; 2011 – U.S. Bureau of Economic Analysis.,Source: 2000-2010 – U.S. Census Bureau; 2011 – U.S. Bureau of Economic Analysis.,Source: 2000-2010 – U.S. Census Bureau; 2011 – U.S. Bureau of Economic Analysis.,Source: 2000-2010 – U.S. Census Bureau; 2011 – U.S. Bureau of Economic Analysis.,Source: 2000-2010 – U.S. Census Bureau; 2011 – U.S. Bureau of Economic Analysis.,Source: 2000-2010 – U.S. Census Bureau; 2011 – U.S. Bureau of Economic Analysis.,Source: 2000-2010 – U.S. Census Bureau; 2011 – U.S. Bureau of Economic Analysis.,,
Note:,"The decline in population for 2010 is in large part due to the 2010 census results, which found that","The decline in population for 2010 is in large part due to the 2010 census results, which found that","The decline in population for 2010 is in large part due to the 2010 census results, which found that","The decline in population for 2010 is in large part due to the 2010 census results, which found that","The decline in population for 2010 is in large part due to the 2010 census results, which found that","The decline in population for 2010 is in large part due to the 2010 census results, which found that","The decline in population for 2010 is in large part due to the 2010 census results, which found that","The decline in population for 2010 is in large part due to the 2010 census results, which found that","The decline in population for 2010 is in large part due to the 2010 census results, which found that","The decline in population for 2010 is in large part due to the 2010 census results, which found that","The decline in population for 2010 is in large part due to the 2010 census results, which found that","The decline in population for 2010 is in large part due to the 2010 census results, which found that"
the 2000 censes overstated the City’s population.,the 2000 censes overstated the City’s population.,the 2000 censes overstated the City’s population.,the 2000 censes overstated the City’s population.,the 2000 censes overstated the City’s population.,the 2000 censes overstated the City’s population.,the 2000 censes overstated the City’s population.,,,,,,
Income,,,,,,,,,,,,
,The following table shows the per capita income in the City.,The following table shows the per capita income in the City.,The following table shows the per capita income in the City.,The following table shows the per capita income in the City.,The following table shows the per capita income in the City.,The following table shows the per capita income in the City.,The following table shows the per capita income in the City.,Wealth levels in the City are,Wealth levels in the City are,Wealth levels in the City are,Wealth levels in the City are,Wealth levels in the City are
impacted,by,the,high,proportion,of,military-related,incomes,which,are,characterized,by,low
"absolute levels of salaries and wages, but offset by comprehensive benefits.","absolute levels of salaries and wages, but offset by comprehensive benefits.","absolute levels of salaries and wages, but offset by comprehensive benefits.","absolute levels of salaries and wages, but offset by comprehensive benefits.","absolute levels of salaries and wages, but offset by comprehensive benefits.","absolute levels of salaries and wages, but offset by comprehensive benefits.","absolute levels of salaries and wages, but offset by comprehensive benefits.","absolute levels of salaries and wages, but offset by comprehensive benefits.","absolute levels of salaries and wages, but offset by comprehensive benefits.","absolute levels of salaries and wages, but offset by comprehensive benefits.","absolute levels of salaries and wages, but offset by comprehensive benefits.",,
,,,,Calendar,Calendar,Per Capita,Percent,,,,,
,,,,Year,Year,Income,Change,,,,,
,,,,2011,2011,"$22,302",-45.4%,,,,,
,,,,2010,2010,"$40,806",21.3%,,,,,
,,,,2009,2009,"$33,637",-1.36%,,,,,
,,,,2008,2008,"$34,102",6.00%,,,,,
,,,,2007,2007,"$32,167",5.70%,,,,,
,,,,2006,2006,"$30,421",4.10%,,,,,
,,,,2005,2005,"$29,231",3.40%,,,,,
,,,,2004,2004,"$28,273",3.70%,,,,,
,,,,2003,2003,$27.272,6.70%,,,,,
,,,,2002,2002,"$25,567",7.80%,,,,,
,,,,2001,2001,"$23,721",9.90%,,,,,
,,,,2000,2000,"$21,579",5.40%,,,,,
Source:,"Bureau of Economic Analysis, U.S. Department of Commerce;","Bureau of Economic Analysis, U.S. Department of Commerce;","Bureau of Economic Analysis, U.S. Department of Commerce;","Bureau of Economic Analysis, U.S. Department of Commerce;","Bureau of Economic Analysis, U.S. Department of Commerce;","Bureau of Economic Analysis, U.S. Department of Commerce;","Bureau of Economic Analysis, U.S. Department of Commerce;",,,,,
,,,,,,2-7,,,,,,
,,,,,,,,,,,,
