Name: “Table 1 of 1 on page 29 of 34”,Name: “Table 1 of 1 on page 29 of 34”,Name: “Table 1 of 1 on page 29 of 34”,Name: “Table 1 of 1 on page 29 of 34”,Name: “Table 1 of 1 on page 29 of 34”,Name: “Table 1 of 1 on page 29 of 34”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,
PRINCIPAL TAXPAYERS,PRINCIPAL TAXPAYERS,,,,
Table 3: Principal Property Taxpayers in 2011,Table 3: Principal Property Taxpayers in 2011,Table 3: Principal Property Taxpayers in 2011,,,
,,,Real Property Taxable,Percentage of Total,
Rank,Rank,Taxpayer,,,
,,,Assessed Value,Assessed Value,
,1,Virginia Power Co.,"$270,009,241",1.40%,
,,MacArthur Shopping Center LLC,,,
,2,,"$152,853,900",0.79%,
,,(Taubman Co.),,,
,3,Norfolk Southern Corporation,"$148,086,410",0.77%,
,4,"Verizon Virginia, Inc.","$139,564,095",0.72%,
,,Old Dominion University Real Estate,,,
,5,,"$101,124,500",0.52%,
,,Foundation,,,
,6,Bank of America,"$80,654,300",0.42%,
,7,Virginia Natural Gas,"$70,523,192",0.37%,
,8,Cox Virginia Telecom,"$62,560,511",0.32%,
,9,Dominion Tower Ltd.,"$59,652,400",0.31%,
10,10,"Norfolk Housing, LLC.","$55,511,700",0.29%,
PRINCIPAL EMPLOYERS,PRINCIPAL EMPLOYERS,,,,
Table 4: Principal Non-Governmental Employers in 2010,Table 4: Principal Non-Governmental Employers in 2010,Table 4: Principal Non-Governmental Employers in 2010,,,
•,Sentara Healthcare,Sentara Healthcare,,,
•,Old Dominion University,Old Dominion University,,,
•,Children's Hospital of the King's Daughters,Children's Hospital of the King's Daughters,,,
•,Norshipco,,,,
•,Eastern Virginia Medical School,Eastern Virginia Medical School,,,
•,Portfolio Recovery Association,Portfolio Recovery Association,,,
•,Bank of America,Bank of America,,,
•,Bon Secours DePaul Medical Center,Bon Secours DePaul Medical Center,,,
•,Walmart,,,,
•,Maersk Line Limited,Maersk Line Limited,,,
•,Tidewater Community College,Tidewater Community College,,,
•,Sentara Health Management,Sentara Health Management,,,
•,Virginia International Terminal,Virginia International Terminal,,,
•,CMA GCM America,CMA GCM America,,,
•,Tidewater Wholesale Grocery,Tidewater Wholesale Grocery,,,
•,ODU Research Foundation,ODU Research Foundation,,,
•,McDonalds,,,,
•,Colonnas Shipyard,Colonnas Shipyard,,,
"Source: Virginia Employment Commission, 3 rd Quarter 2011","Source: Virginia Employment Commission, 3 rd Quarter 2011","Source: Virginia Employment Commission, 3 rd Quarter 2011",,,
,,,Miscellaneous Statistical Information,Miscellaneous Statistical Information,511
