Miscellaneous Statistical
Information
This page intentionally left blank
P RIORITIES,,,,,
The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as
reported by the departments.,This chart displays the percent breakdown of funding to each priority area.,This chart displays the percent breakdown of funding to each priority area.,This chart displays the percent breakdown of funding to each priority area.,Going,Going
forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct
priority.,,,,,
,&z ϮϬϭϯ,ůů &ƵŶĚƐ,,,
,ůůŽĐĂƚŝŽŶ ďLJ WƌŝŽƌŝƚLJ,ůůŽĐĂƚŝŽŶ ďLJ WƌŝŽƌŝƚLJ,ƌĞĂ,,
,ĐĐĞƐƐŝďŝůŝƚLJ͕,,,,
,DŽďŝůŝƚLJ ĂŶĚ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ,,
,ŽŶŶĞĐƚŝǀŝƚLJ͕ Ϯ͘ρй,ĂŶĚ tŽƌŬĨŽƌĐĞ,ĂŶĚ tŽƌŬĨŽƌĐĞ,,
,,ĞǀĞůŽƉŵĞŶƚ͕ ϯ͘ςй,ĞǀĞůŽƉŵĞŶƚ͕ ϯ͘ςй,,
,,,ŶǀŝƌŽŶŵĞŶƚĂů,,
,,,^ƵƐƚĂŝŶĂďŝůŝƚLJ͕ ϭ͘εй,,
,tĞůůͲDĂŶĂŐĞĚ,,,,
,'ŽǀĞƌŶŵĞŶƚ͕ Ϯϳй,,,,
,,>ŝĨĞůŽŶŐ >ĞĂƌŶŝŶŐ͕,,,
,,ϯϮ͘Θй,,,
,"^ĂĨĞ͕ ,ĞĂůƚŚLJ ĂŶĚ",,,,
,/ŶĐůƵƐŝǀĞ,,,,
,ŽŵŵƵŶŝƚŝĞƐ͕ ϯϮ͘Ϭй,,,,
,ĐĐĞƐƐŝďŝůŝƚLJ͕ DŽďŝůŝƚLJ ĂŶĚ ŽŶŶĞĐƚŝǀŝƚLJ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ ĂŶĚ tŽƌŬĨŽƌĐĞ ĞǀĞůŽƉŵĞŶƚ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ ĂŶĚ tŽƌŬĨŽƌĐĞ ĞǀĞůŽƉŵĞŶƚ,,
,ŶǀŝƌŽŶŵĞŶƚĂů ^ƵƐƚĂŝŶĂďŝůŝƚLJ,>ŝĨĞůŽŶŐ >ĞĂƌŶŝŶŐ,,,
,"^ĂĨĞ͕ ,ĞĂůƚŚLJ ĂŶĚ /ŶĐůƵƐŝǀĞ ŽŵŵƵŶŝƚŝĞƐ",tĞůůͲDĂŶĂŐĞĚ 'ŽǀĞƌŶŵĞŶƚ,tĞůůͲDĂŶĂŐĞĚ 'ŽǀĞƌŶŵĞŶƚ,,
,,,,Priorities,485
The following tables display every activity or service provided by the departments.,The following tables display every activity or service provided by the departments.,The following tables display every activity or service provided by the departments.,They are separated into six
"priority areas, along with the funding associated with each.","priority areas, along with the funding associated with each.","priority areas, along with the funding associated with each.",
"Accessibility, Mobility, and Connectivity","Accessibility, Mobility, and Connectivity","Accessibility, Mobility, and Connectivity",
Activity Name,Activity Name,Department,FY 2013 Approved
,,Communications and Public,
A.1,Broadcast Services,,"452,464"
,,Information,
,,Communications and Public,
A.2,Communications (Media Relations),,"411,545"
,,Information,
,,Communications and Public,
A.3,Public Relations,,"121,644"
,,Information,
,,Communications and Public,
A.4,Publications,,"402,809"
,,Information,
,,"Cultural Facilities, Arts &",
A.5,Marketing & Administration,,"439,983"
,,Entertainment,
A.6,Municipal Parking,Departmental Support,"1,607,413"
A.7,Public Affairs,Fire-Rescue,"81,733"
A.8,Information Technology Support,Human Services,"888,281"
A.9,E-Access and Process Automation,Information Technology,"1,115,483"
A.10,Enterprise Solutions,Information Technology,"916,441"
,Integrated Financial Management,,
A.11,,Information Technology,"472,791"
,System,,
A.12,IT Chargeouts,Information Technology,"(2,012,172)"
,Network & Telecommunication,,
A.13,,Information Technology,"3,295,162"
,Services,,
A.14,Public Safety (CADS),Information Technology,"646,920"
A.15,Radio and Electronics,Information Technology,"57,587"
A.16,Services and Support,Information Technology,"899,766"
A.17,Technology Requests (Excl. CADS),Information Technology,758
,Hampton Roads Transit Advance,,
A.18,,Outside Agencies,"586,005"
,Capital Contribution,,
,Hampton Roads Transit Commission,,
A.19,,Outside Agencies,"237,036"
,Expense,,
486,Priorities,,
"Accessibility, Mobility, and Connectivity","Accessibility, Mobility, and Connectivity","Accessibility, Mobility, and Connectivity",,
Activity Name,Activity Name,Department,FY 2013 Approved,FY 2013 Approved
A.20,Hampton Roads Transit Ferry Service,Outside Agencies,"181,201","181,201"
,Hampton Roads Transit Light Rail,,,
A.21,,Outside Agencies,"3,212,668","3,212,668"
,Service,,,
A.22,Hampton Roads Transit Paratransit,Outside Agencies,"1,095,051","1,095,051"
,Hampton Roads Transit Regular Bus,,,
A.23,,Outside Agencies,"7,704,602","7,704,602"
,Service,,,
A.24,Hampton Roads Transit Vanpool Profit Outside Agencies,Hampton Roads Transit Vanpool Profit Outside Agencies,"(47,759)","(47,759)"
A.25,Norfolk Sister City Association,Outside Agencies,"50,000","50,000"
,Hampton Roads Transit Prior Year,,,
A.26,,Outside Agencies,"(496,077)","(496,077)"
,Adjustment,,,
,Hampton Roads Transit Special Events,,,
A.27,,Outside Agencies,"100,000","100,000"
,Reserve,,,
A.28,Hampton Roads Transit NET Services,Outside Agencies,"730,013","730,013"
A.29,Parking Ticket Office,Parking Facilities Fund,"356,939","356,939"
A.30,Technology Support Unit,Police,"68,262","68,262"
A.31,Intelligent Transportation Sys,Public Works,"649,448","649,448"
A.32,VDOT Program,Public Works,"269,926","269,926"
A.33,Information Technology,Sheriff and Jail,"794,036","794,036"
,,Total:,"$25,289,959","$25,289,959"
,,,Priorities,487
Economic Vitality and Workforce Development,Economic Vitality and Workforce Development,Economic Vitality and Workforce Development,
Activity Name,Activity Name,Department,FY 2013 Approved
,,"Cultural Facilities, Arts &",
EV.1,Cultural Facilities & Programs,,"549,996"
,,Entertainment,
,,"Cultural Facilities, Arts &",
EV.2,Event Coordination,,"918,832"
,,Entertainment,
,,"Cultural Facilities, Arts &",
EV.3,Freemason Museum Services,,"26,106"
,,Entertainment,
,,"Cultural Facilities, Arts &",
EV.4,General Macarthur Center,,"410,177"
,,Entertainment,
,,"Cultural Facilities, Arts &",
EV.5,Harbor Park Operations/Engineering,,"394,608"
,,Entertainment,
