Name: “Table 1 of 1 on page 13 of 82”,Name: “Table 1 of 1 on page 13 of 82”,Name: “Table 1 of 1 on page 13 of 82”,Name: “Table 1 of 1 on page 13 of 82”,Name: “Table 1 of 1 on page 13 of 82”,Name: “Table 1 of 1 on page 13 of 82”,Name: “Table 1 of 1 on page 13 of 82”,Name: “Table 1 of 1 on page 13 of 82”,Name: “Table 1 of 1 on page 13 of 82”,Name: “Table 1 of 1 on page 13 of 82”,Name: “Table 1 of 1 on page 13 of 82”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,,2009/2010 BUDGET,2009/2010 BUDGET,2009/2010 BUDGET,,,,
,,,,,,,,,,PAGE4
SUMMARY OF REVENUE,SUMMARY OF REVENUE,,,,,,,,,
BUDGET FUNCTION,BUDGET FUNCTION,,,,,,,,,
,,,2008/2009,,2008/2009,,2009/2010,,+INCREASE,
,,,BUDGET,,REVISED,,BUDGET,,(-DECREASE),PERCENT
Total Local Funds,Total Local Funds,$,"8,631,601",$,"8,673,634",$,"8,251,123",$,"(422,511)",-4.87%
Total State Funds,Total State Funds,$,"13,035,124",$,"13,056,728",$,"11,990,522",$,"(1 ,066,206)",-8.17%
Total Federal Funds,Total Federal Funds,$,"811,735",$,"1,118,594",$,"1,091,017",$,"{27,577)",-2.47%
Total Revenue,Total Revenue,$,"22,478,460",$,"22,848,956",$,"21,332,662",$,"(1,516,294)",-6.64%
Revenue is based on a student enrollment of 2359,Revenue is based on a student enrollment of 2359,Revenue is based on a student enrollment of 2359,Revenue is based on a student enrollment of 2359,,,,,,,
7/28/2009,1:16 PM,2009-2010 Budget Revenue _Adopted 3_23_09_Rev3.xls,2009-2010 Budget Revenue _Adopted 3_23_09_Rev3.xls,2009-2010 Budget Revenue _Adopted 3_23_09_Rev3.xls,2009-2010 Budget Revenue _Adopted 3_23_09_Rev3.xls,,,,,
