Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”,Name: “Table 1 of 1 on page 72 of 82”
Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72
,,,,,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,,,
,,,,2009- 2010 BUDGET,2009- 2010 BUDGET,2009- 2010 BUDGET,,,,,,,
DRUG FREE SCHOOLS & COMMUNITY ACT,DRUG FREE SCHOOLS & COMMUNITY ACT,-,PRIMARY SCHOOL,PRIMARY SCHOOL,1.4.21.1.611 00 .....,1.4.21.1.611 00 .....,,,,,,PAGE,63
CODE,BUDGET FUNCTION,,,2007/2008,,,2008/2009,,2009/2010,,+INCREASE,,
,,,,ACTUAL,,APPROPRIATED,,,PROJECTED,,(-DECREASE),%,
3000,DRUG FREE SCHOOLS,,$,,-,$,-,$,-,$,,0.0%,0.0%
3030 TITLE IV STAFF DEVELOPMENT,3030 TITLE IV STAFF DEVELOPMENT,,$,,-,$,-,$,-,$,,0.0%,0.0%
6000 TITLE IV SUPPLIES,6000 TITLE IV SUPPLIES,,$,,-,$,-,$,-,$,,0.0%,0.0%
,,TOTAL,$,,-,$,- $,- $,- $,- $,-,0.0%,0.0%
DRUG FREE SCHOOLS & COMMUNITY ACT,DRUG FREE SCHOOLS & COMMUNITY ACT,-,ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,,1.4.22.1.611 00 .....,,,,,,
CODE,BUDGET FUNCTION,,,2007/2008,,,2008/2009,,2009/2010,,+INCREASE,,
,,,,ACTUAL,,APPROPRIATED,,,PROJECTED,,(- DECREASE),%,
3000,DRUG FREE SCHOOLS,,$,,-,$,-,$,-,$,,0.0%,0.0%
