Name: “Table 1 of 1 on page 57 of 82”,Name: “Table 1 of 1 on page 57 of 82”,Name: “Table 1 of 1 on page 57 of 82”,Name: “Table 1 of 1 on page 57 of 82”,Name: “Table 1 of 1 on page 57 of 82”,Name: “Table 1 of 1 on page 57 of 82”,Name: “Table 1 of 1 on page 57 of 82”,Name: “Table 1 of 1 on page 57 of 82”,Name: “Table 1 of 1 on page 57 of 82”,Name: “Table 1 of 1 on page 57 of 82”
Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57
,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,
,,,2009 - 2010 BUDGET,2009 - 2010 BUDGET,2009 - 2010 BUDGET,,,,
SCHOOL BOARD,1.0.90.0.62110 .. ...,,,,,,,,PAGE 48
CODE,BUDGET FUNCTION,,2007/2008,2008/2009,2008/2009,,2009/2010,+INCREASE,
,,,ACTUAL,APPROPRIATED,APPROPRIATED,,PROJECTED,(- DECREASE),%
1111,BOARD MEMBERS,$,"3,025",$,"3,060",$,"3,060",$,0.0%
2100,FICA BENEFITS,$,232,$,234,$,234,$,0.0%
,TOTAL,$,"3,257",$,"3,294",$,"3,294",$,0.0%
