Name: “Table 1 of 1 on page 79 of 82”,Name: “Table 1 of 1 on page 79 of 82”,Name: “Table 1 of 1 on page 79 of 82”,Name: “Table 1 of 1 on page 79 of 82”,Name: “Table 1 of 1 on page 79 of 82”,Name: “Table 1 of 1 on page 79 of 82”,Name: “Table 1 of 1 on page 79 of 82”,Name: “Table 1 of 1 on page 79 of 82”,Name: “Table 1 of 1 on page 79 of 82”
Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79
,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,2009 - 2010 BUDGET,2009 - 2010 BUDGET,2009 - 2010 BUDGET,,,
,,,,,,,,PAGE 70
SUMMARY OF EXPENDITURES,SUMMARY OF EXPENDITURES,,,,,,,
BUDGET FUNCTION,BUDGET FUNCTION,,,,,,,
,,,2008/2009,,2009/2010,,Change$,Change%
PPS EXPENDITURES - TOTAL,PPS EXPENDITURES - TOTAL,$,"2,958,233",$,"2,702,485",$,"(255,748)",-8.6%
HOMEBOUND/ELEMENTARY,HOMEBOUND/ELEMENTARY,$,"6,091",$,"6,091",$,,0.0%
PES EXPENDITURES - TOTAL,PES EXPENDITURES - TOTAL,$,"2,763,206",$,"2,644,556",$,"(118,650)",-4.3%
ELEMENTARY PROGRAMS,ELEMENTARY PROGRAMS,$,"315,575",$,"186,611",$,"(128,964)",-40.9%
ELEMENTARY A TIENDANCE/HEALTH,ELEMENTARY A TIENDANCE/HEALTH,$,"180,655",$,"220,007",$,"39,352",21.8%
PMS,EXPENDITURES- TOTAL,$,"3,462,875",$,"3,244,748",$,"(218, 127)",-6.3%
HOMEBOUND/SECONDARY,HOMEBOUND/SECONDARY,$,"10,623",$,"9,546",$,"(1 ,077)",-10.1%
PHS EXPENDITURES- TOTAL,PHS EXPENDITURES- TOTAL,$,"5,988,021",$,"5,690,753",$,"(297,268)",-5.0%
SECONDARY PROGRAMS,SECONDARY PROGRAMS,$,"394,577",$,"231,739",$,"(1 62,837)",-41.3%
SECONDARY A TIENDANCE/HEALTH,SECONDARY A TIENDANCE/HEALTH,$,"177,309",$,"223,934",$,"46,625",26.3%
ADULT EDUCATION,ADULT EDUCATION,$,"9,884",$,"9,834",$,(50),-0.5%
DIVISION W IDE-ADMIN,DIVISION W IDE-ADMIN,$,"1,062,466",$,"943,492",$,"(118,974)",-11.2%
TRANSPORTATION,TRANSPORTATION,$,"962,985",$,"869,899",$,"(93,086)",-9.7%
OPERATION/MAINTENANCE,OPERATION/MAINTENANCE,$,"1,779,626",$,"1,823,863",$,"44,238",2.5%
FOOD SERVICE,FOOD SERVICE,$,"415,677",$,"332,251",$,"(83,426)",-20. 1%
TECHNOLOGY,TECHNOLOGY,$,"1,002,167",$,"863,440",$,"(1 38,727)",-13.8%
SITE ACQUISITION,SITE ACQUISITION,$,"12,000",$,"11,000",$,"(1 ,000)",-8.3%
FEDERAL GRANTS,FEDERAL GRANTS,$,"1,118,594",$,"1 ,091 ,017",$,"(27,576)",-2.5%
STATE TECH GRANT,STATE TECH GRANT,$,"184,800",$,"184,800",$,,0.0%
REMEDIAL SUMMER SCHOOL,REMEDIAL SUMMER SCHOOL,$,"43,593",$,"42,595",$,i998),-2.3%
TOTAL BUDGET,TOTAL BUDGET,$,"22,848,956",$,"21 ,332,662",$,"(1 ,516,294)",-6.6%
