Name: “Table 1 of 1 on page 6 of 82”,Name: “Table 1 of 1 on page 6 of 82”,Name: “Table 1 of 1 on page 6 of 82”,Name: “Table 1 of 1 on page 6 of 82”
Table: 6,Table: 6,Table: 6,Table: 6
,,,
Revenue 2009 - 20 10,Revenue 2009 - 20 10,Revenue 2009 - 20 10,Revenue 2009 - 20 10
,"F ..,J..,·al",,
,..~. ·::o,,Lo cal
,,,39· ·
,DLocal,,
,• other,,
,State,,
,• Federal,,
•,Local,"$ 8,334,090","$ 8,334,090"
•,Local Transfers-Out,$,"(300,000)"
•,Other,$,"217,033"
•,State,"$11,990,522","$11,990,522"
•,Federal,$,"1,091,017"
•,Total,"$21,332,662","$21,332,662"
