Name: “Table 1 of 1 on page 15 of 82”,Name: “Table 1 of 1 on page 15 of 82”,Name: “Table 1 of 1 on page 15 of 82”,Name: “Table 1 of 1 on page 15 of 82”,Name: “Table 1 of 1 on page 15 of 82”,Name: “Table 1 of 1 on page 15 of 82”,Name: “Table 1 of 1 on page 15 of 82”,Name: “Table 1 of 1 on page 15 of 82”,Name: “Table 1 of 1 on page 15 of 82”,Name: “Table 1 of 1 on page 15 of 82”,Name: “Table 1 of 1 on page 15 of 82”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,
,,,,2009-2010 BUDGET,2009-2010 BUDGET,2009-2010 BUDGET,,,,
HOMEBOUND INSTRUCTION,HOMEBOUND INSTRUCTION,1.0.20.1 .61230 ...,,,,,,,,PAGES
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,2007/2008,2008/2009,2008/2009,,2009/2010,+INCREASE,
,,,,ACTUAL,APPROPRIATED,APPROPRIATED,,PROJECTED,(- DECREASE),%
1120 INSTRUCTIONAL SALARIES,1120 INSTRUCTIONAL SALARIES,1120 INSTRUCTIONAL SALARIES,$,"5,580",$,"5,658",$,"5,658",$,0.0%
2100,FICA BENEFITS,,$,427,$,433,$,433,$,0.0%
,,TOTAL,$,"6,007",$,"6,091",$,"6,091",$,0.0%
