Name: “Table 1 of 1 on page 65 of 82”,Name: “Table 1 of 1 on page 65 of 82”,Name: “Table 1 of 1 on page 65 of 82”,Name: “Table 1 of 1 on page 65 of 82”,Name: “Table 1 of 1 on page 65 of 82”,Name: “Table 1 of 1 on page 65 of 82”,Name: “Table 1 of 1 on page 65 of 82”,Name: “Table 1 of 1 on page 65 of 82”,Name: “Table 1 of 1 on page 65 of 82”,Name: “Table 1 of 1 on page 65 of 82”,Name: “Table 1 of 1 on page 65 of 82”
Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65
,,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,2009-2010 BUDGET,2009-2010 BUDGET,2009-2010 BUDGET,,,,,
,INSTRUCTIONAL SUPPORT- TECHNOLOGY,INSTRUCTIONAL SUPPORT- TECHNOLOGY,1.0.90.9.68200 ...,,,,,,,PAGE 56
CODE,BUDGET FUNCTION,,2007/2008,2008/2009,2008/2009,,2009/2010,,+INCREASE,
,,,ACTUAL,APPROPRIATED,APPROPRIATED,,PROJECTED,,(-DECREASE),%
1110 ADMINISTRATIVE SALARIES,,$,"25,562",$,"26,329",$,"26,329",$,,0.0%
1141,TECHNICAL SUPPORT,$,"131,882",$,"185,843",$,"184,748",$,"(1,095)",-0.6%
2100,FICA BENEFITS,$,"11,558",$,"16,231",$,"16,147",$,(84),-0.5%
2210 VRS BENEFITS,,$,"23,149",$,"29,301",$,"29,150",$,(151),-0.5%
2300,HEALTH BENEFITS,$,"8,423",$,"9,550",$,"23,281",$,"13,731",143.8%
2400,GROUP LIFE INSURANCE,$,"1,551",$,"1,740",$,"1,731",$,(9),-0.5%
2750,RETIREE HEALTH CARE CREDIT,$,"1,318",$,"2,291",$,"2,280",$,(12),-0.5%
3000,PURCHASE SERVICES,$,"17,701",$,"18,000",$,"18,000",$,,0.0%
3002,RDA SUPPORT SERVICES,$,"13,703",$,"14,000",$,"14,000",$,,0.0%
5001,TELECOMMUNICATIONS,$,-,$,250,$,250,$,,0.0%
6000,TECHNOLOGY SUPPLIES - SBO,$,"2,312",$,"3,000",$,"2,850",$,(150),-5.0%
6020,COMPUTER TEXTBOOKS - SBO,$,30,$,200,$,190,$,(10),-5.0%
6040,TECHNOLOGY SOFTWARE - SBO,$,"2,434",$,"2,000",$,"1,900",$,(100),-5.0%
8000,CAPITAL OUTLAY- FURNITURE,$,-,$,-,$,-,$,,0.0%
8300,HARDWARE,$,"1,250",$,"4,200",$,"3,990",$,(210),-5.0%
8304,REPLACE/REPAIR,$,"1,489",$,"5,000",$,"4,750",$,(250),-5.0%
8400,INFRASTRUCTURE,$,-,$,800,$,760,$,(40),-5.0%
,TOTAL,$,"242,363",$,"318,735",$,"330,356",$,"11,620",3.6%
