Name: “Table 1 of 1 on page 82 of 82”,Name: “Table 1 of 1 on page 82 of 82”,Name: “Table 1 of 1 on page 82 of 82”,Name: “Table 1 of 1 on page 82 of 82”,Name: “Table 1 of 1 on page 82 of 82”,Name: “Table 1 of 1 on page 82 of 82”,Name: “Table 1 of 1 on page 82 of 82”,Name: “Table 1 of 1 on page 82 of 82”,Name: “Table 1 of 1 on page 82 of 82”,Name: “Table 1 of 1 on page 82 of 82”
Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81
,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,2009-2010 BUDGET,2009-2010 BUDGET,2009-2010 BUDGET,,,,
ARRA STIMULUS FUNDING,ARRA STIMULUS FUNDING,1.8.90.0.61100 ....,,,,,,,PAGE2
CODE,BUDGET FUNCTION,,2008/2009,,,2009/2010,,+INCREASE,
,,,APPROPRIATED,,,PROJECTED,,(·DECREASE),%
1120,INSTRUCTIONAL SALARIES,,$,-,$,"407,508",$,"407,508",100.0%
2100,FICA BENEFITS,,$,-,$,"31,174",$,"31,174",100.0%
2210,VRS BENEFITS,,$,-,$,"53,017",$,"53,017",100.0%
2300,HEALTH BENEFITS,,$,-,$,36;676,$,"36,676",100.0%
2400,GROUP LIFE INSURANCE,,$,-,$,"3,342",$,"3,342",100.0%
2750,RETIREE HEALTH CARE CREDIT,,$,-,$,"4,401",$,"4,401",100.0%
3000,CONTRACTUAL,,$,-,$,"32,905",$,"32,905",100.0%
5500,PROFESSIONAL DEVELOPMENT,,$,-,$,-,$,,0.0%
6000,MATERIALS & SUPPLIES,,$,-,$,-,$,,0.0%
,,TOTAL,$,-,$,"569,022",$,"569,022",100.0%
ARRA STIMULUS FUNDING,ARRA STIMULUS FUNDING,FACILITIES 1.8.90.0.66200 ....,FACILITIES 1.8.90.0.66200 ....,,,,,PAGE,
CODE,BUDGET FUNCTION,,2008/2009,,,2009/2010,,+INCREASE,
,,,APPROPRIATED,,,PROJECTED,,(· DECREASE),%
3000,CONTRACTUAL,,$,-,$,-,$,,0.0%
8200,CAPITAL OUTLAY ADDITIONS,,$,-,$,"300,000",$,"300,000",100.0%
8220,TECHNOLOGY INFRASTRUCTURE ADD,TECHNOLOGY INFRASTRUCTURE ADD,$,-,$,"50,000",$,"50,000",100.0%
,,TOTAL,$,"""",$,"350,000",$,"350,000",100.0%
,TOTAL ARRA INSTRUCTION,,$,-,$,"569,022",$,"569,022",
,TOTAL ARRA FACILITIES,,$,-,$,"350,000",$,"350,000",
,,TOTALS,$,"""",$,"919,022",$,"919,022",
