Name: “Table 1 of 1 on page 28 of 82”,Name: “Table 1 of 1 on page 28 of 82”,Name: “Table 1 of 1 on page 28 of 82”,Name: “Table 1 of 1 on page 28 of 82”,Name: “Table 1 of 1 on page 28 of 82”,Name: “Table 1 of 1 on page 28 of 82”,Name: “Table 1 of 1 on page 28 of 82”,Name: “Table 1 of 1 on page 28 of 82”,Name: “Table 1 of 1 on page 28 of 82”,Name: “Table 1 of 1 on page 28 of 82”,Name: “Table 1 of 1 on page 28 of 82”,Name: “Table 1 of 1 on page 28 of 82”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,2009 - 2010 BUDGET,2009 - 2010 BUDGET,2009 - 2010 BUDGET,,,,,
ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,-,OFFICE OF THE PRINCIPAL,1.0.22.1.6141 0 ...,1.0.22.1.6141 0 ...,,,,,,PAGE 19
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,2007/2008,,2008/2009,,2009/2010,,+INCREASE,
,,,,ACTUAL,APPROPRIATED,APPROPRIATED,,PROJECTED,,(- DECREASE),%
1126,PRINCIPAL'S SALARY,PRINCIPAL'S SALARY,$,"80,000",$,"82,318",$,"82,400",$,82,0.1%
1127,ASSISTANT PRINCIPAL,ASSISTANT PRINCIPAL,$,"55,964",$,"70,267",$,"70,267",$,-,0.0%
1140,OFFICE CLERK SALARY,OFFICE CLERK SALARY,$,"20,586",$,"21,204",$,"23,639",$,"2,435",11.5%
1150,CLERICAL SALARY,CLERICAL SALARY,$,"32,345",$,"33,315",$,"35,977",$,"2,662",8.0%
2100,FICA BENEFITS,,$,"13,847",$,"15,843",$,"16,240",$,396,2.5%
2210,VRS BENEFITS,,$,"28,472",$,"28,601",$,"29,317",$,716,2.5%
2300,HEALTH BENEFITS,HEALTH BENEFITS,$,"16,697",$,"17,795",$,"18,873",$,"1,078",6.1%
2400,GROUP LIFE INSURANCE,GROUP LIFE INSURANCE,$,"1,823",$,"1,698",$,"1,741",$,42,2.5%
2750,RETIREE HEALTH CARE CREDIT,RETIREE HEALTH CARE CREDIT,$,"1,656",$,"2,237",$,"2,293",$,56,2.5%
,,TOTAL,$,"251,390",$,"273,278",$,"280,746",$,"7,468",2.7%
