,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
Community and Economic Development,Community and Economic Development,
,Business Center Index,
Organizational Chart,,12 - 2
Business Center Summary,Business Center Summary,12 - 3
Permits and Inspections,Permits and Inspections,12 - 4
Economic Development,Economic Development,12 - 5
Planning,,12 - 6
Willett Hall,,12 - 7
Community Planning and Development Program,Community Planning and Development Program,12 - 8
New Port Community Development Authority,New Port Community Development Authority,12 - 9
Fiscal Year 2014,12 - 1,Community and Economic Development
,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
Community and Economic Development,Community and Economic Development,
Business Center Organizational Chart,Business Center Organizational Chart,
Total Permanent Positions,,
Positions =,49,
,Permits and Inspections,
,Positions =,29
,Economic Development,
,Positions =,6
,Planning,
,Positions =,12
,Willett Hall,
,Positions =,2
Fiscal Year 2014,12 - 2,Community and Economic Development
City of Portsmouth,City of Portsmouth,,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,,
Community and Economic Development,Community and Economic Development,Community and Economic Development,Community and Economic Development,,
Description of Services Provided,,,,,
"This business center includes the departments of Economic Development, Permits and Inspections, and City Planning which","This business center includes the departments of Economic Development, Permits and Inspections, and City Planning which","This business center includes the departments of Economic Development, Permits and Inspections, and City Planning which","This business center includes the departments of Economic Development, Permits and Inspections, and City Planning which","This business center includes the departments of Economic Development, Permits and Inspections, and City Planning which",
"address the City's overall development, marketing, and planning needs. Services provided include the enforcement of the","address the City's overall development, marketing, and planning needs. Services provided include the enforcement of the","address the City's overall development, marketing, and planning needs. Services provided include the enforcement of the","address the City's overall development, marketing, and planning needs. Services provided include the enforcement of the","address the City's overall development, marketing, and planning needs. Services provided include the enforcement of the",
"Commonwealth of Virginia's Building codes and assigned local regulations, coordination of new programs to promote new","Commonwealth of Virginia's Building codes and assigned local regulations, coordination of new programs to promote new","Commonwealth of Virginia's Building codes and assigned local regulations, coordination of new programs to promote new","Commonwealth of Virginia's Building codes and assigned local regulations, coordination of new programs to promote new","Commonwealth of Virginia's Building codes and assigned local regulations, coordination of new programs to promote new",
"business development and the maintenance of existing businesses, and the provision of support for programs and activities","business development and the maintenance of existing businesses, and the provision of support for programs and activities","business development and the maintenance of existing businesses, and the provision of support for programs and activities","business development and the maintenance of existing businesses, and the provision of support for programs and activities","business development and the maintenance of existing businesses, and the provision of support for programs and activities",
"related to the physical development and use of land in the City. Also included in this section is Willett Hall, Community","related to the physical development and use of land in the City. Also included in this section is Willett Hall, Community","related to the physical development and use of land in the City. Also included in this section is Willett Hall, Community","related to the physical development and use of land in the City. Also included in this section is Willett Hall, Community","related to the physical development and use of land in the City. Also included in this section is Willett Hall, Community",
"Development Block Grant, and HOME Partnership Programs.",,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Business Units,,Actual,Adopted,Amended,Adopted
Community Planning and Development Program,,-,"1,958,877","1,958,877","1,432,498"
Economic Development,,"701,960","923,623","923,623","885,291"
New Port Community Development Authority,,"1,242,976","1,022,642","1,022,642","1,019,903"
Permits and Inspections,,"2,307,488","2,505,798","2,505,798","2,399,958"
Planning,,"1,491,845","1,691,367","1,819,267","1,618,615"
Willett Hall,,"224,040","386,866","386,866","309,678"
,Total Budget,"5,968,308","8,489,173","8,617,073","7,665,943"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
100 General Fund,,"4,501,292","5,120,788","5,248,688","4,903,864"
435 Willett Hall Fund,,"224,040","386,866","386,866","309,678"
630 New Port Community Development Authority,,"1,242,976","1,022,642","1,022,642","1,019,903"
910 Community Development,,-,"1,958,877","1,958,877","1,432,498"
,Total Funding,"5,968,308","8,489,173","8,617,073","7,665,943"
Fiscal Year 2014,12 - 3,,Community and Economic Development,Community and Economic Development,Community and Economic Development
,City of Portsmouth,,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,,
Community and Economic Development,Community and Economic Development,Community and Economic Development,Community and Economic Development,,
Permits and Inspections,Permits and Inspections,,,,
Business Unit Mission Statement,,,,,
