,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
Public Works/General Services,,
,Business Center Index,
Organizational Chart,9 - 2,
Business Center Summary,9 - 3,
Streets And Highways,9 - 4,
Storm Water Management Fund,9 - 5,
Mosquito Control,9 - 6,
Engineering,9 - 7,
Traffic Engineering,9 - 8,
Parking Authority Fund,9 - 9,
Property Management,9 - 10,
Utilities,9 - 11,
Rental Of Land,9 - 12,
Waste Management Fund,9 - 13,
City Garage Fund,9 - 14,
Cemetery Perpetual Care Fund,9 - 15,
Public Utilities Fund,9 - 16,
Harbor Center Pavilion,9 - 17,
Fiscal Year 2014,9 - 1,Public Works/General Services
,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
Public Works/General Services,Public Works/General Services,
Business Center Organizational Chart,Business Center Organizational Chart,
Total Permanent Positions,,
Positions =,355,
,Streets And Highways,
,Positions =,15
,Storm Water Management Fund,
,Positions =,27
,Mosquito Control,
,Positions =,4
,Engineering,
,Positions =,16
,Traffic Engineering,
,Positions =,9
,Parking Authority Fund,
,Positions =,6
,Property Management,
,Positions =,40
,Waste Management Fund,
,Positions =,62
,City Garage Fund,
,Positions =,35
,Public Utilities Fund,
,Positions =,139
,Harbor Center Pavilion,
,Positions =,2
Fiscal Year 2014,9 - 2,Public Works/General Services
,City of Portsmouth,,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,,
Public Works/General Services,Public Works/General Services,Public Works/General Services,,,
Description of Services Provided,,,,,
"Public Works consists of the divisions of Mosquito Control, Stormwater Management, Streets and Highways, Engineering, Traffic","Public Works consists of the divisions of Mosquito Control, Stormwater Management, Streets and Highways, Engineering, Traffic","Public Works consists of the divisions of Mosquito Control, Stormwater Management, Streets and Highways, Engineering, Traffic","Public Works consists of the divisions of Mosquito Control, Stormwater Management, Streets and Highways, Engineering, Traffic","Public Works consists of the divisions of Mosquito Control, Stormwater Management, Streets and Highways, Engineering, Traffic",
"Engineering, Properties Management, Cemetery Perpetual Care and Public Utilities. Services provided include Integrated","Engineering, Properties Management, Cemetery Perpetual Care and Public Utilities. Services provided include Integrated","Engineering, Properties Management, Cemetery Perpetual Care and Public Utilities. Services provided include Integrated","Engineering, Properties Management, Cemetery Perpetual Care and Public Utilities. Services provided include Integrated","Engineering, Properties Management, Cemetery Perpetual Care and Public Utilities. Services provided include Integrated",
"Mosquito Control Program, maintenance of city streets and alleys, management of construction and other infrastructure projects,","Mosquito Control Program, maintenance of city streets and alleys, management of construction and other infrastructure projects,","Mosquito Control Program, maintenance of city streets and alleys, management of construction and other infrastructure projects,","Mosquito Control Program, maintenance of city streets and alleys, management of construction and other infrastructure projects,","Mosquito Control Program, maintenance of city streets and alleys, management of construction and other infrastructure projects,",
cleaning and maintenance of city stormwater drainage system and management of facilities and properties in the City. The,cleaning and maintenance of city stormwater drainage system and management of facilities and properties in the City. The,cleaning and maintenance of city stormwater drainage system and management of facilities and properties in the City. The,cleaning and maintenance of city stormwater drainage system and management of facilities and properties in the City. The,cleaning and maintenance of city stormwater drainage system and management of facilities and properties in the City. The,
"Stormwater Management Division also provides inspection programs for construction and other activities, and administers the","Stormwater Management Division also provides inspection programs for construction and other activities, and administers the","Stormwater Management Division also provides inspection programs for construction and other activities, and administers the","Stormwater Management Division also provides inspection programs for construction and other activities, and administers the","Stormwater Management Division also provides inspection programs for construction and other activities, and administers the",
city's Comprehensive Stormwater Management Plan to protect the environment and ensure compliance with state and federal,city's Comprehensive Stormwater Management Plan to protect the environment and ensure compliance with state and federal,city's Comprehensive Stormwater Management Plan to protect the environment and ensure compliance with state and federal,city's Comprehensive Stormwater Management Plan to protect the environment and ensure compliance with state and federal,city's Comprehensive Stormwater Management Plan to protect the environment and ensure compliance with state and federal,
environmental requirements.,,,,,
"Also included within Public Works is the Parking Authority, services provided include maintenance of various parking garages","Also included within Public Works is the Parking Authority, services provided include maintenance of various parking garages","Also included within Public Works is the Parking Authority, services provided include maintenance of various parking garages","Also included within Public Works is the Parking Authority, services provided include maintenance of various parking garages","Also included within Public Works is the Parking Authority, services provided include maintenance of various parking garages",
"and meters; Waste Management, collection and disposal of waste and bulk materials as well as city sweeping; City Garage,","and meters; Waste Management, collection and disposal of waste and bulk materials as well as city sweeping; City Garage,","and meters; Waste Management, collection and disposal of waste and bulk materials as well as city sweeping; City Garage,","and meters; Waste Management, collection and disposal of waste and bulk materials as well as city sweeping; City Garage,","and meters; Waste Management, collection and disposal of waste and bulk materials as well as city sweeping; City Garage,",
coordination of the purchase and maintenance of vehicles and construction equipment; provision of maintenance and upkeep for,coordination of the purchase and maintenance of vehicles and construction equipment; provision of maintenance and upkeep for,coordination of the purchase and maintenance of vehicles and construction equipment; provision of maintenance and upkeep for,coordination of the purchase and maintenance of vehicles and construction equipment; provision of maintenance and upkeep for,coordination of the purchase and maintenance of vehicles and construction equipment; provision of maintenance and upkeep for,
"the Harbor Center Pavilion; and the Cemetery Fund, provision of care for cemetery lots.","the Harbor Center Pavilion; and the Cemetery Fund, provision of care for cemetery lots.",,,,
Public Utilities is responsible for Water Treatment & Distribution; Wastewater Collection and Conveyance and the Financial and,Public Utilities is responsible for Water Treatment & Distribution; Wastewater Collection and Conveyance and the Financial and,Public Utilities is responsible for Water Treatment & Distribution; Wastewater Collection and Conveyance and the Financial and,Public Utilities is responsible for Water Treatment & Distribution; Wastewater Collection and Conveyance and the Financial and,Public Utilities is responsible for Water Treatment & Distribution; Wastewater Collection and Conveyance and the Financial and,
Engineering Administration of these functions within Portsmouth and areas of Suffolk and Chesapeake. Public Utilities functions,Engineering Administration of these functions within Portsmouth and areas of Suffolk and Chesapeake. Public Utilities functions,Engineering Administration of these functions within Portsmouth and areas of Suffolk and Chesapeake. Public Utilities functions,Engineering Administration of these functions within Portsmouth and areas of Suffolk and Chesapeake. Public Utilities functions,Engineering Administration of these functions within Portsmouth and areas of Suffolk and Chesapeake. Public Utilities functions,
"as an Enterprise Fund, solely supported through user charges, and absorbs all costs associated with its operations, including","as an Enterprise Fund, solely supported through user charges, and absorbs all costs associated with its operations, including","as an Enterprise Fund, solely supported through user charges, and absorbs all costs associated with its operations, including","as an Enterprise Fund, solely supported through user charges, and absorbs all costs associated with its operations, including","as an Enterprise Fund, solely supported through user charges, and absorbs all costs associated with its operations, including",
"debt service, payments in lieu of taxes and return on investment to the City.","debt service, payments in lieu of taxes and return on investment to the City.",,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Business Units,,Actual,Adopted,Amended,Adopted
Cemetery Perpetual Care Fund,,-,"100,000","100,000","100,000"
City Garage Fund,,"9,260,420","8,760,305","8,760,305","9,932,748"
Engineering,,"1,140,105","1,420,171","1,420,171","1,361,549"
Harbor Center Pavilion,,"398,208","352,780","352,780","350,135"
Mosquito Control,,"301,921","442,107","442,107","484,794"
Parking Authority Fund,,"1,539,839","1,686,516","1,686,516","1,486,026"
Property Management,,"3,249,325","3,756,159","3,756,159","3,746,899"
Public Utilities Fund,,"37,184,443","45,025,728","45,025,728","43,697,036"
Rental Of Land,,"823,152","804,072","804,072","654,757"
Storm Water Management Fund,,"5,256,873","7,511,148","7,511,148","8,511,148"
Streets And Highways,,"3,288,463","3,240,320","3,240,320","3,493,214"
Traffic Engineering,,"2,468,994","2,721,208","2,721,208","2,716,606"
Utilities,,"2,261,358","2,174,500","2,174,500","2,699,500"
Waste Management Fund,,"11,771,163","12,586,792","12,586,792","12,284,800"
,Total Budget,"78,944,263","90,581,806","90,581,806","91,519,212"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
100 General Fund,,"13,931,526","14,911,317","14,911,317","15,507,454"
420 Stormwater Management Fund,,"5,256,873","7,511,148","7,511,148","8,511,148"
500 Cemetery Fund,,-,"100,000","100,000","100,000"
700 Public Utility Fund,,"37,184,443","45,025,728","45,025,728","43,697,036"
740 Waste Management Fund,,"11,771,163","12,586,792","12,586,792","12,284,800"
750 Portsmouth Parking Authority,,"1,539,839","1,686,516","1,686,516","1,486,026"
800 City Garage Fund,,"9,260,420","8,760,305","8,760,305","9,932,748"
,Total Funding,"78,944,263","90,581,806","90,581,806","91,519,212"
Fiscal Year 2014,9 - 3,,,Public Works/General Services,Public Works/General Services
,,City of Portsmouth,City of Portsmouth,,,
,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,Public Works/General Services,Public Works/General Services,Public Works/General Services,,,
,Streets And Highways,Streets And Highways,Streets And Highways,,,
Business Unit Mission Statement,,,,,,
To enhance the quality of life and protect the public interest by effectively maintaining the City's streets and alleys to ensure safe,To enhance the quality of life and protect the public interest by effectively maintaining the City's streets and alleys to ensure safe,To enhance the quality of life and protect the public interest by effectively maintaining the City's streets and alleys to ensure safe,To enhance the quality of life and protect the public interest by effectively maintaining the City's streets and alleys to ensure safe,To enhance the quality of life and protect the public interest by effectively maintaining the City's streets and alleys to ensure safe,To enhance the quality of life and protect the public interest by effectively maintaining the City's streets and alleys to ensure safe,
passage for vehicular and pedestrian traffic in the City of Portsmouth.,passage for vehicular and pedestrian traffic in the City of Portsmouth.,passage for vehicular and pedestrian traffic in the City of Portsmouth.,,,,
Description of Services Provided,,,,,,
The Streets and Highways Division performs and coordinates maintenance activities within the City's rights of way. Services,The Streets and Highways Division performs and coordinates maintenance activities within the City's rights of way. Services,The Streets and Highways Division performs and coordinates maintenance activities within the City's rights of way. Services,The Streets and Highways Division performs and coordinates maintenance activities within the City's rights of way. Services,The Streets and Highways Division performs and coordinates maintenance activities within the City's rights of way. Services,The Streets and Highways Division performs and coordinates maintenance activities within the City's rights of way. Services,
provided are:,,,,,,
*,,Maintenance of pavement,,,,
*,,Shoulder and alley maintenance,,,,
*,,Maintenance of concrete infrastructure,,,,
*,,Emergency operations,,,,
*,,Administration services.,,,,
,,,FY 2012,FY 2013,FY 2013,FY 2014
,,Expenditure Categories,Actual,Adopted,Amended,Adopted
Salaries,,,"359,250","480,124","480,124","479,191"
Allowances,,,"1,579","3,238","3,238","2,160"
Benefits,,,"226,969","283,704","283,704","283,863"
Other Operating Expenses,,,"2,140,297","1,842,078","1,842,078","2,092,078"
Internal Service Charges,,,"560,369","631,176","631,176","635,922"
,,Net Budget,"3,288,463","3,240,320","3,240,320","3,493,214"
,,Total Budget,"3,288,463","3,240,320","3,240,320","3,493,214"
,,,FY 2012,FY 2013,FY 2013,FY 2014
,,Funding Sources,Actual,Adopted,Amended,Adopted
100 General Fund,,,"3,288,463","3,240,320","3,240,320","3,493,214"
,,Total Funding,"3,288,463","3,240,320","3,240,320","3,493,214"
Strategic Goals,,,,,,
*,Develop a highly trained and safety-conscious workforce,,,,,
"* Maintain working knowledge of current industry, work zone and safety standards and protocols","* Maintain working knowledge of current industry, work zone and safety standards and protocols","* Maintain working knowledge of current industry, work zone and safety standards and protocols","* Maintain working knowledge of current industry, work zone and safety standards and protocols",,,
* Keep appraised of new trends and methodologies and maintain certifications,* Keep appraised of new trends and methodologies and maintain certifications,* Keep appraised of new trends and methodologies and maintain certifications,,,,
* Actively participate in efforts for citywide safety program and develop division specfic safety program to address daily,* Actively participate in efforts for citywide safety program and develop division specfic safety program to address daily,* Actively participate in efforts for citywide safety program and develop division specfic safety program to address daily,* Actively participate in efforts for citywide safety program and develop division specfic safety program to address daily,* Actively participate in efforts for citywide safety program and develop division specfic safety program to address daily,,
operations,,,,,,
* Systematic approach to maintenance activities to ensure quality customer service,* Systematic approach to maintenance activities to ensure quality customer service,* Systematic approach to maintenance activities to ensure quality customer service,* Systematic approach to maintenance activities to ensure quality customer service,,,
* Utilize routine maintenance activities to identify and develop plans for long-term solutions to infrastructure problems,* Utilize routine maintenance activities to identify and develop plans for long-term solutions to infrastructure problems,* Utilize routine maintenance activities to identify and develop plans for long-term solutions to infrastructure problems,* Utilize routine maintenance activities to identify and develop plans for long-term solutions to infrastructure problems,* Utilize routine maintenance activities to identify and develop plans for long-term solutions to infrastructure problems,,
* Promote increased coordination of projects and maintenance activities in the right of way to gain efficiencies and minimize,* Promote increased coordination of projects and maintenance activities in the right of way to gain efficiencies and minimize,* Promote increased coordination of projects and maintenance activities in the right of way to gain efficiencies and minimize,* Promote increased coordination of projects and maintenance activities in the right of way to gain efficiencies and minimize,* Promote increased coordination of projects and maintenance activities in the right of way to gain efficiencies and minimize,* Promote increased coordination of projects and maintenance activities in the right of way to gain efficiencies and minimize,
interruptions.,,,,,,
Outcomes and Accomplishments,,,,,,
* Paving schedule which included several major roads throughout the City.,* Paving schedule which included several major roads throughout the City.,* Paving schedule which included several major roads throughout the City.,,,,
"* Concrete improvements to include curbs, gutters, sidewalks, and handicapped ramps.","* Concrete improvements to include curbs, gutters, sidewalks, and handicapped ramps.","* Concrete improvements to include curbs, gutters, sidewalks, and handicapped ramps.","* Concrete improvements to include curbs, gutters, sidewalks, and handicapped ramps.",,,
* Maintain historic areas' brick sidewalks and seawall.,* Maintain historic areas' brick sidewalks and seawall.,,,,,
Fiscal Year 2014,,9 - 4,,,Public Works/General Services,Public Works/General Services
,,City of Portsmouth,City of Portsmouth,,,
,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,Public Works/General Services,Public Works/General Services,Public Works/General Services,,,
,Storm Water Management Fund,Storm Water Management Fund,Storm Water Management Fund,,,
Business Unit Mission Statement,,,,,,
The mission of Public Works is to enhance the quality of life and protect the public interest by following sound environmental,The mission of Public Works is to enhance the quality of life and protect the public interest by following sound environmental,The mission of Public Works is to enhance the quality of life and protect the public interest by following sound environmental,The mission of Public Works is to enhance the quality of life and protect the public interest by following sound environmental,The mission of Public Works is to enhance the quality of life and protect the public interest by following sound environmental,The mission of Public Works is to enhance the quality of life and protect the public interest by following sound environmental,
"policies, ensuring applicable code compliance and effectively maintaining the City's infrastructure. The Stormwater Division is","policies, ensuring applicable code compliance and effectively maintaining the City's infrastructure. The Stormwater Division is","policies, ensuring applicable code compliance and effectively maintaining the City's infrastructure. The Stormwater Division is","policies, ensuring applicable code compliance and effectively maintaining the City's infrastructure. The Stormwater Division is","policies, ensuring applicable code compliance and effectively maintaining the City's infrastructure. The Stormwater Division is","policies, ensuring applicable code compliance and effectively maintaining the City's infrastructure. The Stormwater Division is",
responsible for implementing the regulations of the Environmental Protection Agency (EPA) under the 1998 Amendments to the,responsible for implementing the regulations of the Environmental Protection Agency (EPA) under the 1998 Amendments to the,responsible for implementing the regulations of the Environmental Protection Agency (EPA) under the 1998 Amendments to the,responsible for implementing the regulations of the Environmental Protection Agency (EPA) under the 1998 Amendments to the,responsible for implementing the regulations of the Environmental Protection Agency (EPA) under the 1998 Amendments to the,responsible for implementing the regulations of the Environmental Protection Agency (EPA) under the 1998 Amendments to the,
Clean Water Act which requires localities to develop and implement Stormwater Management and Erosion and Sediment,Clean Water Act which requires localities to develop and implement Stormwater Management and Erosion and Sediment,Clean Water Act which requires localities to develop and implement Stormwater Management and Erosion and Sediment,Clean Water Act which requires localities to develop and implement Stormwater Management and Erosion and Sediment,Clean Water Act which requires localities to develop and implement Stormwater Management and Erosion and Sediment,Clean Water Act which requires localities to develop and implement Stormwater Management and Erosion and Sediment,
Control Programs.,,,,,,
Description of Services Provided,,,,,,
*,Maintenance of Stormwater Infrastructure,,,,,
*,,Cave-in Repair Program,,,,
*,,Storm Drain Rehabilitation,,,,
*,,Ditch/Outfall Maintenance Program,,,,
*,,Regulatory activities,,,,
*,,Emergency Operations,,,,
*,,Lake and Pond Management Program,,,,
*,,Erosion and Sediment Control Program,,,,
*,,Stormwater Management Program,,,,
*,,Enforcement of Stormwater Ordinance,,,,
,,,FY 2012,FY 2013,FY 2013,FY 2014
,,Expenditure Categories,Actual,Adopted,Amended,Adopted
Salaries,,,"583,513","681,853","681,853","818,502"
Allowances,,,"6,397","10,796","10,796","6,480"
Benefits,,,"307,222","390,911","390,911","484,711"
Other Operating Expenses,,,"429,512","628,994","628,994","655,269"
Internal Service Charges,,,"330,227","280,978","280,978","265,002"
Capital Outlay,,,-,"532,400","532,400","451,000"
Transfers,,,"3,600,001","4,985,216","4,985,216","5,830,184"
,,Net Budget,"5,256,873","7,511,148","7,511,148","8,511,148"
,,Total Budget,"5,256,873","7,511,148","7,511,148","8,511,148"
,,,FY 2012,FY 2013,FY 2013,FY 2014
,,Funding Sources,Actual,Adopted,Amended,Adopted
420 Stormwater Management Fund,,,"5,256,873","7,511,148","7,511,148","8,511,148"
