,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0101 City Council,,,,,
100-10-100-1000-000000-000 City Council,100-10-100-1000-000000-000 City Council,,,,
501000,Sal-Full-time,"163,001","163,000","263,000","163,000"
501200,Accrued Payroll,627,0,0,0
510099,Sal-Allow for Salary Savings,0,"-8,150","-8,150",0
511100,Bene-FICA,"11,673","12,473","12,473","12,473"
511115,Bene-Health Insurance,"15,368","26,881","26,881","21,123"
511120,Bene-Dental Insurance,180,180,180,80
511125,Bene-VRS Life Insurance,457,454,454,"1,942"
511145,Bene-Retirement PSRS,"24,094","27,083","27,083","30,858"
511166,Bene-Allowance for Vacancy,0,-646,-646,0
,Sav,,,,
521005,Contractual-Code Suppl & Index,"7,758","10,000","10,000","10,000"
531999,Supp-Other,"9,328","9,000","9,000","9,000"
542020,Tele-Telephone Cellular,971,"1,400","1,400","1,400"
555210,Travel,"6,732","25,425","25,425","25,425"
555228,Purchase Card,103,0,0,0
555300,Mtgs-City Council,"20,080","25,500","25,500","25,500"
555305,Mtgs-Council Special Events,"3,165","7,000","7,000","7,000"
559090,Civ Orgs-US Conf of Mayors,"12,242","12,500","12,500","12,500"
559900,Contingency-Other Operating,0,"3,000","3,000","3,000"
620102,Motor Pool Charges,55,0,0,0
630101,Risk Management Charges,"5,120","5,145","5,145","5,196"
,100-10-100-1000-000000-000 City,"280,954","320,245","420,245","328,497"
,0101 City Council,"280,954","320,245","420,245","328,497"
0102 City Clerk,,,,,
100-10-101-1010-000000-000 City Clerk,100-10-101-1010-000000-000 City Clerk,,,,
501000,Sal-Full-time,"182,779","185,661","185,661","185,663"
501200,Accrued Payroll,868,0,0,0
510099,Sal-Allow for Salary Savings,0,"-8,783","-8,783",0
511100,Bene-FICA,"12,895","13,438","13,438","14,204"
511115,Bene-Health Insurance,"29,020","29,342","29,342","33,032"
