Cmp,Fac Name,Seg From,Pm Los,Type Seg,Seg To,latitude,longitude
F1240420,WESTERN FWY,WEST NORFOLK RD,A-C,E,MLK FREEWAY/MIDTOWN TUNNEL,36.8547468601806,-76.3339380844279
F1240430,WESTERN FWY,WEST NORFOLK RD,D,E,MLK FREEWAY/MIDTOWN TUNNEL,36.8532874767661,-76.3283449319363
F1240300,M L K FREEWAY,LONDON BLVD,A-C,E,WESTERN FREEWAY/MIDTOWN TUNNEL,36.8495655679705,-76.3276408141686
F1340410,SE EXPWY,OCEANA RD,#N/A,F,I-264,36.8078629321077,-76.0021672409404
F1340380,SE EXPWY,DAM NECK RD,#N/A,F,OCEANA RD,36.7904318516565,-76.0137275198961
F1340360,SE EXPWY,PRINCESS ANNE RD,#N/A,F,DAM NECK RD,36.7805029405862,-76.0324335775929
F1340360,SE EXPWY,PRINCESS ANNE RD,#N/A,F,DAM NECK RD,36.7741577009429,-76.0397274508519
F1310590,ROUTE 13/58/460,SUFFOLK CL,A-C,E,I-664,36.7846665627575,-76.4269970845351
F1340360,SE EXPWY,PRINCESS ANNE RD,#N/A,F,DAM NECK RD,36.770410934644,-76.0524542566193
F1340360,SE EXPWY,PRINCESS ANNE RD,#N/A,F,DAM NECK RD,36.7681310765879,-76.0644317989714
F1340360,SE EXPWY,PRINCESS ANNE RD,#N/A,F,DAM NECK RD,36.7669028316052,-76.0711907917909
F1340340,SE EXPWY,INDIAN RIVER RD,#N/A,F,PRINCESS ANNE RD,36.7657419748104,-76.0768966106392
F1340340,SE EXPWY,INDIAN RIVER RD,#N/A,F,PRINCESS ANNE RD,36.7644576596496,-76.0856836719698
F1340340,SE EXPWY,INDIAN RIVER RD,#N/A,F,PRINCESS ANNE RD,36.7611111784797,-76.1044537280883
F1340340,SE EXPWY,INDIAN RIVER RD,#N/A,F,PRINCESS ANNE RD,36.7576824333043,-76.1243832481102
F1340320,SE EXPWY,WCL VA BEACH,#N/A,F,INDIAN RIVER RD,36.7564136533701,-76.1339828286642
F1310560,CHESAPEAKE EXPWY,DOMINION BLVD,A-C,E,I-64,36.7617613007186,-76.2658285978911
F1340320,SE EXPWY,WCL VA BEACH,#N/A,F,INDIAN RIVER RD,36.7551433007138,-76.1372771482281
F1310620,SE EXPWY,CENTERVILLE TNPK,#N/A,F,VA BEACH CL,36.7538555838475,-76.1403709831444
F1310620,SE EXPWY,CENTERVILLE TNPK,#N/A,F,VA BEACH CL,36.7520865730053,-76.1447772225956
F1310620,SE EXPWY,CENTERVILLE TNPK,#N/A,F,VA BEACH CL,36.7459580214213,-76.167021658006
F1310600,SE EXPWY,BATTLEFIELD BLVD,#N/A,F,CENTERVILLE TURNPIKE,36.7392514659878,-76.1929807618737
F1310550,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (N OF GREAT BRIDGE),F,E,DOMINION BLVD,36.7370092775403,-76.2424739325864
F1310550,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (N OF GREAT BRIDGE),F,E,DOMINION BLVD,36.7368413447888,-76.241697258059
F1310530,CHESAPEAKE EXPWY,MT PLEASANT RD,F,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7360379963608,-76.2386467317681
F1310530,CHESAPEAKE EXPWY,MT PLEASANT RD,F,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7353589912677,-76.2371149312067
F1310530,CHESAPEAKE EXPWY,MT PLEASANT RD,F,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7333183813154,-76.2348179717575
F1310530,CHESAPEAKE EXPWY,MT PLEASANT RD,F,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7262677293402,-76.2298019681675
F1310530,CHESAPEAKE EXPWY,MT PLEASANT RD,F,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7153468263258,-76.2257525439202
F1310530,CHESAPEAKE EXPWY,MT PLEASANT RD,F,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7088406227169,-76.2258776779841
F1310510,CHESAPEAKE EXPWY,HANBURY RD,A-C,E,MT PLEASANT RD,36.7073611375725,-76.2260580702571
F1310510,CHESAPEAKE EXPWY,HANBURY RD,A-C,E,MT PLEASANT RD,36.7060361711886,-76.2262030276135
F1310490,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (S OF GREAT BRIDGE),A-C,E,HANBURY RD,36.6864680725997,-76.2288080712256
F1310460,CHESAPEAKE EXPWY,HILLCREST PKWY,A-C,E,BATTLEFIELD BLVD (S OF GREAT BRIDGE),36.6811104217678,-76.2277564317549
F1310440,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (NEAR INDIAN CREEK),A-C,E,HILLCREST PKWY,36.6548766906289,-76.227109525295
F1310440,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (NEAR INDIAN CREEK),A-C,E,HILLCREST PKWY,36.6482827863991,-76.2222539406571
F1310440,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (NEAR INDIAN CREEK),A-C,E,HILLCREST PKWY,36.6395537692033,-76.2180064756581
F1310440,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (NEAR INDIAN CREEK),A-C,E,HILLCREST PKWY,36.6282662449663,-76.2144267801602
F1340410,SE EXPWY,OCEANA RD,#N/A,F,I-264,36.8444551103277,-76.0041835449357
F1340410,SE EXPWY,OCEANA RD,#N/A,F,I-264,36.8425151709749,-76.0044134237325
F1340410,SE EXPWY,OCEANA RD,#N/A,F,I-264,36.8306573910703,-76.0074799630481
F1310590,ROUTE 13/58/460,SUFFOLK CL,A-C,E,I-664,36.781178362391,-76.4338701620783
F1310590,ROUTE 13/58/460,SUFFOLK CL,A-C,E,I-664,36.777951021413,-76.4434628039863
F1310590,ROUTE 13/58/460,SUFFOLK CL,A-C,E,I-664,36.7741588274123,-76.455842262251
F1310550,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (N OF GREAT BRIDGE),F,E,DOMINION BLVD,36.7538713470913,-76.2650284208353
F1310570,CHESAPEAKE EXPWY,DOMINION BLVD,A-C,E,I-64,36.760546806896,-76.2682510683244
F1310570,CHESAPEAKE EXPWY,DOMINION BLVD,A-C,E,I-64,36.7569746062199,-76.2668578451953
F1310530,CHESAPEAKE EXPWY,MT PLEASANT RD,F,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7366531507002,-76.2409125086166
F1310530,CHESAPEAKE EXPWY,MT PLEASANT RD,F,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7364870761284,-76.2402435394461
F1310530,CHESAPEAKE EXPWY,MT PLEASANT RD,F,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7363266875628,-76.2396319023673
F1310560,CHESAPEAKE EXPWY,DOMINION BLVD,A-C,E,I-64,36.7586756038747,-76.264936580412
F1240310,M L K FREEWAY,LONDON BLVD,A-C,E,WESTERN FREEWAY/MIDTOWN TUNNEL,36.8433439760334,-76.3305646938974
F1240290,M L K FREEWAY,HIGH ST,A-C,E,LONDON BLVD,36.8369608666346,-76.3289907833571
F1240310,M L K FREEWAY,LONDON BLVD,A-C,E,WESTERN FREEWAY/MIDTOWN TUNNEL,36.8392545804496,-76.3300096468921
F1240290,M L K FREEWAY,HIGH ST,A-C,E,LONDON BLVD,36.8354374851407,-76.3282341265975
F1240300,M L K FREEWAY,LONDON BLVD,A-C,E,WESTERN FREEWAY/MIDTOWN TUNNEL,36.8481845922249,-76.3281146708696
F1310510,CHESAPEAKE EXPWY,HANBURY RD,A-C,E,MT PLEASANT RD,36.6987251916503,-76.2270513758934
F1310510,CHESAPEAKE EXPWY,HANBURY RD,A-C,E,MT PLEASANT RD,36.6904286287084,-76.2280290114686
F1310550,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (N OF GREAT BRIDGE),F,E,DOMINION BLVD,36.7453896074715,-76.2543322799742
F1310550,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (N OF GREAT BRIDGE),F,E,DOMINION BLVD,36.73725722781,-76.243558399869
F1310480,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (S OF GREAT BRIDGE),A-C,E,HANBURY RD,36.6850031282547,-76.2265668497978
F1310460,CHESAPEAKE EXPWY,HILLCREST PKWY,A-C,E,BATTLEFIELD BLVD (S OF GREAT BRIDGE),36.6711863264696,-76.2288035858615
F1310440,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (NEAR INDIAN CREEK),A-C,E,HILLCREST PKWY,36.6509288321666,-76.2244897477183
F1310460,CHESAPEAKE EXPWY,HILLCREST PKWY,A-C,E,BATTLEFIELD BLVD (S OF GREAT BRIDGE),36.6599192787222,-76.229062306858
F1310440,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (NEAR INDIAN CREEK),A-C,E,HILLCREST PKWY,36.6209235406653,-76.2127540512694
F1310440,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (NEAR INDIAN CREEK),A-C,E,HILLCREST PKWY,36.6206915174379,-76.2135153086125
F1310420,CHESAPEAKE EXPWY,GALLBUSH RD,A-C,E,BATTLEFIELD BLVD (NEAR INDIAN CREEK),36.5964691965259,-76.2050446237356
F1310540,CHESAPEAKE EXPWY,BATTLEFIELD BLVD (N OF GREAT BRIDGE),A-C,E,DOMINION BLVD,36.7479926648883,-76.2533454724514
F1310520,CHESAPEAKE EXPWY,MT PLEASANT RD,A-C,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7276163259403,-76.2275392412411
F1310520,CHESAPEAKE EXPWY,MT PLEASANT RD,A-C,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7147367784861,-76.2231489313837
F1310600,SE EXPWY,BATTLEFIELD BLVD,#N/A,F,CENTERVILLE TURNPIKE,36.7341708919064,-76.2156924706896
F1310520,CHESAPEAKE EXPWY,MT PLEASANT RD,A-C,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7375826444403,-76.2368389075585
F1310520,CHESAPEAKE EXPWY,MT PLEASANT RD,A-C,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7349124073047,-76.2327412973003
F1310520,CHESAPEAKE EXPWY,MT PLEASANT RD,A-C,E,BATTLEFIELD BLVD (N OF GREAT BRIDGE),36.7389173881383,-76.2408033489611
F1310500,CHESAPEAKE EXPWY,HANBURY RD,A-C,E,MT PLEASANT RD,36.7059474549404,-76.2235101998598
