Name: “Table 1 of 1 on page 18 of 75”,Name: “Table 1 of 1 on page 18 of 75”,Name: “Table 1 of 1 on page 18 of 75”,Name: “Table 1 of 1 on page 18 of 75”,Name: “Table 1 of 1 on page 18 of 75”,Name: “Table 1 of 1 on page 18 of 75”,Name: “Table 1 of 1 on page 18 of 75”,Name: “Table 1 of 1 on page 18 of 75”,Name: “Table 1 of 1 on page 18 of 75”,Name: “Table 1 of 1 on page 18 of 75”,Name: “Table 1 of 1 on page 18 of 75”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,,2006 I 2007 BUDGET,2006 I 2007 BUDGET,2006 I 2007 BUDGET,2006 I 2007 BUDGET,,,
,SUMMARY OF EXPENDITURES,SUMMARY OF EXPENDITURES,SUMMARY OF EXPENDITURES,,,,,,,
,,,,,,,,,INCREASE I,PAGE 5
,,,BUDGET FUNCTION,,2005/2006,,2006/2007,,DECREASE,PERCENT
,PPS EXPENDITURES - TOTAL,PPS EXPENDITURES - TOTAL,PPS EXPENDITURES - TOTAL,$,"2,739,305",$,"2,928,051",$,"188,746",6.89%
,HOMEBOUND/ELEMENTARY,HOMEBOUND/ELEMENTARY,HOMEBOUND/ELEMENTARY,$,"4,145",$,"6,091",$,"1,946",46.95%
,PES EXPENDITURES - TOT AL,PES EXPENDITURES - TOT AL,PES EXPENDITURES - TOT AL,$,"2,567,339",$,"2,692,403",$,"125,064",4.87%
,ENRICHMENT SUMMER SCHOOL,ENRICHMENT SUMMER SCHOOL,ENRICHMENT SUMMER SCHOOL,$,"86,775",$,"95,421",$,"8,646",9.96%
,PMS,EXPENDITURES- TOTAL,EXPENDITURES- TOTAL,$,"3,291 '114",$,"3,531 ' 127",$,"240,013",7.29%
,HOMEBOUND/SECONDARY,HOMEBOUND/SECONDARY,HOMEBOUND/SECONDARY,$,"8,677",$,"10,622",$,"1,945",22.42%
,PHS EXPENDITURES - TOTAL,PHS EXPENDITURES - TOTAL,PHS EXPENDITURES - TOTAL,$,"5,209,624",$,"5,674,015",$,"464,391",8.91%
,SECONDARY PROGRAMS,SECONDARY PROGRAMS,SECONDARY PROGRAMS,$,"127,549",$,"138,102",$,"10,553",8.27%
,ADULT EDUCATION,ADULT EDUCATION,ADULT EDUCATION,$,"9,960",$,"9,960",$,,0.00%
,DISTRICT WIDE-ADMIN,DISTRICT WIDE-ADMIN,DISTRICT WIDE-ADMIN,$,"1,202,986",$,"1,288,272",$,"85,286",7.09%
,ATTENDANCE & HEALTH,ATTENDANCE & HEALTH,ATTENDANCE & HEALTH,$,"296,593",$,"308,777",$,"12,184",4.11%
,TRANSPORTATION,TRANSPORTATION,TRANSPORTATION,$,"829,335",$,"885,629",$,"56,294",6.79%
,OPERATION/MAl NTENANCE,OPERATION/MAl NTENANCE,OPERATION/MAl NTENANCE,$,"1,583,497",$,"1,630,$77",$,"47,480",3.00%
,FOOD SERVICE,FOOD SERVICE,FOOD SERVICE,$,"322,929",$,"349,543",$,"26,614",8.24%
,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,$,"712,238",$,"790,797",$,"78,559",11.03%
,SITE ACQUISITION,SITE ACQUISITION,SITE ACQUISITION,$,"10,550",$,"10,550",$,,0.00%
,GRANTS,GRANTS,,$,"793,673",$,"833,989",$,"40,316",5.08%
,REMEDIAL SUMMER SCHOOL,REMEDIAL SUMMER SCHOOL,REMEDIAL SUMMER SCHOOL,$,"31,255",$,"33,406",$,"2,151",6.88%
,TOTAL BUDGET,TOTAL BUDGET,TOTAL BUDGET,$,"19,827,542",$,"21,217,734",$,"1,390,192",7.01 %
7/24/2006,11 :01,AM,Budget Revenue Adopted on 7-15-06 for 2006-2007.xls,Budget Revenue Adopted on 7-15-06 for 2006-2007.xls,Budget Revenue Adopted on 7-15-06 for 2006-2007.xls,Budget Revenue Adopted on 7-15-06 for 2006-2007.xls,,,,
