Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”,Name: “Table 1 of 1 on page 29 of 75”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,,,,,,,,,
,,,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,,
,,,,,,2006- 2007 BUDGET,2006- 2007 BUDGET,,,,,,,
ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,-,GUIDANCE,1.0.22.1 .6121 0 ...,1.0.22.1 .6121 0 ...,,,,,,,PAGE 16,PAGE 16,
CODE,BUDGET FUNCTION,BUDGET FUNCTION,BUDGET FUNCTION,,2004/2005,,2005/2006,,2006/2007,,+INCREASE,,,
,,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(-DECREASE),%,,
1120,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,$,"42,912",$,"46,010",$,"48,174",$,"2,164",,4.7%,
2100,FICA BENEFITS,,,$,"2,983",$,"3,520",$,"3 ,685",$,166,,4.7%,
2210,VRS BENEFITS,,,$,"5,065",$,"5,599",$,"7 ,110",$,"1,511",27.0%,27.0%,
2300,HEALTH BENEFITS,HEALTH BENEFITS,,$,"6,180",$,"5,689",$,"7,356",$,"1,667",29.3%,29.3%,
2400,GLI BENEFITS,,,$,,$,-,$,236,$,236,100.0%,100.0%,
6000,MATERIALS & SUPPLIES,MATERIALS & SUPPLIES,MATERIALS & SUPPLIES,$,"1,260",$,"1,260",$,"1,260",$,,,0.0%,
,TOTAL,TOTAL,TOTAL,$,"58,399",$,"62,078",$,"67 ,822",$,"5,744",,9.3%,
,Budget Expenditure 2006-2007 fin al 7 -1 5-06.xls,Budget Expenditure 2006-2007 fin al 7 -1 5-06.xls,Budget Expenditure 2006-2007 fin al 7 -1 5-06.xls,Budget Expenditure 2006-2007 fin al 7 -1 5-06.xls,,,,,,,,711912006,4:22,P M
