Name: “Table 1 of 1 on page 75 of 75”,Name: “Table 1 of 1 on page 75 of 75”,Name: “Table 1 of 1 on page 75 of 75”,Name: “Table 1 of 1 on page 75 of 75”,Name: “Table 1 of 1 on page 75 of 75”,Name: “Table 1 of 1 on page 75 of 75”,Name: “Table 1 of 1 on page 75 of 75”,Name: “Table 1 of 1 on page 75 of 75”,Name: “Table 1 of 1 on page 75 of 75”,Name: “Table 1 of 1 on page 75 of 75”
Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75
,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,,2006- 2007 BUDGET,2006- 2007 BUDGET,,,,
,,,,,,,,,PAGE 62
SUMMARY OF EXPENDITURES,SUMMARY OF EXPENDITURES,,,,,,,,
BUDGET FUNCTION,BUDGET FUNCTION,,,,,,,,
,,,2005/2006,,2006/2007,,,,
PPS EXPENDITURES - TOTAL,PPS EXPENDITURES - TOTAL,$,"2,739,306",$,"2,928,051",,,,
HOMEBOUND/ELEMENTARY,HOMEBOUND/ELEMENTARY,$,"4,145",$,"6,091",,,,
PES EXPENDITURES - TOTAL,PES EXPENDITURES - TOTAL,$,"2,567,339",$,"2,692,403",,,,
ELEMENTARY PROGRAMS,ELEMENTARY PROGRAMS,$,"86,775",$,"95,421",,,,
PMS,EXPENDITURES- TOTAL,$,"3,291,114",$,"3,531 '127",,,,
HOMEBOUND/SECONDARY,HOMEBOUND/SECONDARY,$,"8,677",$,"10,622",,,,
PHS EXPENDITURES- TOTAL,PHS EXPENDITURES- TOTAL,$,"5,209,624",$,"5,674,015",,,,
SECONDARY PROGRAMS,SECONDARY PROGRAMS,$,"127,549",$,"138,102",,,,
ADULT EDUCATION,ADULT EDUCATION,$,"9,960",$,"9,960",,,,
DIVISION WIDE-ADMIN,DIVISION WIDE-ADMIN,$,"1,202,986",$,"1,288,272",,,,
ATIENDANCE & HEALTH,ATIENDANCE & HEALTH,$,"296,593",$,"308,777",,,,
TRANSPORTATION,TRANSPORTATION,$,"829,335",$,"885,629",,,,
OPERATION/MAINTENANCE,OPERATION/MAINTENANCE,$,"1,583,497",$,"1,630,977",,,,
FOOD SERVICE,FOOD SERVICE,$,"322,929",$,"349,543",,,,
TECHNOLOGY,TECHNOLOGY,$,"712,238",$,"790,797",,,,
SITE ACQUISITION,SITE ACQUISITION,$,"10,550",$,"10,550",,,,
GRANTS,GRANTS,$,"793,673",$,"833,989",,,,
REMEDIAL SUMMER SCHOOL,REMEDIAL SUMMER SCHOOL,$,"31,255",$,"33,406",,,,
,,,,,,,,PERCENT,
TOTAL BUDGET,TOTAL BUDGET,$,"19,827,542",$,"21,217,734",$,"1,390,192",7.01%,
Budget Expenditure 2006-2007 final7-15-06.xls,Budget Expenditure 2006-2007 final7-15-06.xls,Budget Expenditure 2006-2007 final7-15-06.xls,,,,,,7/24/2006,10:46 AM
