Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”,Name: “Table 1 of 1 on page 35 of 75”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,,,,,,,,,
,,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,,,2006- 2007 BUDGET,2006- 2007 BUDGET,,,,,,
ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,•,OTHER,1.0.22.5.611 00 •..,,,,,,,,PAGE 22,
CODE,BUDGET FUNCTION,BUDGET FUNCTION,BUDGET FUNCTION,,2004/2005,,2005/2006,,2006/2007,,+INCREASE,,
,,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,{·DECREASE),%;,
11 20,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,$,"21,686",$,"23,168",$,"18,245",$,"(4,923)",-21.2%,-21.2%
2100,FICA BENEFITS,,,$,"1,659",$,"1,772",$,"1,396",$,(377),-21.2%,-21.2%
2210,VRS BENEFITS,,,$,-,$,-,$,"2,693",$,"2,693",100.0%,100.0%
2300,HEALTH BENEFITS,HEALTH BENEFITS,,$,,$,,$,500,$,500,100.0%,100.0%
2400,GLI BENEFITS,,,$,-,$,,$,89,$,89,100.0%,100.0%
6000,MATERIALS & SUPPLIES,MATERIALS & SUPPLIES,MATERIALS & SUPPLIES,$,"1,516",$,"1,425",$,"1,425",$,-,0.0%,0.0%
,TOTAL,TOTAL,TOTAL,$,"24,862",$,"26,365",$,"24,348",$,"(2,017)",·7.7%,·7.7%
Budget Expenditure 2006-2007 final 7-15-06.xls,Budget Expenditure 2006-2007 final 7-15-06.xls,Budget Expenditure 2006-2007 final 7-15-06.xls,Budget Expenditure 2006-2007 final 7-15-06.xls,Budget Expenditure 2006-2007 final 7-15-06.xls,,,,,,,7/19/2006,7/19/2006,4:22 PM
