Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”,Name: “Table 1 of 1 on page 48 of 75”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,,,,,,,,
,,,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,,
,,,,,,2006 - 2007 BUDGET,2006 - 2007 BUDGET,,,,,,,
HIGH SCHOOL,-,MEDIA,1.0.32.1.61320 .....,,,,,,,,,PAGE 35,,
CODE,BUDGET FUNCTION,BUDGET FUNCTION,BUDGET FUNCTION,,2004/2005,,2005/2006,,2006/2007,,+INCREASE,,,
,,,,,.II.CTUAL,,APPR.OPR!ATED,,PROJECTED,,(- DECREASE},(%,,
1120,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,$,"40,945",$,"45,113",$,"47,233",$,"2,1 20",,4.7%,
1150,AIDES SALARIES,AIDES SALARIES,,$,"11,075",$,"12,210",$,"15,240",$,"3,030",24.8%,24.8%,
2100,FICA BENEFITS,FICA BENEFITS,,$,"3,932",$,"4,385",$,"4,779",$,394,,9.0%,
2210,VRS BENEFITS,VRS BENEFITS,,$,"6,111",$,"6,976",$,"9,221",$,"2,245",32.2%,32.2%,
2300,HEALTH BENEFITS,HEALTH BENEFITS,HEALTH BENEFITS,$,"5,063",$,"5,269",$,"5,953",$,684,13.0%,13.0%,
2400,GLI BENEFITS,GLI BENEFITS,,$,,$,,$,306,$,306,100.0%,100.0%,
6000,MATERIALS I SUPPLIES,MATERIALS I SUPPLIES,MATERIALS I SUPPLIES,$,"5,810",$,"6,000",$,"6,000",$,,,0.0%,
,,TOTAL,TOTAL,$,"72,936",$,"79,953",$,"88,732",$,"8,779",11.0%,11.0%,
,Budget Expenditure 2006-2007 fin al 7-15-06 .xl s,Budget Expenditure 2006-2007 fin al 7-15-06 .xl s,Budget Expenditure 2006-2007 fin al 7-15-06 .xl s,Budget Expenditure 2006-2007 fin al 7-15-06 .xl s,,,,,,,,7/1 9/2006,4:22,P lv1
