Name: “Table 1 of 1 on page 11 of 75”,Name: “Table 1 of 1 on page 11 of 75”,Name: “Table 1 of 1 on page 11 of 75”,Name: “Table 1 of 1 on page 11 of 75”,Name: “Table 1 of 1 on page 11 of 75”,Name: “Table 1 of 1 on page 11 of 75”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,
Expenditures for 2006- 2007,Expenditures for 2006- 2007,Expenditures for 2006- 2007,Expenditures for 2006- 2007,Expenditures for 2006- 2007,Expenditures for 2006- 2007
,Food Service,Food Service,Technology,Grants,
,,,,4%,
Transportation,Transportation,Transportation,,,
,4%,,,,
District Wide,District Wide,District Wide,,,Instruction
,8%,,,,70%
,•,Instruction,0 District Wide,0 Transportation,0 Transportation
,OO&M,OO&M,0 Food Senice,•,Technology
,•,Grants,,,
•,Instruction,Instruction,,,"$15,129,745"
•,District Wide,District Wide,,,"$1,597,054"
•,Transportation,Transportation,,,"$885,629"
•,Operation/Maintenance,Operation/Maintenance,Operation/Maintenance,,"$1,630,977"
•,Food Service,Food Service,,,"$349,543"
•,Technology,Technology,,,"$790,797"
•,Grants,Grants,,,$833!l989
•,Total Expenses,Total Expenses,Total Expenses,,"$21,217,734"
