Name: “Table 1 of 1 on page 66 of 75”,Name: “Table 1 of 1 on page 66 of 75”,Name: “Table 1 of 1 on page 66 of 75”,Name: “Table 1 of 1 on page 66 of 75”,Name: “Table 1 of 1 on page 66 of 75”,Name: “Table 1 of 1 on page 66 of 75”,Name: “Table 1 of 1 on page 66 of 75”,Name: “Table 1 of 1 on page 66 of 75”,Name: “Table 1 of 1 on page 66 of 75”,Name: “Table 1 of 1 on page 66 of 75”,Name: “Table 1 of 1 on page 66 of 75”,Name: “Table 1 of 1 on page 66 of 75”
Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66
,,,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,2006- 2007 BUDG ET,2006- 2007 BUDG ET,,,,,,
,INSTRUCTIONAL SUPPORT- TECHNOLOGY,INSTRUCTIONAL SUPPORT- TECHNOLOGY,1.0.90.9.68200 ...,1.0.90.9.68200 ...,,,,,,PAGE 53,
CODE,BUDGET FUNCTION,,2004/2005,,2005/2006,,2006/2007,,+INCREASE,,
,,,ACTUAL,,APPROPRIATED,,PROJECTED,,"{""'DECREASE)",0/o,
1110,ADMINISTRATIVE SALARIES,$,"22,945",$,"23,864",$,"24,819",$,955,,4.0%
1141,TECHNICAL SUPPORT,$,"84,147",$,"87,513",$,"92,365",$,"4,852",,5.5%
2100,FICA BEN EFITS,$,"8,235",$,"8,520",$,"8,965",$,444,,5.2%
2210,VRS BENEFITS,$,"12,401",$,"13,555",$,"17,296",$,"3,742",27.6%,27.6%
2300,HEALTH BENEFITS,$,"4,605",$,"7,150",$,"6,258",$,(892),-12.5%,-12.5%
2400,GROUP LIFE INSURANCE,$,,$,-,$,574,$,574,100.0%,100.0%
3000,PURCHASE SERVIC ES,$,"16,322",$,"16,000",$,"16,000",$,-,,0.0%
3002,RDA SUPPORT SERVICES,$,"12,313",$,"12,600",$,"12,600",$,,,0.0%
5001,TELECOMMUNICATIONS,$,,$,250,$,250,$,,,0.0%
6000,TECHNOLOGY SUPPLIES- SBO,$,"1,417",$,"1,000",$,"1,000",$,,,0.0%
6020,COMPUTER TEXTBOOKS - SBO,$,93,$,200,$,200,$,,,0.0%
6040,TECHNOLOGY SOFTWARE- SBO,$,"3,037",$,"2,000",$,"2,000",$,-,,0.0%
8000,CAPITAL OUTLAY - FURNITURE,$,,$,,$,-,$,,,0.0%
8300,HARDWARE,$,"4,065",$,"4,200",$,"4,200",$,,,0.0%
B304,REPLACE/REPAIR,$,"1,944",$,"5,000",$,"5,000",$,-,,0.0%
8400,INFRASTRUCTURE,$,BOO,$,BOO,$,800,$,-,,0.0%
,TOTAL,$,"172,324",$,"182,652",$,"192,327",$,"9,675",,5.3%
,Budget Expenditure 2006-2007 final7-15-06.xl s,Budget Expenditure 2006-2007 final7-15-06.xl s,,,,,,,,7/19/2006,4:22PM
