Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”,Name: “Table 1 of 1 on page 44 of 75”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,,,,,,,,,,,,
,,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,,,2006- 2007 BUDGET,2006- 2007 BUDGET,2006- 2007 BUDGET,,,,,,,
MIDDLE SCHOOL,•,GIFTED & TALENTED,1.0.31.4.61100 ...,1.0.31.4.61100 ...,,,,,,,,,,PAGE 31,PAGE 31
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,,2004/2005,,,2005/2006,,,2006/2007,,+INCREASE,,
,,,,,ACTUAL,,,APPROPRIATED,,,PROJECTED,,(·DECREASE),%,
1120,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,,$,"32,448",,$,"34,557",,$,"36,285",$,"1,728",,5.0%
2100,FICA BENEFITS,FICA BENEFITS,,$,"2,484",,$,"2,644",,$,"2,776",$,132,,5.0%
2210,VRS BENEFITS,,,$,"3,789",,$,"4,206",,$,"5,356",$,"1,1 50",27.3%,27.3%
2300,HEALTH BENEFITS,HEALTH BENEFITS,,$,"1,163",,$,"6,294",,$,"6,829",$,535,,8.5%
2400,GLI BENEFITS,,,$,,,$,,,$,178,$,178,100.0%,100.0%
3000,STAFF DEVELOPM ENT,STAFF DEVELOPM ENT,,$,,,$,400,,$,400,$,,,0.0%
6000,MATERIALS I SUPPLIES,MATERIALS I SUPPLIES,,$,920,,$,920,,$,920,$,,,0.0%
,,TOTAL,,$,"40,804",,$,"49,020",,$,"52,743",$,"3,723",,7.6%
,TOTAL MIDDLE,,I,$,"2,994.7 4 7",I $,I $,"3,291,114",I,$,"3,531 ,127",I$,"240,014",,7.3%
,SECONDARY HOMEBOUND,SECONDARY HOMEBOUND,I $,I $,"5,143",I $,I $,"8,677",I,$,"10,622",I$,"1,946",22.4%,22.4%
,,,TOTALS!,$,"2,999,890",I,$,"3,299, 790",I,$,"3,541 ,750",I $,"241,959",,7.3%
Budget Expenditure 2006-2007 final 7 -15-06.xls,Budget Expenditure 2006-2007 final 7 -15-06.xls,Budget Expenditure 2006-2007 final 7 -15-06.xls,Budget Expenditure 2006-2007 final 7 -15-06.xls,Budget Expenditure 2006-2007 final 7 -15-06.xls,,,,,,,,,,7/19/2006,4:22P M
