Name: “Table 1 of 1 on page 17 of 75”,Name: “Table 1 of 1 on page 17 of 75”,Name: “Table 1 of 1 on page 17 of 75”,Name: “Table 1 of 1 on page 17 of 75”,Name: “Table 1 of 1 on page 17 of 75”,Name: “Table 1 of 1 on page 17 of 75”,Name: “Table 1 of 1 on page 17 of 75”,Name: “Table 1 of 1 on page 17 of 75”,Name: “Table 1 of 1 on page 17 of 75”,Name: “Table 1 of 1 on page 17 of 75”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,2006 /2007 BUDGET,2006 /2007 BUDGET,2006 /2007 BUDGET,2006 /2007 BUDGET,,,
,SUMMARY OF REVENUE,SUMMARY OF REVENUE,,,,,,,PAGE4
,,BUDGET FUNCTION,,2005/2006,,2006/2007,,INCREASE,PERCENT
,Total Local Funds,Total Local Funds,$,"7,770,084",$,"8,189,122",$,"419,038",5.39%
,Total State Funds,Total State Funds,$,"11,323,019",$,"12,291,798",$,"968,780",8.56%
,Total Federal Funds,Total Federal Funds,$,"734,439",$,"736,814",$,"2,375",0.32%
,,,$,1,,,$,(1),
,Total Revenue,Total Revenue,$,"19,827,542",$,"21,217,734",$,"1,390,192",7.01%
,,,Based on ADM of 2570,Based on ADM of 2570,Based on ADM of 2570,,,,
7/1 9/2006,2:49PM,Budget Revenue Adopted on 7-15-06 for 2006-2007 .xls,Budget Revenue Adopted on 7-15-06 for 2006-2007 .xls,Budget Revenue Adopted on 7-15-06 for 2006-2007 .xls,Budget Revenue Adopted on 7-15-06 for 2006-2007 .xls,,,,
