June 2012 Comparison Summary,,,,,,,,,,,
,,,,,,,,,,,
,Passenger Revenue ,,,Local Assistance,,,State Assistance,,,Federal Assistance,
,Budget,Actual,,Budget,Actual,,Budget,Actual,,Budget,Actual
System-wide,,,,,,,,,,,
Bus,26.1%,22.4%,,35.6%,37.5%,,15.7%,16.3%,,25.6%,23.8%
Light Rail,8.8%,21.3%,,19.5%,5.1%,,15.0%,15.0%,,56.7%,58.6%
Ferry,25.3%,20.3%,,29.3%,2.4%,,15.8%,16.7%,,29.8%,65.4%
Paratransit,6.5%,6.3%,,37.8%,30.1%,,15.8%,16.7%,,39.9%,46.9%
Total,20.4%,19.3%,,32.8%,31.7%,,15.3%,16.2%,,31.5%,32.7%
,,,,,,,,,,,
Chesapeake,,,,,,,,,,,
Bus,22.8%,20.9%,,39.4%,42.1%,,15.8%,16.7%,,22.8%,20.3%
Paratransit,6.5%,6.3%,,37.8%,30.1%,,15.8%,16.7%,,39.9%,46.9%
Total,17.9%,15.7%,,38.9%,37.8%,,15.8%,16.7%,,27.4%,29.8%
,,,,,,,,,,,
Norfolk,,,,,,,,,,,
Bus,27.0%,20.3%,,34.6%,39.9%,,15.0%,15.0%,,23.3%,24.8%
Light Rail,8.8%,21.3%,,19.5%,5.1%,,15.0%,15.0%,,56.7%,58.6%
Ferry,25.3%,20.3%,,29.3%,2.3%,,15.8%,16.7%,,29.6%,65.4%
Paratransit,6.5%,6.3%,,37.8%,30.1%,,15.8%,16.7%,,39.9%,46.9%
Total,19.4%,19.1%,,30.1%,29.2%,,15.8%,15.2%,,36.5%,36.4%
,,,,,,,,,,,
Portsmouth,,,,,,,,,,,
Bus,22.3%,18.7%,,39.4%,43.5%,,15.0%,16.2%,,25.8%,21.6%
Ferry,25.3%,20.3%,,29.3%,2.3%,,15.8%,16.7%,,29.6%,65.4%
Paratransit,6.5%,6.3%,,37.8%,30.1%,,15.8%,16.7%,,39.9%,46.9%
Total,20.7%,17.4%,,38.2%,34.4%,,15.8%,16.3%,,25.9%,31.9%
,,,,,,,,,,,
Suffolk,,,,,,,,,,,
Bus,9.5%,#DIV/0!,,52.6%,#DIV/0!,,15.8%,#DIV/0!,,22.0%,#DIV/0!
Paratransit,6.5%,#DIV/0!,,37.8%,#DIV/0!,,15.8%,#DIV/0!,,39.9%,#DIV/0!
Total,9.2%,#DIV/0!,,50.9%,#DIV/0!,,15.8%,#DIV/0!,,24.1%,#DIV/0!
,,,,,,,,,,,
VA Beach,,,,,,,,,,,
Bus,28.1%,24.0%,,33.7%,37.7%,,15.2%,16.1%,,23.0%,22.2%
Paratransit,6.5%,6.3%,,37.8%,30.1%,,15.8%,16.7%,,39.9%,46.9%
Total,23.2%,18.3%,,34.6%,35.3%,,15.8%,16.3%,,26.9%,30.2%
,,,,,,,,,,,
Hampton,,,,,,,,,,,
Bus,23.3%,21.9%,,38.8%,41.1%,,15.8%,16.7%,,22.0%,20.3%
Paratransit,6.5%,6.3%,,37.8%,30.1%,,15.8%,16.7%,,36.9%,46.9%
Total,19.7%,17.6%,,38.6%,38.1%,,15.8%,16.7%,,25.9%,27.6%
,,,,,,,,,,,
Newport News,,,,,,,,,,,
Bus,26.6%,27.4%,,35.5%,35.6%,,15.8%,16.7%,,22.0%,20.3%
Paratransit,6.5%,6.3%,,37.8%,30.1%,,15.8%,16.7%,,39.9%,46.9%
Total,23.1%,22.7%,,35.9%,34.4%,,15.8%,16.7%,,25.2%,26.2%
,,,,,,,,,,,
MAX,21.2%,27.0%,,0.0%,0.0%,,31.3%,25.0%,,47.5%,48.0%
