"Natural Increase (Births minus Deaths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: Virginia Department of Health & HRPDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Chesapeake",1089,1036,882,777,842,917,919,1045,1055,1162,1173,1141,1149,1182,1249,1343,1335,1473,1598,1614,1147,1620,1571,1607,1650,1466,1504,1470,1499,1437,1477,1378,1285,1480,1550,1426,1483,1480,1345,1255,1359,1188
"Franklin",50,20,31,25,28,27,48,41,20,32,60,37,29,28,39,39,76,31,58,87,56,46,14,20,22,-32,-6,-29,-54,-21,-42,-19,6,0,41,38,29,11,12,29,17,36
"Gloucester County",49,71,73,84,95,70,52,83,60,90,122,120,106,124,140,259,176,225,214,191,230,192,163,116,165,135,134,62,90,59,96,108,126,82,95,125,9,58,37,0,2,-1
"Hampton",1783,1465,1469,1187,1174,1020,1084,1213,1246,1261,1236,1182,1386,1421,1249,1311,1449,1372,1399,1327,1365,1325,1362,1232,1340,1101,1011,959,940,950,874,813,742,660,833,982,1070,1033,789,780,655,639
"Isle of Wight County",158,163,171,115,111,122,94,122,125,138,131,98,102,160,111,201,202,198,142,207,137,153,169,129,162,72,132,52,126,75,126,35,59,41,32,96,69,58,84,59,15,-20
"James City County",288,250,153,152,158,182,177,140,108,144,103,180,208,168,217,192,194,171,207,233,188,275,242,230,231,181,213,105,98,148,148,145,46,70,54,74,122,81,84,123,147,117
"Newport News",2301,2002,1740,1597,1512,1580,1441,1784,1579,1678,1524,1861,1886,1882,1795,1899,1953,1911,2194,2281,2091,2355,2435,2267,2047,1848,1763,1702,1714,1723,1653,1785,1795,1790,1835,1806,1885,1887,1929,1806,1632,1655
"Norfolk",4017,3532,2883,2538,2684,2863,2628,2858,2674,3052,2601,2860,3241,3052,3173,3260,3086,3319,3208,3194,3254,3065,3139,2672,2332,2019,1856,1727,1931,1801,1967,1942,2023,1933,2136,2123,2017,2081,2212,1867,1926,1866
"Poquoson","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!",52,40,57,36,58,52,73,56,40,18,51,49,63,55,63,44,22,41,19,27,36,29,11,6,-3,24,21,-2,-12,22,-2,-12,-23,-10,32,-34,-7
"Portsmouth",1160,1075,885,748,819,830,839,905,811,944,845,972,961,829,811,811,815,899,886,935,906,835,926,789,670,606,539,540,518,460,425,528,465,494,580,567,754,549,572,575,570,521
"Southampton County",94,72,81,35,53,65,45,99,24,58,80,47,57,55,11,50,-42,24,20,23,38,31,6,28,19,-18,12,-1,3,8,-31,19,-41,3,-12,-59,18,-22,-5,-24,-40,-50
"Suffolk",37,19,26,128,256,252,278,301,218,215,191,210,225,235,267,200,245,286,256,303,282,315,254,193,137,233,250,330,283,272,414,331,412,428,516,559,515,511,407,482,426,412
"Surry County",53,54,15,18,18,25,22,20,5,21,25,36,45,32,36,10,28,30,15,13,40,33,23,28,17,3,-9,-5,0,-4,33,3,-22,-13,17,-7,30,-1,4,18,-32,-4
"Virginia Beach",2628,2404,2163,2094,2270,2384,2646,2754,2784,3070,3231,3352,3750,3773,4214,4631,4679,5183,5422,5806,5316,5404,5753,5346,5104,4561,4287,4187,4111,3780,4105,3723,3707,3736,4116,3773,4009,3876,3694,3628,3399,3494
"Williamsburg",51,61,17,43,-5,14,5,21,9,42,38,52,83,79,26,93,166,161,135,91,121,50,-28,15,-2,7,2,8,0,-69,-75,-37,-3,64,59,140,88,57,103,78,-6,-23
"York County",314,274,233,205,157,176,170,142,64,148,110,111,154,167,211,158,138,130,191,213,117,196,277,339,300,308,275,199,238,375,360,308,265,233,235,215,190,258,207,225,198,189
"Hampton Roads","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!",10579,10488,11585,10818,12113,11522,12332,13438,13227,13567,14508,14549,15476,16000,16581,15332,15917,16347,15030,14221,12526,11992,11317,11503,10991,11554,11083,10863,10989,12109,11856,12276,11894,11464,10933,10234,10012
"Virginia",47072,43249,34182,30562,30505,30489,29916,34502,32700,36101,35927,37079,39201,37047,38410,40749,40651,43696,45259,49444,51100,47754,47580,42859,42889,39364,38903,38110,40485,40025,42769,42682,42283,42727,47518,46846,49065,50582,47848,46601,44093,42368
