Name: “Table 1 of 1 on page 15 of 19”,Name: “Table 1 of 1 on page 15 of 19”,Name: “Table 1 of 1 on page 15 of 19”,Name: “Table 1 of 1 on page 15 of 19”,Name: “Table 1 of 1 on page 15 of 19”,Name: “Table 1 of 1 on page 15 of 19”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,
City of Portsmouth,City of Portsmouth,,,,
Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
Public Health,Public Health,,,,
Social Services Fund,Social Services Fund,,,,
removed from their birth family for reasons of abuse or neglect.,,,,,
Adoption Services - location and investigation of adoptive homes; placement of children who are available for adoption (TPR);,Adoption Services - location and investigation of adoptive homes; placement of children who are available for adoption (TPR);,Adoption Services - location and investigation of adoptive homes; placement of children who are available for adoption (TPR);,Adoption Services - location and investigation of adoptive homes; placement of children who are available for adoption (TPR);,Adoption Services - location and investigation of adoptive homes; placement of children who are available for adoption (TPR);,
supervision of the placement; and completion of reports as required by the Commonwealth.,supervision of the placement; and completion of reports as required by the Commonwealth.,,,,
Employment Services Program/Virginia Initiative For Employment Not Welfare (VIEW) - assist TANF recipients in securing,Employment Services Program/Virginia Initiative For Employment Not Welfare (VIEW) - assist TANF recipients in securing,Employment Services Program/Virginia Initiative For Employment Not Welfare (VIEW) - assist TANF recipients in securing,Employment Services Program/Virginia Initiative For Employment Not Welfare (VIEW) - assist TANF recipients in securing,,
employment or the training or education needed to secure employment.,,,,,
Day Care Services (CDC) - provides a payment resource for certain eligible families whose caretaker is employed or in,Day Care Services (CDC) - provides a payment resource for certain eligible families whose caretaker is employed or in,Day Care Services (CDC) - provides a payment resource for certain eligible families whose caretaker is employed or in,Day Care Services (CDC) - provides a payment resource for certain eligible families whose caretaker is employed or in,,
school.,,,,,
Other Programs:,,,,,
"Holiday Activities - social services staff perform a variety of activities in connection with holiday celebrations, including","Holiday Activities - social services staff perform a variety of activities in connection with holiday celebrations, including","Holiday Activities - social services staff perform a variety of activities in connection with holiday celebrations, including","Holiday Activities - social services staff perform a variety of activities in connection with holiday celebrations, including",,
"completion of joy fund cards, matching persons who wish to contribute food baskets to persons in need, and accepting","completion of joy fund cards, matching persons who wish to contribute food baskets to persons in need, and accepting","completion of joy fund cards, matching persons who wish to contribute food baskets to persons in need, and accepting","completion of joy fund cards, matching persons who wish to contribute food baskets to persons in need, and accepting",,
donations of toys and clothing and distributing to foster children.,,,,,
Disaster Relief – The Department of Social Services' employees provide staffing for emergency shelters during emergency,Disaster Relief – The Department of Social Services' employees provide staffing for emergency shelters during emergency,Disaster Relief – The Department of Social Services' employees provide staffing for emergency shelters during emergency,Disaster Relief – The Department of Social Services' employees provide staffing for emergency shelters during emergency,,
"situations, such as hurricanes or hazardous material spills. The primary duty of the department is shelter management","situations, such as hurricanes or hazardous material spills. The primary duty of the department is shelter management","situations, such as hurricanes or hazardous material spills. The primary duty of the department is shelter management","situations, such as hurricanes or hazardous material spills. The primary duty of the department is shelter management",,
"registration. However, other duties may include disaster food stamps, death notifications, addressing inquiries from persons","registration. However, other duties may include disaster food stamps, death notifications, addressing inquiries from persons","registration. However, other duties may include disaster food stamps, death notifications, addressing inquiries from persons","registration. However, other duties may include disaster food stamps, death notifications, addressing inquiries from persons",,
"attempting to locate their relatives, and completing emergency relief applications.","attempting to locate their relatives, and completing emergency relief applications.",,,,
Annual Job Fair - The Department of Social Services holds an Annual Job Fair which provides citizens of Portsmouth another,Annual Job Fair - The Department of Social Services holds an Annual Job Fair which provides citizens of Portsmouth another,Annual Job Fair - The Department of Social Services holds an Annual Job Fair which provides citizens of Portsmouth another,Annual Job Fair - The Department of Social Services holds an Annual Job Fair which provides citizens of Portsmouth another,,
site to seek employment. Local employers are invited to outline available jobs and needed skills. This activity occurs each,site to seek employment. Local employers are invited to outline available jobs and needed skills. This activity occurs each,site to seek employment. Local employers are invited to outline available jobs and needed skills. This activity occurs each,site to seek employment. Local employers are invited to outline available jobs and needed skills. This activity occurs each,,
