Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”,Name: “Table 1 of 1 on page 5 of 10”
Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5
,,,,,,,
Statements of Activities,,,,,,,
The following table shows the revenues and expenses of the governmental and business-type activities:,The following table shows the revenues and expenses of the governmental and business-type activities:,The following table shows the revenues and expenses of the governmental and business-type activities:,The following table shows the revenues and expenses of the governmental and business-type activities:,The following table shows the revenues and expenses of the governmental and business-type activities:,The following table shows the revenues and expenses of the governmental and business-type activities:,The following table shows the revenues and expenses of the governmental and business-type activities:,
Table 2,,,,,,,
Summary of Changes in Net Assets,,,,,,,
"Years ended June 30, 2010 and 2009",(in millions),(in millions),,,,,
,,Governmental,,Business-Type,,Total Primary,Total Primary
,,Activities,,Activities,,Government,
,,2010,2009,2010,2009,2010,2009
Revenues,,,,,,,
Program revenues:,,,,,,,
Charges for services,$,13,12,53,50,66,62
Operating grants and,,,,,,,
contributions,,82,79,1,1,83,80
Capital grants and,,,,,,,
contributions,,5,1,-,-,5,1
General revenues:,,,,,,,
Taxes,,165,161,-,-,165,161
Other,,3,4,-,1,3,5
Total revenues,,268,257,54,52,322,309
Expenses,,,,,,,
General government,,26,26,-,-,26,26
Judicial,,21,22,-,-,21,22
Public safety,,63,60,-,-,63,60
Public works,,21,30,-,-,21,30
Health and welfare,,39,40,-,-,39,40
"Parks, recreational, and cultural",,13,13,-,-,13,13
Community development,,15,9,-,-,15,9
Education,,55,54,-,-,55,54
Public utility,,-,-,22,23,22,23
Golf,,-,-,2,2,2,2
Parking Authority,,-,-,2,2,2,2
Waste management,,-,-,14,12,14,12
Interest on long-term debt,,10,11,-,-,10,11
Total expenses,,263,265,40,39,303,304
Excess (deficiency) before transfers,,5,(8),14,13,19,5
Transfers,,7,7,(7),(7),-,-
Change in net assets,,12,(1),7,6,19,5
"Net assets, beginning of year",,216,217,149,143,365,360
"Net assets, end of year",$,228,216,156,149,384,365
,,,7,,,,
