Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,
MISCELLANEOUS S TATISTICAL I NFORMATION,MISCELLANEOUS S TATISTICAL I NFORMATION,MISCELLANEOUS S TATISTICAL I NFORMATION,MISCELLANEOUS S TATISTICAL I NFORMATION,MISCELLANEOUS S TATISTICAL I NFORMATION,MISCELLANEOUS S TATISTICAL I NFORMATION,MISCELLANEOUS S TATISTICAL I NFORMATION,,,
FORM OF G OVERNMENT,FORM OF G OVERNMENT,FORM OF G OVERNMENT,FORM OF G OVERNMENT,FORM OF G OVERNMENT,,,,,
"Norfolk is an independent, full-service City with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service City with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service City with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service City with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service City with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service City with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service City with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service City with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service City with sole local government taxing power within its boundaries.","Norfolk is an independent, full-service City with sole local government taxing power within its boundaries."
"It derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly","It derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly","It derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly","It derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly","It derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly","It derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly","It derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly","It derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly","It derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly","It derives its governing authority from a charter (the “Charter”), originally adopted by the General Assembly"
"of Virginia in 1918, which authorizes a council-manager form of government. The members are elected to","of Virginia in 1918, which authorizes a council-manager form of government. The members are elected to","of Virginia in 1918, which authorizes a council-manager form of government. The members are elected to","of Virginia in 1918, which authorizes a council-manager form of government. The members are elected to","of Virginia in 1918, which authorizes a council-manager form of government. The members are elected to","of Virginia in 1918, which authorizes a council-manager form of government. The members are elected to","of Virginia in 1918, which authorizes a council-manager form of government. The members are elected to","of Virginia in 1918, which authorizes a council-manager form of government. The members are elected to","of Virginia in 1918, which authorizes a council-manager form of government. The members are elected to","of Virginia in 1918, which authorizes a council-manager form of government. The members are elected to"
"office under a ward-based system, with two members elected from Citywide super wards.","office under a ward-based system, with two members elected from Citywide super wards.","office under a ward-based system, with two members elected from Citywide super wards.","office under a ward-based system, with two members elected from Citywide super wards.","office under a ward-based system, with two members elected from Citywide super wards.","office under a ward-based system, with two members elected from Citywide super wards.","office under a ward-based system, with two members elected from Citywide super wards.",Beginning July,Beginning July,Beginning July
"1, 2006, as a result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first","1, 2006, as a result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first","1, 2006, as a result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first","1, 2006, as a result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first","1, 2006, as a result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first","1, 2006, as a result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first","1, 2006, as a result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first","1, 2006, as a result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first","1, 2006, as a result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first","1, 2006, as a result of a charter change approved by the Virginia General Assembly, Norfolk swore in the first"
mayor elected at large.,mayor elected at large.,mayor elected at large.,"Prior to that time, the Mayor was appointed by the City Council.","Prior to that time, the Mayor was appointed by the City Council.","Prior to that time, the Mayor was appointed by the City Council.","Prior to that time, the Mayor was appointed by the City Council.",Among the City,Among the City,Among the City
"officials currently appointed by the City Council are the City Manager, who serves as the administrative","officials currently appointed by the City Council are the City Manager, who serves as the administrative","officials currently appointed by the City Council are the City Manager, who serves as the administrative","officials currently appointed by the City Council are the City Manager, who serves as the administrative","officials currently appointed by the City Council are the City Manager, who serves as the administrative","officials currently appointed by the City Council are the City Manager, who serves as the administrative","officials currently appointed by the City Council are the City Manager, who serves as the administrative","officials currently appointed by the City Council are the City Manager, who serves as the administrative","officials currently appointed by the City Council are the City Manager, who serves as the administrative","officials currently appointed by the City Council are the City Manager, who serves as the administrative"
head of the municipal government.,head of the municipal government.,head of the municipal government.,head of the municipal government.,head of the municipal government.,"The City Manager carries out the City’s policies, directs business","The City Manager carries out the City’s policies, directs business","The City Manager carries out the City’s policies, directs business","The City Manager carries out the City’s policies, directs business","The City Manager carries out the City’s policies, directs business"
"procedures and appoints, with the power to remove the heads of departments and other employees of the","procedures and appoints, with the power to remove the heads of departments and other employees of the","procedures and appoints, with the power to remove the heads of departments and other employees of the","procedures and appoints, with the power to remove the heads of departments and other employees of the","procedures and appoints, with the power to remove the heads of departments and other employees of the","procedures and appoints, with the power to remove the heads of departments and other employees of the","procedures and appoints, with the power to remove the heads of departments and other employees of the","procedures and appoints, with the power to remove the heads of departments and other employees of the","procedures and appoints, with the power to remove the heads of departments and other employees of the","procedures and appoints, with the power to remove the heads of departments and other employees of the"
City except those otherwise specifically covered by statutory provisions.,City except those otherwise specifically covered by statutory provisions.,City except those otherwise specifically covered by statutory provisions.,City except those otherwise specifically covered by statutory provisions.,City except those otherwise specifically covered by statutory provisions.,City except those otherwise specifically covered by statutory provisions.,The City Council also appoints,The City Council also appoints,The City Council also appoints,The City Council also appoints
"certain boards, commissions and authorities of the City.","certain boards, commissions and authorities of the City.","certain boards, commissions and authorities of the City.","certain boards, commissions and authorities of the City.","certain boards, commissions and authorities of the City.","certain boards, commissions and authorities of the City.",,,,
The City provides a full range of services including: police protection; fire and paramedical services; public,The City provides a full range of services including: police protection; fire and paramedical services; public,The City provides a full range of services including: police protection; fire and paramedical services; public,The City provides a full range of services including: police protection; fire and paramedical services; public,The City provides a full range of services including: police protection; fire and paramedical services; public,The City provides a full range of services including: police protection; fire and paramedical services; public,The City provides a full range of services including: police protection; fire and paramedical services; public,The City provides a full range of services including: police protection; fire and paramedical services; public,The City provides a full range of services including: police protection; fire and paramedical services; public,The City provides a full range of services including: police protection; fire and paramedical services; public
health,and,social,services;,planning,and,zoning management; neighborhood,preservation,and,code
enforcement; environmental storm water management; local street maintenance; traffic control; design,enforcement; environmental storm water management; local street maintenance; traffic control; design,enforcement; environmental storm water management; local street maintenance; traffic control; design,enforcement; environmental storm water management; local street maintenance; traffic control; design,enforcement; environmental storm water management; local street maintenance; traffic control; design,enforcement; environmental storm water management; local street maintenance; traffic control; design,enforcement; environmental storm water management; local street maintenance; traffic control; design,enforcement; environmental storm water management; local street maintenance; traffic control; design,enforcement; environmental storm water management; local street maintenance; traffic control; design,enforcement; environmental storm water management; local street maintenance; traffic control; design
and construction of city buildings and infrastructure; parks and cemeteries operations and maintenance;,and construction of city buildings and infrastructure; parks and cemeteries operations and maintenance;,and construction of city buildings and infrastructure; parks and cemeteries operations and maintenance;,and construction of city buildings and infrastructure; parks and cemeteries operations and maintenance;,and construction of city buildings and infrastructure; parks and cemeteries operations and maintenance;,and construction of city buildings and infrastructure; parks and cemeteries operations and maintenance;,and construction of city buildings and infrastructure; parks and cemeteries operations and maintenance;,and construction of city buildings and infrastructure; parks and cemeteries operations and maintenance;,and construction of city buildings and infrastructure; parks and cemeteries operations and maintenance;,and construction of city buildings and infrastructure; parks and cemeteries operations and maintenance;
recreation and library services; solid waste disposal and recycling; general administrative services; water,recreation and library services; solid waste disposal and recycling; general administrative services; water,recreation and library services; solid waste disposal and recycling; general administrative services; water,recreation and library services; solid waste disposal and recycling; general administrative services; water,recreation and library services; solid waste disposal and recycling; general administrative services; water,recreation and library services; solid waste disposal and recycling; general administrative services; water,recreation and library services; solid waste disposal and recycling; general administrative services; water,recreation and library services; solid waste disposal and recycling; general administrative services; water,recreation and library services; solid waste disposal and recycling; general administrative services; water,recreation and library services; solid waste disposal and recycling; general administrative services; water
and wastewater utilities; and construction and operation of parking facilities. The City budget allocates,and wastewater utilities; and construction and operation of parking facilities. The City budget allocates,and wastewater utilities; and construction and operation of parking facilities. The City budget allocates,and wastewater utilities; and construction and operation of parking facilities. The City budget allocates,and wastewater utilities; and construction and operation of parking facilities. The City budget allocates,and wastewater utilities; and construction and operation of parking facilities. The City budget allocates,and wastewater utilities; and construction and operation of parking facilities. The City budget allocates,and wastewater utilities; and construction and operation of parking facilities. The City budget allocates,and wastewater utilities; and construction and operation of parking facilities. The City budget allocates,and wastewater utilities; and construction and operation of parking facilities. The City budget allocates
"State and Federal pass through funds for education, public health, and other programs.","State and Federal pass through funds for education, public health, and other programs.","State and Federal pass through funds for education, public health, and other programs.","State and Federal pass through funds for education, public health, and other programs.","State and Federal pass through funds for education, public health, and other programs.","State and Federal pass through funds for education, public health, and other programs.","State and Federal pass through funds for education, public health, and other programs.",The City is,The City is,The City is
financially accountable for a legally separate school district and the Norfolk Community Services Board,financially accountable for a legally separate school district and the Norfolk Community Services Board,financially accountable for a legally separate school district and the Norfolk Community Services Board,financially accountable for a legally separate school district and the Norfolk Community Services Board,financially accountable for a legally separate school district and the Norfolk Community Services Board,financially accountable for a legally separate school district and the Norfolk Community Services Board,financially accountable for a legally separate school district and the Norfolk Community Services Board,financially accountable for a legally separate school district and the Norfolk Community Services Board,financially accountable for a legally separate school district and the Norfolk Community Services Board,financially accountable for a legally separate school district and the Norfolk Community Services Board
(City Council appoints the board members).,(City Council appoints the board members).,(City Council appoints the board members).,(City Council appoints the board members).,(City Council appoints the board members).,(City Council appoints the board members).,,,,
G EOGRAPHY,G EOGRAPHY,G EOGRAPHY,,,,,,,
Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the
