Name: “Table 1 of 1 on page 224 of 231”,Name: “Table 1 of 1 on page 224 of 231”,Name: “Table 1 of 1 on page 224 of 231”,Name: “Table 1 of 1 on page 224 of 231”,Name: “Table 1 of 1 on page 224 of 231”,Name: “Table 1 of 1 on page 224 of 231”,Name: “Table 1 of 1 on page 224 of 231”,Name: “Table 1 of 1 on page 224 of 231”,Name: “Table 1 of 1 on page 224 of 231”,Name: “Table 1 of 1 on page 224 of 231”,Name: “Table 1 of 1 on page 224 of 231”
Table: 212,Table: 212,Table: 212,Table: 212,Table: 212,Table: 212,Table: 212,Table: 212,Table: 212,Table: 212,Table: 212
,,,,,,,,,,
,,,,APPENDIX,APPENDIX,APPENDIX,,,,
There is also a legal limit for cities in Virginia whereby the amount of bonded long-term debt cannot,There is also a legal limit for cities in Virginia whereby the amount of bonded long-term debt cannot,There is also a legal limit for cities in Virginia whereby the amount of bonded long-term debt cannot,There is also a legal limit for cities in Virginia whereby the amount of bonded long-term debt cannot,There is also a legal limit for cities in Virginia whereby the amount of bonded long-term debt cannot,There is also a legal limit for cities in Virginia whereby the amount of bonded long-term debt cannot,There is also a legal limit for cities in Virginia whereby the amount of bonded long-term debt cannot,There is also a legal limit for cities in Virginia whereby the amount of bonded long-term debt cannot,There is also a legal limit for cities in Virginia whereby the amount of bonded long-term debt cannot,There is also a legal limit for cities in Virginia whereby the amount of bonded long-term debt cannot,There is also a legal limit for cities in Virginia whereby the amount of bonded long-term debt cannot
exceed 10% of the cities total assessed value or real property.,exceed 10% of the cities total assessed value or real property.,exceed 10% of the cities total assessed value or real property.,exceed 10% of the cities total assessed value or real property.,exceed 10% of the cities total assessed value or real property.,exceed 10% of the cities total assessed value or real property.,exceed 10% of the cities total assessed value or real property.,"As the table below shows, the city’s ratio","As the table below shows, the city’s ratio","As the table below shows, the city’s ratio","As the table below shows, the city’s ratio"
of bonded debt to assessed valuation amounts to 2.4%.,of bonded debt to assessed valuation amounts to 2.4%.,of bonded debt to assessed valuation amounts to 2.4%.,of bonded debt to assessed valuation amounts to 2.4%.,of bonded debt to assessed valuation amounts to 2.4%.,of bonded debt to assessed valuation amounts to 2.4%.,of bonded debt to assessed valuation amounts to 2.4%.,,,,
Capacity is therefore available should City Council decide to undertake additional long-term borrowing to,Capacity is therefore available should City Council decide to undertake additional long-term borrowing to,Capacity is therefore available should City Council decide to undertake additional long-term borrowing to,Capacity is therefore available should City Council decide to undertake additional long-term borrowing to,Capacity is therefore available should City Council decide to undertake additional long-term borrowing to,Capacity is therefore available should City Council decide to undertake additional long-term borrowing to,Capacity is therefore available should City Council decide to undertake additional long-term borrowing to,Capacity is therefore available should City Council decide to undertake additional long-term borrowing to,Capacity is therefore available should City Council decide to undertake additional long-term borrowing to,Capacity is therefore available should City Council decide to undertake additional long-term borrowing to,Capacity is therefore available should City Council decide to undertake additional long-term borrowing to
fund infrastructure and capital improvements.,fund infrastructure and capital improvements.,fund infrastructure and capital improvements.,fund infrastructure and capital improvements.,fund infrastructure and capital improvements.,fund infrastructure and capital improvements.,,,,,
,,,Ratio of Bonded Debt to Assessed Value,Ratio of Bonded Debt to Assessed Value,Ratio of Bonded Debt to Assessed Value,Ratio of Bonded Debt to Assessed Value,Ratio of Bonded Debt to Assessed Value,Ratio of Bonded Debt to Assessed Value,,
,,,,Bonded Debt,Bonded Debt,Bonded Debt,,,,
,Assessed,Assessed,Assessed,,,,,,Ratio Debt,Ratio Debt
,,Value of,Value of,General,General,,,,,to
,Taxable Real,Taxable Real,Taxable Real,Fund,Fund,Enterprise,Enterprise,,Assessed,Assessed
Year,,Estate,Estate,Supported,Supported,Funds,Funds,Total,,Value
2001,"$736,710,386","$736,710,386","$736,710,386","$14,536,070","$14,536,070","$13,108,140","$13,108,140","$27,644,210",,3.8%
2002,"$749,021,297","$749,021,297","$749,021,297","$14,145,971","$14,145,971","$14,779,335","$14,779,335","$28,925,306",,3.9%
2003,"$827,604,136","$827,604,136","$827,604,136","$13,440,709","$13,440,709","$14,131,490","$14,131,490","$27,572,199",,3.3%
2004,"$847,283,735","$847,283,735","$847,283,735","$12,457,291","$12,457,291","$13,506,624","$13,506,624","$25,963,915",,3.0%
2005,"$1,015,002,306","$1,015,002,306","$1,015,002,306","$12,086,638","$12,086,638","$12,791,016","$12,791,016","$24,877,654",,2.4%
2006,"$1,037,303,141","$1,037,303,141","$1,037,303,141","$25,527,795","$25,527,795","$12,049,089","$12,049,089","$37,576,884",,3.6%
2007,"$1,637,487,196","$1,637,487,196","$1,637,487,196","$32,435,690","$32,435,690","$11,280,327","$11,280,327","$43,716,017",,2.7%
2008,"$1,678,329,182","$1,678,329,182","$1,678,329,182","$31,604,649","$31,604,649","$10,508,638","$10,508,638","$42,113,287",,2.5%
2009,"$1,698,795,508","$1,698,795,508","$1,698,795,508","$32,705,075","$32,705,075","$9,796,907","$9,796,907","$42,501,982",,2.5%
2010,"$1,719,852,121","$1,719,852,121","$1,719,852,121","$31,397,902","$31,397,902","$9,890,072","$9,890,072","$41,257,974",,2.4%
% CHANGE,,133.5%,133.5%,115.8%,115.8%,-24.6%,-24.6%,49.2%,,-36.1%
"Comprehensive Annual Financial Report: Under Tab- Basic Financial Statements, Note 8- Long Obligations & Note 9-","Comprehensive Annual Financial Report: Under Tab- Basic Financial Statements, Note 8- Long Obligations & Note 9-","Comprehensive Annual Financial Report: Under Tab- Basic Financial Statements, Note 8- Long Obligations & Note 9-","Comprehensive Annual Financial Report: Under Tab- Basic Financial Statements, Note 8- Long Obligations & Note 9-","Comprehensive Annual Financial Report: Under Tab- Basic Financial Statements, Note 8- Long Obligations & Note 9-","Comprehensive Annual Financial Report: Under Tab- Basic Financial Statements, Note 8- Long Obligations & Note 9-","Comprehensive Annual Financial Report: Under Tab- Basic Financial Statements, Note 8- Long Obligations & Note 9-","Comprehensive Annual Financial Report: Under Tab- Basic Financial Statements, Note 8- Long Obligations & Note 9-","Comprehensive Annual Financial Report: Under Tab- Basic Financial Statements, Note 8- Long Obligations & Note 9-","Comprehensive Annual Financial Report: Under Tab- Basic Financial Statements, Note 8- Long Obligations & Note 9-","Comprehensive Annual Financial Report: Under Tab- Basic Financial Statements, Note 8- Long Obligations & Note 9-"
Long Term Liabilities,Long Term Liabilities,,,,,,,,,
Note: Total bonding limit is 10 percent of total assessed value of taxable real estate.,Note: Total bonding limit is 10 percent of total assessed value of taxable real estate.,Note: Total bonding limit is 10 percent of total assessed value of taxable real estate.,Note: Total bonding limit is 10 percent of total assessed value of taxable real estate.,Note: Total bonding limit is 10 percent of total assessed value of taxable real estate.,Note: Total bonding limit is 10 percent of total assessed value of taxable real estate.,Note: Total bonding limit is 10 percent of total assessed value of taxable real estate.,Note: Total bonding limit is 10 percent of total assessed value of taxable real estate.,Note: Total bonding limit is 10 percent of total assessed value of taxable real estate.,,
,,,Ratio of Bonded Debt to Assessed Value,Ratio of Bonded Debt to Assessed Value,Ratio of Bonded Debt to Assessed Value,Ratio of Bonded Debt to Assessed Value,Ratio of Bonded Debt to Assessed Value,Ratio of Bonded Debt to Assessed Value,,
4.00%,,,,,,,,,,
3.50%,,,,,,,,,,
3.00%,,,,,,,,,,
2.50%,,,,,,,,,,
2.00%,,,,,,,,,,
1.50%,,,,,,,,,,
1.00%,,,,,,,,,,
0.50%,,,,,,,,,,
0.00%,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
,,,,,A-22,,,,,
