Name: “Table 1 of 1 on page 72 of 231”,Name: “Table 1 of 1 on page 72 of 231”,Name: “Table 1 of 1 on page 72 of 231”,Name: “Table 1 of 1 on page 72 of 231”,Name: “Table 1 of 1 on page 72 of 231”,Name: “Table 1 of 1 on page 72 of 231”,Name: “Table 1 of 1 on page 72 of 231”,Name: “Table 1 of 1 on page 72 of 231”,Name: “Table 1 of 1 on page 72 of 231”,Name: “Table 1 of 1 on page 72 of 231”,Name: “Table 1 of 1 on page 72 of 231”,Name: “Table 1 of 1 on page 72 of 231”
Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69
,,,,,,,,,,,
,,,,TREASURER,TREASURER,TREASURER,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2011,FY 2011,FY 2012,FY 2012,Change,Change,Change
,FY 2009,FY 2009,,FY 2010,Revised,Revised,Adopted,Adopted,From 2011,From 2011,From 2011
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"252,818",$,"258,146",$,"256,928",$,"267,408",$,"10,480",4.1%
Operating Expenses,,"33,293",,"34,177",,"78,810",,"72,387",,"(6,423)",-8.1%
Capital Outlay,,501,,275,,-,,"1,000",,"1,000",n/a
Totals,$,"286,612",$,"292,598",$,"335,738",$,"340,795",$,"5,057",1.5%
Personnel Summary,,,,,,,,,,,
,,,,FY 2009,,FY 2010,,FY 2011,,FY 2012,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Treasurer,,,,1,,1,,1,,1,
Deputy Treasurer,,,,1,,1,,1,,1,
Accounting Technician,,,,1,,1,,1,,1,
Clerical Assistant,,,,1,,1,,1,,1,
Totals,,,,4,,4,,4,,4,
Goals and Objectives,,,,,,,,,,,
* Maintain high collection rates and customer service.,* Maintain high collection rates and customer service.,* Maintain high collection rates and customer service.,* Maintain high collection rates and customer service.,,,,,,,,
* Maintain state office accreditation.,* Maintain state office accreditation.,,,,,,,,,,
* Establish a monthly auto debit program for the payment of personal property and real estate taxes.,* Establish a monthly auto debit program for the payment of personal property and real estate taxes.,* Establish a monthly auto debit program for the payment of personal property and real estate taxes.,* Establish a monthly auto debit program for the payment of personal property and real estate taxes.,* Establish a monthly auto debit program for the payment of personal property and real estate taxes.,* Establish a monthly auto debit program for the payment of personal property and real estate taxes.,* Establish a monthly auto debit program for the payment of personal property and real estate taxes.,* Establish a monthly auto debit program for the payment of personal property and real estate taxes.,* Establish a monthly auto debit program for the payment of personal property and real estate taxes.,* Establish a monthly auto debit program for the payment of personal property and real estate taxes.,* Establish a monthly auto debit program for the payment of personal property and real estate taxes.,
* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,* Continue training/certification program for Treasurer and employees. Two deputies to maintain their,
Master Governmental Deputy Treasurer certification. Treasurer work towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer work towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer work towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer work towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer work towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer work towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer work towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer work towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer work towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer work towards achieving Master,Master Governmental Deputy Treasurer certification. Treasurer work towards achieving Master,
Governmental Treasurer certification.,Governmental Treasurer certification.,,,,,,,,,,
* Improve website and real estate and personal property statements.,* Improve website and real estate and personal property statements.,* Improve website and real estate and personal property statements.,* Improve website and real estate and personal property statements.,* Improve website and real estate and personal property statements.,* Improve website and real estate and personal property statements.,* Improve website and real estate and personal property statements.,,,,,
* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,* Pursue collections of delinquent accounts through increased use of DMV stops and debt setoff programs,
and liens and warrants.,,,,,,,,,,,
,,,,36,,,,,,,
