Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”,Name: “Table 1 of 1 on page 220 of 231”
Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208,Table: 208
,,,,,,,,,,,,,
,,,,,APPENDIX,APPENDIX,APPENDIX,,,,,,
"In the mid 1990’s, the City started to address many long delayed capital projects.","In the mid 1990’s, the City started to address many long delayed capital projects.","In the mid 1990’s, the City started to address many long delayed capital projects.","In the mid 1990’s, the City started to address many long delayed capital projects.","In the mid 1990’s, the City started to address many long delayed capital projects.","In the mid 1990’s, the City started to address many long delayed capital projects.","In the mid 1990’s, the City started to address many long delayed capital projects.","In the mid 1990’s, the City started to address many long delayed capital projects.","In the mid 1990’s, the City started to address many long delayed capital projects.","In the mid 1990’s, the City started to address many long delayed capital projects.","In the mid 1990’s, the City started to address many long delayed capital projects.","In 2000 to 2002, the City","In 2000 to 2002, the City","In 2000 to 2002, the City"
addressed,addressed,smaller,projects,including,renovations,to,Police,Station,and,Parks,and,Recreation,"complex,"
"replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,","replaced some larger Public Works equipment, built a second Fire Station, replaced a fire aerial/pumper truck,"
"and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.","and dredged Messick Point area. In late 2004, the City began several projects located at Messick Point.",The
"first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of","first two projects, a pier and boat ramp, were completed in 2005. In 2005, the City began the design phase of"
a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in,a new Elementary School and Fire Station which suffered extensive damage caused by Hurricane Isabel in
2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire,2003. In 2007 and 2008 the City issued additional debt for the construction of the Elementary School and Fire
