Name: “Table 1 of 1 on page 144 of 231”,Name: “Table 1 of 1 on page 144 of 231”,Name: “Table 1 of 1 on page 144 of 231”,Name: “Table 1 of 1 on page 144 of 231”,Name: “Table 1 of 1 on page 144 of 231”,Name: “Table 1 of 1 on page 144 of 231”,Name: “Table 1 of 1 on page 144 of 231”,Name: “Table 1 of 1 on page 144 of 231”
Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139
,,,,,,,
,,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT
Amortization of Long Term Debt,Amortization of Long Term Debt,Amortization of Long Term Debt,Amortization of Long Term Debt,Amortization of Long Term Debt,,,
Year,,School,School,,School General,School General,School General
Ending,,Literary Fund Loans,Literary Fund Loans,Literary Fund Loans,Obligation Bonds,Obligation Bonds,Obligation Bonds
June 30,,Principal,,Interest,Principal,,Interest
2012,,"277,000",,"62,545","208,667",,"895,483"
2013,,"277,000",,"54,235","482,933",,"878,492"
2014,,"280,820",,"45,925","790,598",,"861,186"
2015,,"250,000",,"37,500","946,338",,"836,216"
2016,,"250,000",,"30,000","952,226",,"805,576"
2017,,"250,000",,"22,500","1,157,841",,"769,579"
2018,,"250,000",,"15,000","1,225,312",,"733,412"
2019,,"250,000",,"7,500","1,270,852",,"692,435"
2020,,,,,"1,476,905",,"649,697"
2021,,,,,"1,566,354",,"594,230"
2022,,,,,"1,664,427",,"537,632"
2023,,,,,"1,777,636",,"481,246"
2024,,,,,"1,893,211",,"393,456"
2025,,,,,"1,982,728",,"299,936"
2026,,,,,"1,924,208",,"219,435"
2027,,,,,"2,014,670",,"124,470"
2028,,,,,"272,086",,"25,039"
2029,,,,,"284,330",,"12,795"
2030,,,,,-,,-
TOTAL,$,"2,084,820",$,"275,205","$ 21,891,322",$,"9,810,315"
,,,,,108,,
