Name: “Table 1 of 1 on page 223 of 231”,Name: “Table 1 of 1 on page 223 of 231”,Name: “Table 1 of 1 on page 223 of 231”,Name: “Table 1 of 1 on page 223 of 231”,Name: “Table 1 of 1 on page 223 of 231”,Name: “Table 1 of 1 on page 223 of 231”,Name: “Table 1 of 1 on page 223 of 231”,Name: “Table 1 of 1 on page 223 of 231”,Name: “Table 1 of 1 on page 223 of 231”,Name: “Table 1 of 1 on page 223 of 231”,Name: “Table 1 of 1 on page 223 of 231”
Table: 211,Table: 211,Table: 211,Table: 211,Table: 211,Table: 211,Table: 211,Table: 211,Table: 211,Table: 211,Table: 211
,,,,,,,,,,
,,,APPENDIX,APPENDIX,APPENDIX,,,,,
,,,DEBT SERVICE,DEBT SERVICE,DEBT SERVICE,DEBT SERVICE,,,,
Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,Debt Service is defined as the amount of interest and principal that must be paid on long-term debt.,As the
"amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.","amount decreases, it lessens obligations and increases expenditure flexibility.",Credit industry standards,Credit industry standards,Credit industry standards
provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential,provide for a 20% ratio of total operating expenditures before debt service is considered to be a potential
problem.,,,,,,,,,,
"As shown in the table below, the City's 8.3% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 8.3% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 8.3% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 8.3% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 8.3% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 8.3% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 8.3% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 8.3% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 8.3% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 8.3% ratio of debt service to total operating expenditures is acceptable.","As shown in the table below, the City's 8.3% ratio of debt service to total operating expenditures is acceptable."
Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,Ratio of Debt Service to Total Operating Expenditures,,
,,,,Operating,Operating,Operating,Percent of,Percent of,,
Year,,Debt Service,Debt Service,Expenditures,Expenditures,Expenditures,Expenditures,Expenditures,,
2001,,"$2,160,329","$2,160,329","$21,742,499","$21,742,499","$21,742,499",9.9%,9.9%,,
2002,,"$1,597,319","$1,597,319","$22,785,888","$22,785,888","$22,785,888",7.0%,7.0%,,
2003,,"$1,531,171","$1,531,171","$24,262,997","$24,262,997","$24,262,997",6.3%,6.3%,,
2004,,"$1,508,041","$1,508,041","$26,555,078","$26,555,078","$26,555,078",5.7%,5.7%,,
2005,,"$1,565,026","$1,565,026","$29,401,819","$29,401,819","$29,401,819",5.3%,5.3%,,
2006,,"$1,521,475","$1,521,475","$30,972,269","$30,972,269","$30,972,269",4.9%,4.9%,,
2007,,"$2,130,921","$2,130,921","$33,982,445","$33,982,445","$33,982,445",6.3%,6.3%,,
2008,,"$2,753,677","$2,753,677","$36,435,827","$36,435,827","$36,435,827",7.6%,7.6%,,
2009,,"$2,841,369","$2,841,369","$36,440,375","$36,440,375","$36,440,375",7.8%,7.8%,,
2010,,"$2,793,453","$2,793,453","$33,612,873","$33,612,873","$33,612,873",8.3%,8.3%,,
Source:,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,,
,,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,,,
10.0%,,,,,,,,,,
9.0%,,,,,,,,,,
8.0%,,,,,,,,,,
