Name: “Table 1 of 1 on page 94 of 231”,Name: “Table 1 of 1 on page 94 of 231”,Name: “Table 1 of 1 on page 94 of 231”,Name: “Table 1 of 1 on page 94 of 231”,Name: “Table 1 of 1 on page 94 of 231”,Name: “Table 1 of 1 on page 94 of 231”,Name: “Table 1 of 1 on page 94 of 231”,Name: “Table 1 of 1 on page 94 of 231”,Name: “Table 1 of 1 on page 94 of 231”,Name: “Table 1 of 1 on page 94 of 231”,Name: “Table 1 of 1 on page 94 of 231”,Name: “Table 1 of 1 on page 94 of 231”
Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91
,,,,,,,,,,,
,,,ENGINEERING,ENGINEERING,ENGINEERING,ENGINEERING,,,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,,FY 2011,FY 2012,FY 2012,Change,Change,Change
,,FY 2009,,FY 2010,Revised,Revised,Adopted,Adopted,From 2011,From 2011,From 2011
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"112,849",$,"95,537",$,"90,009",$,"100,271",$,"10,262",11.4%
Operating Expenses,,"11,985",,"7,010",,"3,220",,-,,"(3,220)",-100.0%
Capital Outlay,,-,,-,,-,,-,,n/a,n/a
Totals,$,"124,834",$,"102,547",$,"93,229",$,"100,271",$,"7,042",7.6%
Personnel Summary,,,,FY 2009,,FY 2010,,FY 2011,,FY 2012,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Civil Engineer II,,,,1,,1,,1,,1,
Totals,,,,1,,1,,1,,1,
The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.,The oversight of the engineering functions of the City are now under the Community Development Department.
The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public,The expenditures that relate to this function are classified for reporting purposes only under the public
works function.,,,,,,,,,,,
Goals and Objectives,,,,,,,,,,,
* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.,* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.,* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.,* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.,* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.,* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.,* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.,* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.,* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.,* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.,* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.,* Obtain VDOT approval of the South Lawson Park recreational access grant construction documents.
"* Create database of existing treatment facilities, impervious areas and conservation areas for the","* Create database of existing treatment facilities, impervious areas and conservation areas for the","* Create database of existing treatment facilities, impervious areas and conservation areas for the","* Create database of existing treatment facilities, impervious areas and conservation areas for the","* Create database of existing treatment facilities, impervious areas and conservation areas for the","* Create database of existing treatment facilities, impervious areas and conservation areas for the","* Create database of existing treatment facilities, impervious areas and conservation areas for the","* Create database of existing treatment facilities, impervious areas and conservation areas for the","* Create database of existing treatment facilities, impervious areas and conservation areas for the","* Create database of existing treatment facilities, impervious areas and conservation areas for the","* Create database of existing treatment facilities, impervious areas and conservation areas for the",
Chesapeake Bay Total Maximum Daily Load (TMDL) work.,Chesapeake Bay Total Maximum Daily Load (TMDL) work.,Chesapeake Bay Total Maximum Daily Load (TMDL) work.,Chesapeake Bay Total Maximum Daily Load (TMDL) work.,Chesapeake Bay Total Maximum Daily Load (TMDL) work.,Chesapeake Bay Total Maximum Daily Load (TMDL) work.,Advocate for achievable state storm water,Advocate for achievable state storm water,Advocate for achievable state storm water,Advocate for achievable state storm water,Advocate for achievable state storm water,Advocate for achievable state storm water
regulations and Phase II Watershed Implementation Plan.,regulations and Phase II Watershed Implementation Plan.,regulations and Phase II Watershed Implementation Plan.,regulations and Phase II Watershed Implementation Plan.,regulations and Phase II Watershed Implementation Plan.,regulations and Phase II Watershed Implementation Plan.,,,,,,
