Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”,Name: “Table 1 of 1 on page 166 of 231”
Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158,Table: 158
,,,,,,,,,,,,,,
,,SOLID WASTE FUND - REVENUE,SOLID WASTE FUND - REVENUE,SOLID WASTE FUND - REVENUE,SOLID WASTE FUND - REVENUE,SOLID WASTE FUND - REVENUE,SOLID WASTE FUND - REVENUE,SOLID WASTE FUND - REVENUE,,,,,,
Solid Waste Revenue,,,,,,,,,,,,,,
,,,,,,,,,,,,$,,%
,,,,,,FY 2011,,FY 2011,FY 2012,FY 2012,,Change,Change,Change
,FY 2009,FY 2009,,FY 2010,,Revised,Estimated,Estimated,Adopted,Adopted,From 2011,From 2011,From 2011,From 2011
Account Title,,Actual,,Actual,,Budget,,Revenue,Revenue,Revenue,,Budget,Budget,Budget
Solid Waste Fees,$,"559,766",$,"701,603",$,"704,100",$,"704,100",$,"721,000",,"16,900",,2.4%
Bag Fees,,"16,800",,"27,038",,"25,000",,"25,000",,"25,000",,-,,0.0%
Disposal Fees,,291,,226,,-,,-,,-,,-,,n/a
Landscaping Debris Charge,,"8,916",,"13,416",,"18,000",,"18,000",,"18,000",,-,,0.0%
Bulky Item Charge,,210,,"1,320",,"1,000",,"1,000",,"6,000",,"5,000",,500.0%
Miscellaneous,,294,,407,,"45,000",,-,,-,,"(45,000)",,-100.0%
Sale of Equipment,,-,,-,,-,,-,,-,,-,,n/a
Transfer from General Fund,,-,,"45,000",,-,,-,,"72,100",,"72,100",,100%
Use of Unrestricted Net Assets,,-,,-,,"58,199",,"103,199",,"48,000",,"(10,199)",,-17.5%
TOTAL REVENUE & TRANSFERS IN,$,"586,277",$,"789,010",$,"851,299",$,"851,299",$,"890,100",$,"38,801",,4.6%
Revenue Explanations,,,,,,,,,,,,,,
Solid Waste Fees:,"In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens","In FY 2012, the fees are based on the container/cart program implemented on October 1, 2007. Citizens"
have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet,have the option to choose from 5 plans. The Solid Waste Ordinance has a sliding scale that is offered to households who meet
"certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.","certain income requirements. It is estimated that $12,954 of Solid Waste fees will be waived due to the scale.",,
"Residents have a choice of Plan A, Plan B or Plan C.","Residents have a choice of Plan A, Plan B or Plan C.","Residents have a choice of Plan A, Plan B or Plan C.","Residents have a choice of Plan A, Plan B or Plan C.","Residents who qualify, have a choice of Plan D for pick-up every other","Residents who qualify, have a choice of Plan D for pick-up every other","Residents who qualify, have a choice of Plan D for pick-up every other","Residents who qualify, have a choice of Plan D for pick-up every other","Residents who qualify, have a choice of Plan D for pick-up every other","Residents who qualify, have a choice of Plan D for pick-up every other","Residents who qualify, have a choice of Plan D for pick-up every other","Residents who qualify, have a choice of Plan D for pick-up every other","Residents who qualify, have a choice of Plan D for pick-up every other","Residents who qualify, have a choice of Plan D for pick-up every other","Residents who qualify, have a choice of Plan D for pick-up every other"
week based on age.,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a,Plan E is offered only to residents who live on a private lane or townhomes where a hardship exists that a
trash container/cart is impractical to use.,trash container/cart is impractical to use.,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly,Residents choosing Plan E will still use the pay-by-the-bag system and the bimonthly
fee is to cover the cost of recycling.,fee is to cover the cost of recycling.,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is,All residents may use the pay-by-the-bag system when their chosen trash container/cart is
not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,not large enough for their weekly trash service. Trash bags will still be available for purchase at local businesses.,,
