Name: “Table 1 of 1 on page 42 of 231”,Name: “Table 1 of 1 on page 42 of 231”,Name: “Table 1 of 1 on page 42 of 231”,Name: “Table 1 of 1 on page 42 of 231”,Name: “Table 1 of 1 on page 42 of 231”,Name: “Table 1 of 1 on page 42 of 231”,Name: “Table 1 of 1 on page 42 of 231”
Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40
,,,,,,
SUMMARY OF REVENUES AND EXPENDITURES BY CATEGORY,SUMMARY OF REVENUES AND EXPENDITURES BY CATEGORY,SUMMARY OF REVENUES AND EXPENDITURES BY CATEGORY,SUMMARY OF REVENUES AND EXPENDITURES BY CATEGORY,SUMMARY OF REVENUES AND EXPENDITURES BY CATEGORY,,
Revenues,,,,Expenditures,,
,,General Fund,,,,
General Property Taxes,"$ 16,023,000",,Personal Services,,$,"5,556,726"
Other Local Taxes,,"2,477,500",Employee Benefits,,,"2,508,833"
Permits Licenses & Fees,,"72,400",Purchased Services,,,"807,063"
Fines & Forfeitures,,"53,100",Internal Services,,,"326,136"
Use of Money & Property,,"196,533",Other Charges,,,"1,340,651"
Charges for Services,,"298,800",Contributions to Agencies,Contributions to Agencies,,"141,185"
Miscellaneous Revenue,,"66,000",Materials & Supplies,Materials & Supplies,,"153,437"
State Non-Categorical Aid,,"1,988,435",Payment to Joint Operations,Payment to Joint Operations,,"1,190,242"
State Categorical Aid,,"216,985",Capital Outlay,,,"229,046"
State Other Categorical Aid,,"1,358,938",Transfer to Debt Service Fund,Transfer to Debt Service Fund,,"2,052,246"
Federal Revenue,,"5,500",Transfer to Capital Projects Fund,Transfer to Capital Projects Fund,,"50,000"
Transfer from Sewer Fund,,"130,000",Transfer to Parks & Recreation,Transfer to Parks & Recreation,,"79,200"
Transfer from Unappropriated Fund Balance,,"285,027",Transfer to Solid Waste,Transfer to Solid Waste,,"72,100"
,,,Transfer to Economic Development Authority,Transfer to Economic Development Authority,,"12,000"
,,,School Contribution,,,"8,653,353"
Total,"$ 23,172,218",,,Total,$,"23,172,218"
,Debt Service Fund,,,,,
Transfer from General Fund,$,"2,052,246",School Debt Service,School Debt Service,$,"1,443,695"
,,,City Debt Service,,,"608,551"
Total,$,"2,052,246",,Total,$,"2,052,246"
Capital Projects Fund,Capital Projects Fund,,,,,
State Revenue,$,"455,800",City Capital Outlay,,$,"505,800"
Transfer from General Fund,,"50,000",,,,
Total,$,"505,800",,Total,$,"505,800"
Special Revenue Fund,Special Revenue Fund,,,,,
N/A,,,,N/A,,
,Solid Waste Fund,,,,,
Charges for Services - Solid Waste Fees,$,"721,000",Personal Services,,$,"53,466"
Charges for Services - Other,,"49,000",Employee Benefits,,,"27,296"
Use of Reserve,,"48,000",Purchased Services,,,"460,200"
Transfer from General Fund,,"72,100",Internal Services,,,"60,678"
,,,Other Charges,,,"9,230"
,,,Materials & Supplies,Materials & Supplies,,"6,395"
,,,Payment to Joint Operations,Payment to Joint Operations,,"244,835"
,,,Depreciation,,,"28,000"
Total,$,"890,100",,Total,$,"890,100"
,,6,,,,
