Name: “Table 1 of 1 on page 188 of 231”,Name: “Table 1 of 1 on page 188 of 231”,Name: “Table 1 of 1 on page 188 of 231”,Name: “Table 1 of 1 on page 188 of 231”,Name: “Table 1 of 1 on page 188 of 231”,Name: “Table 1 of 1 on page 188 of 231”,Name: “Table 1 of 1 on page 188 of 231”,Name: “Table 1 of 1 on page 188 of 231”,Name: “Table 1 of 1 on page 188 of 231”,Name: “Table 1 of 1 on page 188 of 231”,Name: “Table 1 of 1 on page 188 of 231”,Name: “Table 1 of 1 on page 188 of 231”
Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177
,,,,,,,,,,,
,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,PARKS AND RECREATION FUND - FIELD,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,,FY 2011,,FY 2012,,Change,Change
,,FY 2009,,FY 2010,Revised,Revised,Adopted,Adopted,From 2011,From 2011,From 2011
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"73,555",$,"77,780",$,"77,409",$,"82,353",$,"4,944",6.4%
Operating Expenses,,"98,488",,"82,535",,"83,992",,"89,000",,"5,008",6.0%
Capital Outlay,,"1,845",,-,,300,,-,,(300),100.0%
Totals,$,"173,888",$,"160,315",$,"161,701",$,"171,353",$,"9,652",6.0%
Personnel Summary,,,,,,,,,,,
,,,,FY 2009,,FY 2010,,FY 2011,,FY 2012,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Recreation Program Coordinator,,,,0.50,,0.50,,0.50,,0.50,
Admin Support Technician,,,,1.00,,1.00,,1.00,,1.00,
Part Time (FTE),,,,0.30,,0.30,,0.30,,0.30,
,Totals,Totals,,1.80,,1.80,,1.80,,1.80,
Goals and Objectives,,,,,,,,,,,
"* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for","* Provide a wide range of recreational opportunities, events, tours, environmental and athletic activities for",
the community.,,,,,,,,,,,
* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,* Maintain a safe and comfortable atmosphere for weekly luncheons for the Peninsula Agency on Aging.,
* Expand program offerings for all ages and interests.,* Expand program offerings for all ages and interests.,* Expand program offerings for all ages and interests.,* Expand program offerings for all ages and interests.,* Expand program offerings for all ages and interests.,,,,,,,
* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,* Continue to generate program-supporting revenue through user fees.,,,,,
,,,,152,,,,,,,
