Name: “Table 1 of 1 on page 80 of 231”,Name: “Table 1 of 1 on page 80 of 231”,Name: “Table 1 of 1 on page 80 of 231”,Name: “Table 1 of 1 on page 80 of 231”,Name: “Table 1 of 1 on page 80 of 231”,Name: “Table 1 of 1 on page 80 of 231”,Name: “Table 1 of 1 on page 80 of 231”,Name: “Table 1 of 1 on page 80 of 231”,Name: “Table 1 of 1 on page 80 of 231”,Name: “Table 1 of 1 on page 80 of 231”,Name: “Table 1 of 1 on page 80 of 231”,Name: “Table 1 of 1 on page 80 of 231”
Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77
,,,,,,,,,,,
,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,REGISTRAR / ELECTORAL BOARD,,,
Expenditures Summary,,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,FY 2011,FY 2011,FY 2012,FY 2012,Change,Change,Change
,,FY 2009,,FY 2010,Revised,Revised,Adopted,Adopted,From 2011,From 2011,From 2011
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
Personal Services,$,"105,179",$,"106,532",$,"106,448",$,"126,906",$,"20,458",19.2%
Operating Expenses,,"21,374",,"15,752",,"27,780",,"33,507",,"5,727",20.6%
Capital Outlay,,914,,"3,349",,-,,-,,-,n/a
Totals,$,"127,467",$,"125,633",$,"134,228",$,"160,413",$,"26,185",19.5%
"* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members","* In Personal Services, a minimal amount is budgeted as a stipend to the three Electoral Board members"
"in the amount of $7,512.",,,,,,,,,,,
Personnel Summary,,,,,,,,,,,
,,,,FY 2009,,FY 2010,,FY 2011,,FY 2012,
,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,
Registrar,,,,1,,1,,1,,1,
Assistant Registrar,,,,1,,1,,1,,1,
Part Time (FTE),,,,0.1,,0.1,,0.1,,0.1,
Totals,,,,2.1,,2.1,,2.1,,2.1,
Goals and Objectives,,,,,,,,,,,
"* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and","* Assist citizens in understanding requirements for voter registration, provide citizens with information and"
referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,referral for services and inform citizens about absentee voting.,,,,,
* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within,* Protect the integrity of the electoral process and efficiently conduct the elections in FY 2011 within
the provisions of the Code of Virginia.,the provisions of the Code of Virginia.,the provisions of the Code of Virginia.,,,,,,,,,
* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout,* Assure that registration opportunities will be equally available to all Poquoson citizens and throughout
the United States.,,,,,,,,,,,
* Maintain accurate and up-to-date voter records.,* Maintain accurate and up-to-date voter records.,* Maintain accurate and up-to-date voter records.,* Maintain accurate and up-to-date voter records.,* Maintain accurate and up-to-date voter records.,,,,,,,
