Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”,Name: “Table 1 of 1 on page 185 of 231”
Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174,Table: 174
,,,,,,,,,,,,,
,PARKS & RECREATION,PARKS & RECREATION,PARKS & RECREATION,PARKS & RECREATION,PARKS & RECREATION,FUND - REVENUE,FUND - REVENUE,FUND - REVENUE,FUND - REVENUE,FUND - REVENUE,,,
Parks and Recreation Revenue,,,,,,,,,,,,,
,,,,,,,,,,,,$,%
,,,,,FY 2011,FY 2011,,FY 2011,,FY 2012,,Change,Change
,FY 2009,FY 2009,FY 2010,FY 2010,Adopted,Adopted,Estimated,Estimated,,Adopted,From 2011,From 2011,From 2011
Account Title,,Actual,,Actual,Revenue,Revenue,,Revenue,,Revenue,,Budget,Budget
Field:,,,,,,,,,,,,,
Adult Athletics,$,"6,496",$,"12,811",$,"10,600",$,"10,600",$,"10,440",$,(160),-1.5%
Adult Recreation Program,,"1,711",,464,,"1,500",,"1,500",,"1,500",,-,0.0%
Discount Ticket Sales,,"4,246",,"3,111",,"4,000",,"4,000",,"3,000",,"(1,000)",-25.0%
Facility User Fee,,-,,-,,"7,500",,"7,500",,"7,500",,-,n/a
Instructional Classes,,"57,757",,"60,162",,"48,000",,"48,000",,"62,000",,"14,000",29.2%
Miscellaneous,,"3,456",,"1,995",,750,,750,,750,,-,n/a
Donations,,-,,-,,500,,500,,500,,-,n/a
Youth Athletics,,"42,250",,"38,848",,"45,345",,"45,345",,"52,940",,"7,595",16.7%
Field Revenue,$,"115,916",$,"117,391",$,"118,195",$,"118,195",$,"138,630",$,"20,435",17.3%
Pool:,,,,,,,,,,,,,
Gate Admission,,"11,022",,"15,350",,"18,000",,"18,000",,"18,000",,-,n/a
Miscellaneous,,672,,-,,750,,750,,750,,-,n/a
Other Pool Activities,,"1,753",,376,,"1,000",,"1,000",,"1,000",,-,n/a
Pool Passes,,"10,315",,"13,282",,"10,000",,"10,000",,"12,000",,"2,000",20.0%
Pool Rental,,"1,599",,945,,"1,800",,"1,800",,"1,800",,-,n/a
Swim Team,,"12,602",,"20,161",,"23,000",,"23,000",,"23,000",,-,n/a
Swimming Lessons,,"21,205",,"13,560",,"15,000",,"15,000",,"15,000",,-,n/a
Pool Revenue,$,"59,168",$,"63,674",$,"69,550",$,"69,550",$,"71,550",$,"2,000",2.9%
Special Events:,,,,,,,,,,,,,
Childrens Events,,-,,-,,"2,500",,"2,500",,"2,500",,-,n/a
Fireworks in the Marsh,,"1,395",,-,,-,,-,,-,,-,n/a
Holiday Parade,,561,,50,,200,,200,,200,,-,n/a
Seafood Festival Activities,,"20,470",,"4,807",,"4,800",,"4,800",,"4,400",,(400),-8.3%
Seafood Festival Sponsors,,"45,800",,"31,165",,"31,000",,"31,000",,"42,980",,"11,980",38.6%
Seafood Festival Vendors,,"54,191",,"49,816",,"62,050",,"62,050",,"60,550",,"(1,500)",-2.4%
Seafood Festival Parking,,"15,735",,"11,500",,"30,000",,"30,000",,"33,800",,"3,800",12.7%
Special Events Revenue,$,"138,152",$,"97,338",$,"130,550",$,"130,550",$,"144,430",$,"13,880",10.6%
Transfer from General Fund,$,"100,000",$,"46,000",$,"80,800",$,"80,800",$,"79,200",$,"(1,600)",-2.0%
Transfer from Unappropriated Fund Balance,$,-,$,-,$,"17,125",$,"17,125",$,-,$,"(17,125)",-100.0%
TOTAL REVENUE & TRANSFERS IN,$,"413,236",$,"324,403",$,"416,220",$,"416,220",$,"433,810",$,"17,590",4.2%
,,,,,149,,,,,,,,
