Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,,,,,
,BUDGET IMPACT ON HAMPTON HOUSEHOLD,BUDGET IMPACT ON HAMPTON HOUSEHOLD,BUDGET IMPACT ON HAMPTON HOUSEHOLD,BUDGET IMPACT ON HAMPTON HOUSEHOLD,BUDGET IMPACT ON HAMPTON HOUSEHOLD,BUDGET IMPACT ON HAMPTON HOUSEHOLD,BUDGET IMPACT ON HAMPTON HOUSEHOLD,BUDGET IMPACT ON HAMPTON HOUSEHOLD,BUDGET IMPACT ON HAMPTON HOUSEHOLD,
,,,,,,,,,Annual Impact from,
,,,Tax/Fee,Tax/Fee,Tax/Fee,,,,,
,,,,,,,,,Change,
Real Estate Decrease of 6% average decline,Real Estate Decrease of 6% average decline,Real Estate Decrease of 6% average decline,Real Estate Decrease of 6% average decline,Real Estate Decrease of 6% average decline,Real Estate Decrease of 6% average decline,Real Estate Decrease of 6% average decline,Real Estate Decrease of 6% average decline,Real Estate Decrease of 6% average decline,($124.80),
"in housing value for $200,000 home","in housing value for $200,000 home","in housing value for $200,000 home","in housing value for $200,000 home","in housing value for $200,000 home","in housing value for $200,000 home","in housing value for $200,000 home",,,,
$5,per,vehicle,increase,increase,in,motor,vehicle,vehicle,$10.00,
"licensing fee, two vehicles","licensing fee, two vehicles","licensing fee, two vehicles","licensing fee, two vehicles","licensing fee, two vehicles",,,,,,
$1.81 per month increase in Stormwater user,$1.81 per month increase in Stormwater user,$1.81 per month increase in Stormwater user,$1.81 per month increase in Stormwater user,$1.81 per month increase in Stormwater user,$1.81 per month increase in Stormwater user,$1.81 per month increase in Stormwater user,$1.81 per month increase in Stormwater user,$1.81 per month increase in Stormwater user,$21.72,
fee,,,,,,,,,,
$0.22,per,100,cubic,feet,increase,increase,in,sewer,$14.52,
user fee,user fee,,,,,,,,,
,TOTAL IMPACT ON RESIDENT,TOTAL IMPACT ON RESIDENT,TOTAL IMPACT ON RESIDENT,TOTAL IMPACT ON RESIDENT,TOTAL IMPACT ON RESIDENT,TOTAL IMPACT ON RESIDENT,TOTAL IMPACT ON RESIDENT,TOTAL IMPACT ON RESIDENT,($78.56),
,,,,HOW $1 IS SPENT,HOW $1 IS SPENT,HOW $1 IS SPENT,HOW $1 IS SPENT,HOW $1 IS SPENT,,
,,,,,,,,,,"Constitutional,"
,,Debt Service,Debt Service,Debt Service,,,,,,Judicial & Electoral
,,,$0.07,,,,,,Business,
,,,,,,,,,,$0.03
,,,,,Contributions,Contributions,Contributions,,,
Total,,,,,to Agencies,to Agencies,to Agencies,,Teams,
Schools,Schools,,,,,$0.04,,,$0.40,Economic Vitality &
$0.44,,,,,,,,,,Neighborhoods
,,,,,,,,,,$0.02
,,,,,,,,,,Infrastructure
,,,,,,,,,,$0.04
,,,,,,,,,,Leisure Services
,,,,,,,,,,$0.02
,,,,,,,,,,Public Safety
,,,,,,,,,,$0.10
,,,,,,,,,,Quality Government
,,,,,,,,,,$0.03
,,,,,,Transfer to Other,Transfer to Other,Transfer to Other,,
,,,,,,,,,,Youth & Families
,,,,,,,Funds,Funds,,
,Capital Budget,Capital Budget,Capital Budget,,,,,,,
,,,,,,,$0.02,$0.02,,$0.06
,,$0.03,,,,,,,,
,,,,,,,,,,Retirement &
,,,,,,,,,,Benefits
,,,,,,,,,,$0.10
,,,,,,,,,,4
