Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,
City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
Community and Economic Development,Community and Economic Development,Community and Economic Development,Community and Economic Development,,
Port Facility and Economic Development,Port Facility and Economic Development,Port Facility and Economic Development,Port Facility and Economic Development,,
,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
Expenditure Categories,Actual,Adopted,Amended,Adopted,Planned
Net Budget,,,,,
Total Budget,,,,,
,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
Funding Sources,Actual,Adopted,Amended,Adopted,Planned
Total Funding,,,,,
Fiscal Year 2012,8,,,Community and Economic Development,Community and Economic Development
