Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,,
City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
Community and Economic Development,Community and Economic Development,Community and Economic Development,,,
,Willett Hall,,,,
Business Unit Mission Statement,,,,,
To enhance the quality of life for residents by providing quality arts and entertainment to the local community.,To enhance the quality of life for residents by providing quality arts and entertainment to the local community.,To enhance the quality of life for residents by providing quality arts and entertainment to the local community.,,,
Description of Services Provided,,,,,
"Willett Hall is a 1,924 seat auditorium that provides entertainment of all varieties for the enjoyment of the community at large.","Willett Hall is a 1,924 seat auditorium that provides entertainment of all varieties for the enjoyment of the community at large.","Willett Hall is a 1,924 seat auditorium that provides entertainment of all varieties for the enjoyment of the community at large.","Willett Hall is a 1,924 seat auditorium that provides entertainment of all varieties for the enjoyment of the community at large.","Willett Hall is a 1,924 seat auditorium that provides entertainment of all varieties for the enjoyment of the community at large.",
"The staff is involved in ticket sales, promotion, event planning and coordination. This includes outside promotions or rentals","The staff is involved in ticket sales, promotion, event planning and coordination. This includes outside promotions or rentals","The staff is involved in ticket sales, promotion, event planning and coordination. This includes outside promotions or rentals","The staff is involved in ticket sales, promotion, event planning and coordination. This includes outside promotions or rentals","The staff is involved in ticket sales, promotion, event planning and coordination. This includes outside promotions or rentals",
"and city produced events. Staff works closely with promoters, technical personnel, advisors, vendors, and concessionaires.","and city produced events. Staff works closely with promoters, technical personnel, advisors, vendors, and concessionaires.","and city produced events. Staff works closely with promoters, technical personnel, advisors, vendors, and concessionaires.","and city produced events. Staff works closely with promoters, technical personnel, advisors, vendors, and concessionaires.","and city produced events. Staff works closely with promoters, technical personnel, advisors, vendors, and concessionaires.",
The events serve to enhance the quality of life for Portsmouth residents and offer many performances that cater to a wide array,The events serve to enhance the quality of life for Portsmouth residents and offer many performances that cater to a wide array,The events serve to enhance the quality of life for Portsmouth residents and offer many performances that cater to a wide array,The events serve to enhance the quality of life for Portsmouth residents and offer many performances that cater to a wide array,The events serve to enhance the quality of life for Portsmouth residents and offer many performances that cater to a wide array,
of audiences.,,,,,
Willett Hall also serves as the host venue to many nonprofit cultural arts organizations including Portsmouth Community,Willett Hall also serves as the host venue to many nonprofit cultural arts organizations including Portsmouth Community,Willett Hall also serves as the host venue to many nonprofit cultural arts organizations including Portsmouth Community,Willett Hall also serves as the host venue to many nonprofit cultural arts organizations including Portsmouth Community,Willett Hall also serves as the host venue to many nonprofit cultural arts organizations including Portsmouth Community,
Concerts.,,,,,
,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
Expenditure Categories,Actual,Adopted,Amended,Adopted,Planned
Salaries,"41,345","70,488",-,"67,640","67,640"
Benefits,"3,163","5,781",-,"5,547","5,547"
Other Operating Expenses,"119,041","303,825",-,"303,825","303,825"
Internal Service Charges,"5,236","6,531",-,"9,126","9,854"
Net Budget,"168,785","386,625",-,"386,138","386,866"
Total Budget,"168,785","386,625",-,"386,138","386,866"
,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
Funding Sources,Actual,Adopted,Amended,Adopted,Planned
435 Willett Hall Fund,"168,785","386,625",-,"386,138","386,866"
Total Funding,"168,785","386,625",-,"386,138","386,866"
Strategic Goals,,,,,
• To attract quality entertainment that reaches a broad spectrum of entertainment interests.,• To attract quality entertainment that reaches a broad spectrum of entertainment interests.,• To attract quality entertainment that reaches a broad spectrum of entertainment interests.,,,
• To operate the venue in such a manner that revenues exceed expenditures.,• To operate the venue in such a manner that revenues exceed expenditures.,,,,
• To increase ticket sales in order to provide revenue to the city through admission taxes earned on ticket sales.,• To increase ticket sales in order to provide revenue to the city through admission taxes earned on ticket sales.,• To increase ticket sales in order to provide revenue to the city through admission taxes earned on ticket sales.,,,
Outcomes and Accomplishments,,,,,
• Willett Hall has successfully served as a venue for entertainment in the Hampton Roads community.,• Willett Hall has successfully served as a venue for entertainment in the Hampton Roads community.,• Willett Hall has successfully served as a venue for entertainment in the Hampton Roads community.,,,
Fiscal Year 2012,13,,Community and Economic Development,Community and Economic Development,Community and Economic Development
