Name: “Table 1 of 1 on page 51 of 78”,Name: “Table 1 of 1 on page 51 of 78”,Name: “Table 1 of 1 on page 51 of 78”,Name: “Table 1 of 1 on page 51 of 78”,Name: “Table 1 of 1 on page 51 of 78”,Name: “Table 1 of 1 on page 51 of 78”,Name: “Table 1 of 1 on page 51 of 78”,Name: “Table 1 of 1 on page 51 of 78”
Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51
,,,,,,,
"City of Chesapeake, Virginia",,,,,,,
FY 2012-13 Operating Budget,,,,,,,
INTERAGENCY CONSORTIUM,,,,,,FUND 203 REVENUES,FUND 203 REVENUES
,,FY 2010-11,,FY 2011-12,,FY 2012-13,Change From
Resource Detail,,Actual,,Budget,,Estimated,Prior Year
Use of Money & Property,,,,,,,
Interest-Bank Dep,$,233,$,0,$,0,0.00%
Use of Money and Property,$,233,$,0,$,0,0.00%
Charges for Services,,,,,,,
Parent Co-Pay,$,"4,537",$,0,$,0,0.00%
Charges for Services,$,"4,537",$,0,$,0,0.00%
Recovered Costs,,,,,,,
Rec/Reb-Other,$,"27,302",$,0,$,0,0.00%
Rec/Reb-Jury,,0,,0,,0,0.00%
Recovered Costs,$,"27,302",$,0,$,0,0.00%
Categorical Aid From the Commonwealth - Other,,,,,,,
Pool Revenue-VA,$,"2,600,669",$,"1,961,000",$,"2,080,411",6.09%
Public Welfare-Other St Grant,,"31,423",,"31,420",,"31,423",0.01%
State Categorical Aid,$,"2,632,092",$,"1,992,420",$,"2,111,834",5.99%
Interagency Consortium Fund,$,"2,664,164",$,"1,992,420",$,"2,111,834",5.99%
FY 2012-13 Operating Budget,,84,,,,"As Amended June 12, 2012","As Amended June 12, 2012"
