Name: “Table 1 of 1 on page 20 of 78”,Name: “Table 1 of 1 on page 20 of 78”,Name: “Table 1 of 1 on page 20 of 78”,Name: “Table 1 of 1 on page 20 of 78”,Name: “Table 1 of 1 on page 20 of 78”,Name: “Table 1 of 1 on page 20 of 78”,Name: “Table 1 of 1 on page 20 of 78”,Name: “Table 1 of 1 on page 20 of 78”,Name: “Table 1 of 1 on page 20 of 78”,Name: “Table 1 of 1 on page 20 of 78”,Name: “Table 1 of 1 on page 20 of 78”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Other Local Taxes,Other Local Taxes,,,,,,,,,
The General Fund receives various other local taxes including sales tax (1%); utility taxes on electric and natural gas,The General Fund receives various other local taxes including sales tax (1%); utility taxes on electric and natural gas,The General Fund receives various other local taxes including sales tax (1%); utility taxes on electric and natural gas,The General Fund receives various other local taxes including sales tax (1%); utility taxes on electric and natural gas,The General Fund receives various other local taxes including sales tax (1%); utility taxes on electric and natural gas,The General Fund receives various other local taxes including sales tax (1%); utility taxes on electric and natural gas,The General Fund receives various other local taxes including sales tax (1%); utility taxes on electric and natural gas,The General Fund receives various other local taxes including sales tax (1%); utility taxes on electric and natural gas,The General Fund receives various other local taxes including sales tax (1%); utility taxes on electric and natural gas,The General Fund receives various other local taxes including sales tax (1%); utility taxes on electric and natural gas,The General Fund receives various other local taxes including sales tax (1%); utility taxes on electric and natural gas
services; local share of state sales tax on communications services (5% plus $0.75/line/month E911); business and,services; local share of state sales tax on communications services (5% plus $0.75/line/month E911); business and,services; local share of state sales tax on communications services (5% plus $0.75/line/month E911); business and,services; local share of state sales tax on communications services (5% plus $0.75/line/month E911); business and,services; local share of state sales tax on communications services (5% plus $0.75/line/month E911); business and,services; local share of state sales tax on communications services (5% plus $0.75/line/month E911); business and,services; local share of state sales tax on communications services (5% plus $0.75/line/month E911); business and,services; local share of state sales tax on communications services (5% plus $0.75/line/month E911); business and,services; local share of state sales tax on communications services (5% plus $0.75/line/month E911); business and,services; local share of state sales tax on communications services (5% plus $0.75/line/month E911); business and,services; local share of state sales tax on communications services (5% plus $0.75/line/month E911); business and
professional license tax on gross receipts; motor vehicle license tax; recordation tax; cigarette tax ($0.50/pack);,professional license tax on gross receipts; motor vehicle license tax; recordation tax; cigarette tax ($0.50/pack);,professional license tax on gross receipts; motor vehicle license tax; recordation tax; cigarette tax ($0.50/pack);,professional license tax on gross receipts; motor vehicle license tax; recordation tax; cigarette tax ($0.50/pack);,professional license tax on gross receipts; motor vehicle license tax; recordation tax; cigarette tax ($0.50/pack);,professional license tax on gross receipts; motor vehicle license tax; recordation tax; cigarette tax ($0.50/pack);,professional license tax on gross receipts; motor vehicle license tax; recordation tax; cigarette tax ($0.50/pack);,professional license tax on gross receipts; motor vehicle license tax; recordation tax; cigarette tax ($0.50/pack);,professional license tax on gross receipts; motor vehicle license tax; recordation tax; cigarette tax ($0.50/pack);,professional license tax on gross receipts; motor vehicle license tax; recordation tax; cigarette tax ($0.50/pack);,professional license tax on gross receipts; motor vehicle license tax; recordation tax; cigarette tax ($0.50/pack);
admissions tax (10%); hotel-motel lodging tax (7% of the 8% local tax); and restaurant meals tax (5% of the 5.5% tax).,admissions tax (10%); hotel-motel lodging tax (7% of the 8% local tax); and restaurant meals tax (5% of the 5.5% tax).,admissions tax (10%); hotel-motel lodging tax (7% of the 8% local tax); and restaurant meals tax (5% of the 5.5% tax).,admissions tax (10%); hotel-motel lodging tax (7% of the 8% local tax); and restaurant meals tax (5% of the 5.5% tax).,admissions tax (10%); hotel-motel lodging tax (7% of the 8% local tax); and restaurant meals tax (5% of the 5.5% tax).,admissions tax (10%); hotel-motel lodging tax (7% of the 8% local tax); and restaurant meals tax (5% of the 5.5% tax).,admissions tax (10%); hotel-motel lodging tax (7% of the 8% local tax); and restaurant meals tax (5% of the 5.5% tax).,admissions tax (10%); hotel-motel lodging tax (7% of the 8% local tax); and restaurant meals tax (5% of the 5.5% tax).,admissions tax (10%); hotel-motel lodging tax (7% of the 8% local tax); and restaurant meals tax (5% of the 5.5% tax).,admissions tax (10%); hotel-motel lodging tax (7% of the 8% local tax); and restaurant meals tax (5% of the 5.5% tax).,admissions tax (10%); hotel-motel lodging tax (7% of the 8% local tax); and restaurant meals tax (5% of the 5.5% tax).
The revenues from the old local E911 Line Telephone Tax and the new Communications Tax that replaced all local,The revenues from the old local E911 Line Telephone Tax and the new Communications Tax that replaced all local,The revenues from the old local E911 Line Telephone Tax and the new Communications Tax that replaced all local,The revenues from the old local E911 Line Telephone Tax and the new Communications Tax that replaced all local,The revenues from the old local E911 Line Telephone Tax and the new Communications Tax that replaced all local,The revenues from the old local E911 Line Telephone Tax and the new Communications Tax that replaced all local,The revenues from the old local E911 Line Telephone Tax and the new Communications Tax that replaced all local,The revenues from the old local E911 Line Telephone Tax and the new Communications Tax that replaced all local,The revenues from the old local E911 Line Telephone Tax and the new Communications Tax that replaced all local,The revenues from the old local E911 Line Telephone Tax and the new Communications Tax that replaced all local,The revenues from the old local E911 Line Telephone Tax and the new Communications Tax that replaced all local
